comment,id,date,num_likes
"Excellent video, very helpful, thank you so much👍x",Ella Black,2021-03-06T19:43:50Z,0
Thank you for this healthy budget video love lots from 🇵🇭🇵🇭🇵🇭,raymart rafael,2020-11-07T03:26:36Z,0
Canada is expensive!,Ferlydai,2020-10-28T14:59:45Z,0
How often do you go grocery shopping?,Josephine Hoerth,2020-06-16T02:23:17Z,0
I couldn’t buy apples in that thick plastic packages... makes me so sad 😭 whoever produces them that way should be ashamed,Tatty v that’s me,2020-05-19T22:30:28Z,0
Super helpful video❤️,Lani S,2020-03-19T03:17:37Z,0
Organic food in Canada is super expensive most of the time. Really have to look for bargains. I find that Costco is the best place for the quality and variety. Gotta have the best for my family and not have to refinance the house! Lol,Celine Chabot,2020-03-09T15:41:04Z,0
I can’t believe how expensive things in Canada are 🤭 I bought organic broccoli 🥦 today for 95p and a bag of carrots for 60p.,Allison Fraser,2020-03-08T13:34:28Z,1
I know it’s actually baffling,Tatty v that’s me,2020-05-19T22:31:43Z,0
May you please provide a link to the dirty dozen list you follow by? Thank you! ☺️,Katelyn,2020-03-07T17:42:56Z,0
"Holy crap avocados where I’m at rarely go over 99¢ each!<br />I try to eat well, prob not as “healthy” as I should, but budget wise when I but junk I spend more money and it always gets wasted. When I buy produce I tend to eat it because I feel guilty about it going bad.",Dani Blackburn,2020-03-07T01:51:05Z,0
I grew kabocha squash lady year and this year im growing new ones from my own seeds,Jennifer Ringsparr,2020-03-04T22:57:09Z,0
I can buy beautiful avocados for 49 cents at Aldi. Your produce is so much higher.,Ruthann P,2020-03-04T01:39:37Z,0
I feel groceries where you live is so expensive... I live in Houston kashi is usually $3 all the time here,Megan Coons,2020-03-03T14:03:12Z,0
"$21 for that avocado oil?! I live in the UK and got that exact brand’s avocado oil for £6 , seems like such a rip off there!",3,2020-03-01T22:22:09Z,4
"OMG avocados that expensive!!!!, here in Mdxico I buy 5 for 1. 50 us dollar!",Delia Guzman,2020-03-01T06:27:00Z,0
Great tips but I cannot believe the price on Canadian food.   In the UK we can get bag of onions for 0.60p which is like 1 dollar or a premium carton of nut milk would work out to 1.7cad.   Crazy!,Stephanie Hitchings,2020-02-29T12:26:59Z,1
@Nathalie Moniz I though the first store was a discount store ?    Maybe I mixed the two up,Stephanie Hitchings,2020-02-29T18:02:44Z,0
"Stephanie, she is shopping at a specialty store and all organic that is why the prices are so high.  It is more reasonably priced at your average supermarket even for organic produce.",Nathalie Moniz,2020-02-29T17:23:12Z,0
Thank you so much for this helpful video.  BTW love your channel,Edith Soto,2020-02-29T09:56:15Z,0
Cool video thanks 👍🏼,Yvette Dean,2020-02-29T05:10:00Z,0
E eu pensei que as coisas em Portugal eram caras... Aí nos States vocês ganham assim tão bem?? Credo...,Inês Alexandre,2020-02-28T21:22:41Z,0
How can i freeze broccoli??,Anastasia,2020-02-28T19:21:59Z,0
Where you live groceries are expensive. That Kashi cereal is 2 for $5 at my market,anna nguyen,2020-02-28T15:31:51Z,1
"Good one <br /><a href=""http://www.youtube.com/results?search_query=%23SwadeAdday"">#SwadeAdday</a>",Deb Jhuka,2020-02-28T13:20:20Z,0
"So sad how almost everything is packet in plastic, altought it didn&#39;t need to be.. It&#39;s time for a change.",Ju Q,2020-02-28T09:18:25Z,0
"I love when you talked about comparing what people spend on. My friend told me once going organic grocery shopping is so expensive and it can be if you are not careful. I always try to look for sales, here in the states sprouts has sales on Wednesday’s. And I also told my friend, you eat out almost every day, you got expensive headphones and iPhone, good brand clothes etc. My luxury is going to sprouts, Whole Foods, Trader Joe’s... so we all choose what we want to spend on 🥑",Ivan perez,2020-02-28T06:19:40Z,2
You should check out Downshiftology channel to see how she makes oat milk. Very good tip! As well as other awesome recipes,Kitty time,2020-02-28T04:42:35Z,7
Great tips! Thanks for sharing 💕,Stephanie Collins,2020-02-28T04:12:22Z,0
Please do a zero waste grocery haul!!! I need help!,ImaTChure,2020-02-28T00:47:36Z,0
Welcome to Canada and our insane produce prices 😫,veg94,2020-02-28T00:00:25Z,0
"And for meat!! This week boneless, skinless chicken breasts (non-organic) are on sale for....$7.99/lb!!! 😑😑😑",Guess Who,2020-03-02T01:03:23Z,0
Would love to see a video on budget healthy dinners for families of 5 or more!,Tammy D.,2020-02-27T19:44:39Z,4
I would LOVE to see a Zero waste video especially at stores that don&#39;t have a ton of zero waste options.,Star Neal,2020-02-27T17:10:53Z,0
