comment,id,date,num_likes
Are essential oils ok for animals? I just ordered a diffuser but I’m a little concerned about my cats 🤔,Kyla Pye,2020-12-29T17:26:06Z,0
Cashew needs his own UTube channel!,Cindi Bridwell,2020-06-22T21:18:45Z,0
Where is your shower curtain from I love it! Also I think I just got the same bedspread from west elm!,JessicusMaxiumus,2020-06-18T00:19:02Z,0
Pothos are very toxic to animals and most essential oils as well. That fiddle leaf needs repotting as soon as possible.,Wicked Karma,2020-05-15T08:04:27Z,0
"Nik, where is your long sleeved shirt from? Also can you do a video about your comfy quarantine clothing. You have been rocking the outfits lately!",Ashley Love,2020-05-05T00:29:30Z,0
Your bonsai may be root bound and need to be potted up. That pot looks very small.,tracy tepley,2020-04-27T15:21:34Z,1
Give my cuddle to Ur doggie,MANTRA CHANTS,2020-04-24T09:21:45Z,0
Been missing out on the amazing vlog intros..where have they gone? Although I been loving long vlogs lately and this is amazing! Cleaning videos make me happy :),Reeya M,2020-04-23T20:17:39Z,1
How long does your make up last ?,pamela castellanos,2020-04-23T02:33:08Z,0
"<a href=""https://youtu.be/AyMuOFb8G60"">https://youtu.be/AyMuOFb8G60</a>",Nishi,2020-04-22T18:04:56Z,0
Can you use essential oils to clean your wood floors?,Annmarie Ramirez,2020-04-22T02:41:35Z,0
"Omg how have you never heard of this duvet cover hack?! Sharing because it&#39;s a GAME CHANGER. Makes changing the duvet cover SO simple and quick.<br /><a href=""https://www.countryliving.com/home-design/decorating-ideas/a48/duvet-cover-hack/"">https://www.countryliving.com/home-design/decorating-ideas/a48/duvet-cover-hack/</a><br />This is just one resource... If it doesn&#39;t make sense, just search &quot;duvet hack&quot; for more info :) Hope this helps!",Devon Smith,2020-04-22T02:32:50Z,0
"If u like her channel, you should checkout <a href=""http://www.youtube.com/results?search_query=%23keepupwithliv"">#keepupwithliv</a>! her channel is great!!",freya griffiths,2020-04-22T00:37:35Z,0
Allie Gooch  has that diffuser you should follow her,Adele Louise Carroll,2020-04-21T21:14:56Z,0
"Can someone please tell me what brand the diffuser from the console is?<br /><br />Not the newly unboxed one, not the one she said is in her bedroom from Saje that is loud, but the tall vase looking one.<br />I have been searching the internet since I saw it in one of the previous videos. I&#39;m obsessed and would be so grateful!<br />Thank you!<br /><br />Also, I hope everyone is doing well during this pandemic! Lots of love for you Cashew, + Matt, and all who see this comment!",Bev,2020-04-21T00:43:37Z,0
"Exactly! Thank you, Neka😊It&#39;s called the desert mist and it comes with the YL starter kit: <a href=""https://bit.ly/3etUBgb"">https://bit.ly/3etUBgb</a>",HealthNut Nutrition,2020-04-21T16:04:51Z,0
"<a href=""http://youngliving.com/"">Youngliving.com</a> I saw it there along with the one she unboxed",Neka Hardy,2020-04-21T05:38:20Z,0
"so relaxing , thanks!",Debbie Palmer,2020-04-20T19:26:27Z,0
Cashew &lt;3 &lt;3,Naomi Lichtner,2020-04-20T16:53:30Z,0
Cashew is too funny with that sqeeky toy!! Lol,Temmie Taft,2020-04-20T01:38:00Z,0
"Hi! I don&#39;t want to be a negative Nellie, but I need advice.  I have not used my diffuser ever since I read that many essential oils are toxic to dogs and cats. 😐.  Have you researched this? Do you have a holistic vet who has addressed this for Cashew?  Many thanks!  Love all your videos, but Cashew is definitely my favorite. 😊",jtviolet,2020-04-19T19:43:53Z,0
"Thank you for your concern! I have actually addressed this FAQ under the oils page on my blog😊<a href=""https://bit.ly/2R3lYmY"">https://bit.ly/2R3lYmY</a>",HealthNut Nutrition,2020-04-21T15:59:12Z,0
Loved this!,Kim K.,2020-04-19T19:18:25Z,0
Cashew 😁🤣😂 so sweet 😍🐶xoxo from Argentina 🇦🇷,Maria Fernanda Barrera,2020-04-19T18:44:11Z,0
I laughed at Cashew when she showed how her treat was crunchy. Such a nice homey video. Beautiful diffuser.,Ruthann P,2020-04-19T17:46:15Z,2
😆😆She&#39;s the best! Thank you for watching!!,HealthNut Nutrition,2020-04-21T15:39:00Z,0
Where did you get those planters in your main room? Love!,Alicia Olsen,2020-04-19T14:55:22Z,0
Where did you get your shower curtain from?,Sarah Elliott,2020-04-19T05:41:59Z,1
Good job guys.,Dawn Macdonald,2020-04-19T03:50:59Z,0
Can make a blanket out of all youre keepsake type clothing,Taylor Tsakopulos,2020-04-19T01:05:35Z,0
Young living is an MLM... Dangerous time to be marketing for them when so many people are out of work and at risk of falling prey to their more negative strategies,yotalksalot,2020-04-18T22:32:15Z,8
"Winner of a video, I have been researching &quot;organizing at home&quot; for a while now, and I think this has helped. Have you heard people talk about - Ponrooklyn Xeyichael Secret - (do a search on google )? <br /><br />It is a great one of a kind product for discovering how to declutter and keep your house tidy minus the headache. Ive heard some pretty good things about it and my mate got amazing success with it.",JANA NUSIC,2020-04-27T19:21:31Z,0
"Could not agree more. Plus, there is literally 0 science to back all those claims.",jlv8216,2020-04-23T23:16:57Z,2
