comment,id,date,num_likes
I love the desk! Where did you get the wooden top for your desk? IKEA?,Valery Nunez,2020-10-12T12:22:42Z,0
not much storage so far...just saying. :),Margaret Villalpando,2020-10-10T18:09:15Z,0
Matt is amazing person! Both of a great team. Can’t wait to the forth addition to your family 🧿💕,Jeeti Mattu,2020-10-10T04:42:03Z,0
Can you link all the things you got ? I love it so much,Jeeti Mattu,2020-10-10T04:40:53Z,0
Its all coming together nicely,Christine Thewlis,2020-10-09T19:49:19Z,0
I like how the puppers is always helping lol,Choco Tries,2020-10-09T03:35:50Z,0
I have so many of those plants and i love them so much. I hope yo like them as much as i do,Lana,2020-10-09T00:10:22Z,0
I can tell you didnt have as big of a baby bump at the beginning of the vlog as you do now,Lana,2020-10-08T23:09:16Z,0
Can’t wait 😊,Frances Andrews,2020-10-08T15:06:35Z,0
"Very nice!  I love the little planter head that looks like Wilson.  My thought is to secure the desktop at some point.  Crawling, climbing babies, you know - but you have time.  Much love to you all. ❤️",Nancy Cowan,2020-10-08T15:05:35Z,0
How I&#39;ve missed you!!❤️❤️ You are literally my favourite person. It makes me sooo happy to see you and matt 🙏.,Shivani Mane,2020-10-08T14:27:32Z,0
Cant wait for the nursery video omg🤩,Anushree Mukherjee,2020-10-08T10:20:19Z,0
Mr.Matt is handy to have around! He is good at what he does. Love the plants. That lamp is gorgeous! Can’t wait for. Part 2,Ruthann P,2020-10-08T09:49:57Z,3
Matts amazing at this stuff!,Shar TheFoodie,2020-10-08T08:30:58Z,0
We want baby mama dance,Rikki Bhagoria,2020-10-08T05:02:37Z,0
That sloth pot 😍,Clare Elaine,2020-10-08T04:21:47Z,0
Matt is handy!,Kimberly,2020-10-08T03:48:52Z,1
He really is!,HealthNut Nutrition,2020-10-08T15:53:31Z,0
Love the plant collection and pots 🥰 can you please share the details where you bought the pots plz,Anogna Rds,2020-10-08T03:06:32Z,0
please post or email becall the zikea links love the pictures and shelves  and the bamboo lights,Parris Ellis,2020-10-08T02:31:36Z,0
please post or email becall the zikea links love the pictures and shelves,Parris Ellis,2020-10-08T02:31:18Z,0
love the desk where did it come from??,Parris Ellis,2020-10-08T02:29:02Z,0
whats the rocks your putting in the flower pots ??,Parris Ellis,2020-10-08T02:27:44Z,0
What the shelving and bins xalled from Ikea can you post all the links,Parris Ellis,2020-10-08T02:26:12Z,0
Can’t wait to see part 2 🤗🥑,Kathleen Tantillo,2020-10-08T00:42:10Z,0
Good job! <br />Can you please make a what’s in my hospital bag? And baby essentials that you and me.matt bought until now?,דיאנה איסקוב,2020-10-07T23:29:23Z,0
Stay tuned😉,HealthNut Nutrition,2020-10-08T15:57:00Z,0
Awesome desk so cool,Sandy Travers,2020-10-07T22:50:43Z,0
You inspire me so much! Congrats!,Sissi Marín Jiménez,2020-10-07T22:32:07Z,0
So sweet! Thank you😊💕,HealthNut Nutrition,2020-10-08T15:55:21Z,0
"So far looks awesome!  Love all the plants I&#39;m a fellow <a href=""http://www.youtube.com/results?search_query=%23crazyplantlady"">#crazyplantlady</a> 🌱",Michelle Goit,2020-10-07T22:25:25Z,0
Just curious where you were able to buy the top wood piece to your desk? Was that at Ikea as well?,Heather Tokz,2020-10-07T22:24:34Z,0
I will be sharing all of the links in the final reveal tour! Stay tuned😊,HealthNut Nutrition,2020-10-08T15:53:12Z,1
can&#39;t wait to see the final product!!,Lisa Brooks,2020-10-07T21:59:26Z,0
🙌🏻🙌🏻🙌🏻,HealthNut Nutrition,2020-10-08T15:54:34Z,0
i love the greenery theme love the light,Jasmine Easley,2020-10-07T21:45:02Z,0
Thank you! I&#39;m so happy with how it turned out🌿,HealthNut Nutrition,2020-10-08T15:54:07Z,0
Love that you included the plant names for us!,Kathlyn Lyons,2020-10-07T21:38:10Z,4
"Can’t wait to see the finished office. Love it already. Cashew is sooooo cute 😍 Do you know what we call the sanseveria (snake plant) in The Netherlands? : Vrouwentong, that means womens tongue 😄.",Marjanne V R,2020-10-07T21:32:50Z,0
So cute! Love your style,Jessica Cunningham,2020-10-07T21:14:10Z,1
Great job love the different pots so cute can&#39;t wait for Part 2!,Desiree Hopkins,2020-10-07T21:08:48Z,0
Thank you! I can&#39;t wait to share the final reveal😊🌿,HealthNut Nutrition,2020-10-08T15:55:05Z,0
Nice job Mr. Matt.,Cathy Diamond,2020-10-07T20:39:24Z,1
The office looks so good already! Can&#39;t wait to see part 2 🥑❤️,Christina Truong,2020-10-07T20:26:40Z,0
Coming together nicely,Sherri Williams,2020-10-07T20:05:44Z,0
"OMG!! I am waiting for long time &amp; I love watching your home office tour renovation. I am so happy to see the final reveal soon. Love you, Matt &amp; Cashew puppy so much &amp; love your blue gym top. Where did you get it from? <a href=""http://www.youtube.com/results?search_query=%23healthnutfam"">#healthnutfam</a> 😀💖",Thuvaraka Mahenthiran,2020-10-07T19:43:21Z,1
love how you made over that small space,Alicia Mitrowitz,2020-10-07T19:34:07Z,0
I can&#39;t wait until I get an office!,keepupwithliv,2020-10-07T19:18:22Z,9
❤️❤️❤️,Irina Florea,2020-10-07T19:18:21Z,0
"Omg so close to 700k been here since 400k! This date video about eating dates in pregnancy blew my mind hopefully you can watch it with this link! <br /><br /><a href=""https://youtu.be/2ZOeT4uraeQ"">https://youtu.be/2ZOeT4uraeQ</a>",Taylor LaVerdiere,2020-10-07T19:14:09Z,0
❤️❤️❤️,Enid Claramunt,2020-10-07T19:09:57Z,0
Good wishes from a small country named Bangladesh 🥰🥰,fariha khushbu,2020-10-07T19:08:18Z,0
"oh yes yes, I LOVE WATCHING MAKEOVERS!!!",Sam Elle,2020-10-07T19:04:38Z,3
"Yay, I am so happy you uploaded😍",Ella High,2020-10-07T19:00:59Z,1
