comment,id,date,num_likes
Where did you get the deer plush from?😍I mean the one sitting in front of the „hot air balloon“,Jennifer Wolf,2021-05-01T09:42:10Z,0
Não fazia ideia que eram portugueses!! Muito amor de Portugal 🥰,Inês Mendes,2021-03-22T10:53:45Z,0
Your dress is GORGEOUS 💖,Kayla&Josh Golob,2021-03-08T14:29:37Z,0
Beautiful! I&#39;m 27w5 with my Miracle baby girl after 6 years of infertility 💕 I can&#39;t wait for my shower its in 6 weeks!,Kayla&Josh Golob,2021-03-08T14:20:32Z,0
Congratulations mama I’m so happy for you!!,HealthNut Nutrition,2021-03-08T16:00:34Z,0
"So cute, funny baby shower❤️",Korea Working Mom Ran,2021-03-06T23:18:58Z,0
you are naming your baby acorn?,kelly .senyckyj,2021-02-15T07:01:53Z,0
Where is the dress from? I am in love with it!,Vikki Skomarokha,2021-02-07T16:41:42Z,0
Wonderful.. And thanks for sharing...,Deondra,2021-02-04T16:16:57Z,0
"Cutest, sweetest and healthiest baby shower i ave ever seen and i have only seen like4 so best shower ever guys!",Haylee Johnson,2021-01-29T03:27:03Z,0
"Congrats! Love the dress, where is it from?",Jacqueline Vu,2021-01-24T20:33:19Z,1
you have portuguese family! tugas are everywhere ;) we are the best &lt;3,Catarina M,2021-01-19T23:06:27Z,0
Can you share the website of where you got your dress please,erika tapia,2021-01-17T16:31:45Z,0
It’s all linked in my blogpost in the info box ☺️,HealthNut Nutrition,2021-01-17T17:15:37Z,1
This looks awesome 🤩 <br />I’m 28 weeks and I am searching for right dress but not getting any!<br />I loved your dress and if possible couldn’t you please link it here!!!<br />Thanks in advance 😍,Dhanasree S Menon,2021-01-09T08:00:49Z,0
r u naming the baby acorn???<br />bcs u said we are just packing everything in BABY ACORNS ROOM???,Zac Al-Shebani,2020-12-29T09:55:07Z,0
Beautiful baby shower. God  bless. Cashew reminds me so much of my daughters dog Luna. She gets so excited jumping on people too. I bought my granddaughter that book The Wonderful Things You Will Be,Claudia Badia,2020-11-11T19:09:56Z,0
Your baby shower was so pretty! Well done to you and your family. Congratulation on your pregnancy! 😊❤️,Christie Noua,2020-10-29T08:54:39Z,0
Thank you so much 💗,HealthNut Nutrition,2020-10-29T11:45:44Z,0
Thank you so much for sharing your precious moments with us....you feel like a family to me😭...i love you so much😘...you all are really such cute people,readysteadyrock,2020-10-25T09:13:21Z,0
"Omg I remember when I stumbled across your channel, the most recent video was you finding out that you were pregnant. I cannot believe that you are so close to giving birth! Time flies! Beautiful baby shower by the way! I love the style of it! I’m so exited to see your little baby!! :)",Layla Whitmore,2020-10-23T19:05:23Z,0
Omg! Super cute set up and I love that dress!! You look amazing!! 😍,Ashley Michel,2020-10-23T19:01:08Z,0
