comment,id,date,num_likes
Soooo beautiful!! Pregnancy looks good on you!<br />Ps- dying to know this lip color you have on!!,Janelle Clark,2021-04-28T19:49:34Z,0
The ending was my favorite when you walked out with baby and Daddy right behind you guys. What a beautiful picture of a what God institutes as the true family unit. God bless,Janae Jones,2021-03-05T14:10:38Z,0
Nice family 💖💖,Pallabi Swarnakar,2021-02-20T07:22:37Z,0
Allah mje bh esi olaad dy ameen,Jordan Khan,2021-02-20T05:14:03Z,0
حبيييت🥺😽,فاطمه الشهري,2021-02-19T19:25:22Z,0
Brought back so many wonderful memories this pregnancy! I’ll be 39 weeks tomorrow,Kayla Paulino,2021-02-14T04:26:34Z,1
God bless you ALL. Plz pray for me I&#39;m desperately waiting these incredible moments for long time. 🥺🥺💞,All FOOD HOMEMADE,2021-02-13T06:00:43Z,5
Super cute transformation ❣️,Vanessa Heslop,2021-02-07T20:37:20Z,0
how did you avoid stretch marks??,Haley Naftal,2021-01-30T02:12:49Z,0
I like pregnant women,Rashid khan,2021-01-27T11:47:13Z,0
this is so cute &lt;3,Jessica Coffin,2021-01-15T15:09:35Z,2
I love the description aww,Nylashae Kiomie,2021-01-11T05:04:44Z,1
Simply beautiful! I would so like to hug her!,PSE Res,2021-01-11T04:52:43Z,2
I love how creative you were with the fruits and veggies to illustrate the size of your baby. Cute!!!!!!,Felicia Mangwani,2020-12-29T20:13:34Z,9
SAME! It was so dang cute!!!!<br /><br />LOVE Kelley and fam,Kelley & Ryan Vlogs,2021-01-05T21:41:12Z,0
Beautiful 🥰,Happy Rose,2020-12-28T14:04:02Z,0
What a beautiful keepsake of your pregnancy. Thankyou so much for sharing this journey with us all. Wishing you health and happiness always. 😘,Brilliant But Blue,2020-12-22T11:18:09Z,2
YES All of this! Would love to do this if I am ever lucky enough to get pregnant again! :)<br /><br />LOVE Kelley and Ryan,Kelley & Ryan Vlogs,2021-01-05T21:40:50Z,1
Love it! This made me smile. Congratulations to you both on your beautiful bundle of joy. It made my day 😊.,Josephine O,2020-12-19T11:40:29Z,1
Totally! This is a total day maker of a video! :)<br />LOVE Kelley and Ryan,Kelley & Ryan Vlogs,2021-01-05T21:42:25Z,0
So cute 😍 good job mama!,Heather73090,2020-12-19T01:59:14Z,0
"Awww cute vid, congrats! 😘😍👍🏼",melissagomce,2020-12-18T22:32:29Z,1
this video was so wholesome 🥺❤️,lauren veera,2020-12-18T16:42:43Z,0
Super cute video. Love ur energy. Baby is lucky to have you both as parents. Cool parents,Swati Pai,2020-12-18T12:58:31Z,0
Lovely ☺️,JeSuS iS kInG,2020-12-18T05:51:29Z,0
You were a beautiful pregnant goddess and had the cutest baby bump!,Lots Of Love,2020-12-18T00:22:10Z,0
