comment,id,date,num_likes
Totally had the pickles and cheese craving,BEwell,2021-03-17T08:59:05Z,0
"I just tried white bread with butter, gold cheese and salt chips OMG 🥰",J,2021-01-14T18:54:43Z,0
"Weird cravings for me are things I actually hate to eat like pickles, Tomato juice like a V8, I was craving tomato soup but I didn’t know where to get it freshly done &amp; clam chowder and I’m allergic to pineapple so that was a no go 🙅.",Melisa Suarez,2020-11-22T18:27:14Z,0
try pickles &amp; peanut butter !!!!!,Elliana Paglione,2020-11-12T04:02:33Z,0
"When I was pregnant, I ate a jar of pickled beets a week ( my iron level was awesome according to my doctor) and I craved everything peach/nectarine.... fresh, canned, yogurt, smoothie, frozen yogurt....... and Mc donald chicken nuggets....",vanessa boutin,2020-11-11T16:11:01Z,0
Chips and ice cream is soooo goooddd!!! And the pickles and cream cheese looks delicious!,Abigail Addy,2020-11-05T19:04:00Z,0
I am surprised cashew didn&#39;t jump on to join,LD M,2020-11-05T17:51:54Z,0
Ok chocolate and cheese is one of the best combinations!!,Eat_my_makeup,2020-10-29T06:36:12Z,0
"I&#39;ve been eating tuna and pepperoni since 2004, my first job was at subway lol! A tuna and pepperoni sandwich so good toasted, you should try it!",Eat_my_makeup,2020-10-29T06:32:30Z,0
I been loving greek yogurt in everything!!! Also ketchup...,Reena Felix,2020-10-28T13:46:01Z,0
I think the tomato soup ruined that combo but I can see it being a thing....  I LOVE peanut butter toast topped with Sweet Chilli Heat Dortitos! I discovered that while drunk when I was younger and now that I&#39;m pregnant I crave it all the time.,Jessica Dubord,2020-10-27T19:48:29Z,0
My mom used to eat peanut butter and butter sandwiches and when she told me that I was so grossed out. But now I’m pregnant and I put honey butter and peanut butter together and it was great,Anjali K,2020-10-26T01:07:31Z,0
My mother in law had this weird pregnancy craving. Chocolate syrup on uncooked hot dogs,Andrea Garcia,2020-10-25T17:42:30Z,0
Tuna sandwich with pepperoni salad and jalapenos is part of my regular diet and i am not even pregnant omg,mondscheinblitz,2020-10-25T09:39:38Z,0
"She: This is a weird one, chocolate and cheese.<br />Me, used to do that as a kid and has seen her family do that many times (in Colombia, they like to put their cheese in hot chocolate to get it to melt and then eat it): It&#39;s not that weird, honestly....it&#39;s actually quite common....",Di Angelo Fan,2020-10-24T17:31:17Z,0
