comment,id,date,num_likes
Can you have coffe when pregnant ? Love your vidio 💕,Maë Suro,2021-04-29T10:49:09Z,0
These videos are SO helpful. It’s been a struggle deciding what to eat.,Azalyn Smith,2021-04-29T09:06:45Z,0
Is the chicken soup recipe posted anywhere? Just found out I am pregnant it looks like something I need!,Elizabeth Munson,2021-04-21T03:12:13Z,0
What protein did you use in pregnancy?,Sarah Pastura,2021-04-11T20:15:39Z,0
Does my doctor have to say to take vitamins or should I have to choose to take or not... <br />Because my doctor didn&#39;t say anything about taking vitamins,STW RO乙E,2021-04-07T10:57:06Z,0
What did u put in ur smoothie?,Elizabeth Nansen,2021-03-29T00:44:03Z,0
U talk a lot I wish the video was only about recipes,Duaa star,2021-03-22T21:44:34Z,0
Wait a sec. you half Portuguese? ❤️,MissGeeky,2021-03-20T23:01:20Z,1
what did you put in the smoothie? sorry missed some of it,msdeefunk,2021-03-19T20:18:13Z,0
I need food n drinks that help me gestational diabetes 😩I&#39;m dying over here w what to eat n not to,MsChuex LittleChuex,2021-03-18T06:48:20Z,0
Nice content!,Super Cyclist Tv,2021-03-15T04:49:45Z,0
Lots of great tips here that I will be saving/trying! That chicken soup and egg salad looks especially good. And Im going to try your herbal coffee (ive been drinking teechino but open to new ideas). I&#39;m 13 weeks so I&#39;m just getting over the first trimester ickiness and anxious to start eating healthy again! I&#39;m curious why you took the vitamin C considering the massive amounts of vitamin C you are likely getting in your diet (smoothie/fruit/veg/etc) and your prenatal also has it?? Immune protection?,lindsay J,2021-03-13T18:14:24Z,0
"Love that smoothie idea ❤️❤️ You look so beautiful, congratulations!",Philosophy Channel,2021-03-09T23:21:39Z,0
I thought grapes weren’t safe for pregnancy 😬 need an answer because I love grapes and have been avoiding them lol,savannah M,2021-03-09T10:48:55Z,0
@Daphna Eremina if you google grapes and pregnancy you’ll see 😂 I google everything maybe it’s a bad thing,savannah M,2021-03-17T13:10:28Z,0
Lmao they’re fine why wouldn’t they be safe 😂😂,Daphna Eremina,2021-03-17T13:06:23Z,0
Vintage crockpots has lead in them,Adi Cohen,2021-03-05T12:48:25Z,0
Portugaaaal !!!  I always use louro for my cooking  !! 🇵🇹🇵🇹🇵🇹,Cintia Monteiro,2021-03-05T12:32:05Z,0
I love your video 🤍,Nargiza,2021-03-03T08:29:13Z,0
"Is it important to show your laundry, dog...all bullshit exception about food",Almaz Akbarova,2021-02-27T14:41:43Z,0
Was watching until 25 mnts and you started eating the voices u make while chewing loudly seriously why you should do that on camera !!! Will not even finish the video and wish i could find find one video of food without listenning to the crazy chewing,Dalida Gh,2021-02-23T20:51:19Z,0
"@Greer Poulin no need for chewing on mike , chewing loudly will not make me taste , plus nothing more than the recipes is important",Dalida Gh,2021-02-23T21:10:45Z,0
The video is what i EAT in a day....do you expect her to unhinge her jaw and just swallow the food whole?,Greer Poulin,2021-02-23T21:08:37Z,0
I am in my first trimester and omg I&#39;m trying to figure this out. I&#39;m nauseous all the time!,Jennie Bensch,2021-02-23T20:18:31Z,0
"Eating saltines or dry biscuits when waking up helped me through it. And ginger everything. I,m in my second trimester now and it&#39;s finally getting better. That thought will get you through it, it doesn&#39;t last forever. All the best.",acerozaki,2021-02-26T09:18:33Z,1
"Hello everyone, I&#39;m so happy because I am free from (HERPES) I have been suffering from herpes since the past three years now, and I have passed through many different processes in getting cured but nothing was working out.  A friend of mine introduced me to a man called Dr. Abumere who sent me a herbal medicine which he prepared for me and told me to use the herbal medicine for 21 days which i did, and my life get transformed and everything is fine and okay  with me.  Till now I have been going for check up and it is now going to four months and I am still negative.Thanks once again Dr. Abumere may God bless your good works.  so contact him today via email (doctorabumere6@gmail.com) you can also call or WhatsApp him on +2349021975055.  ...",Philip Jane,2021-02-23T17:18:21Z,0
Hi what is herbal coffee? So it safe for pregnant women to drink? Does it contain caffeine?,Thu lai Ky niem,2021-02-20T23:44:29Z,0
that is so healthy ~,Clean Eating清食,2021-02-14T23:08:27Z,0
It&#39;s crazy to me how much you can eat. I&#39;ve had terrible food aversions during my first trimester &amp; am still struggling a bit well into my second trimester. I cannot snack &amp; mainly have 2 main meals. ☹,Malissa A,2021-02-08T23:56:40Z,3
I’m having a girl too and I’m also craving fruits and dairy 😂. I am definitely gonna try your recipes. Thanks :),Sabrina Baillargeon,2021-02-02T23:28:23Z,0
"Hello! I doubt you will read this comment but that soup looks sosossoosososososososososososososo delicious and I am going to make it when our family friends come over next week, and it would be super great to know some measurements and cook times if it&#39;s possible? Thanks and congrats on the baby!",Larissa Leigh,2021-01-05T23:42:27Z,0
Where is your bra from?,Jessica Alvarez,2020-12-20T12:05:49Z,0
But ginger is not good in pregnancy,mursal sediqi,2020-12-10T19:01:02Z,0
R u kidding me? U kept talking n talking n then when u made the smoothie u said nothing why?that&#39;s like the most important part!! What did u put in there??,Safia Rez,2020-12-04T10:57:56Z,0
Dear ur delivery finished or not ❤️ can u tell me u have baby boy or girl,Soumya Sailaja,2020-11-29T12:11:24Z,0
You should of shown us the ingredients of the smoothies you added to it. Let us screenshot n shit,CYB G,2020-11-07T09:44:14Z,0
THE PROGRESSIVE VITAMIN C COMPLEX IS NOT TO BE TAKEN WHILE PREGNANT OR BREASTFEEDING,Lili,2020-10-17T13:51:38Z,0
I love that you are constantly snacking too xD I am so hungry at the end of my second trimester.,Cara Nee,2020-10-07T18:42:39Z,1
"Love soup too. My husband hates it, but I will eat it no matter the weather. Lol",Brittany Bowcutt,2020-09-29T14:45:54Z,0
"Hi love your vlogs &amp; congratulations to you both. Can&#39;t wait to see the new addition. Just a little bit of advice hope you don&#39;t mind, but I recommend you don&#39;t put your pillows on the floor while making your bed because of all the germs that are on your floor will end up on your bed. If you have a chair or an ottoman to put them on, that would b so much more hygenic. Take care xx",Christine Stobbs,2020-09-27T14:00:47Z,0
Is the recipe on your site as well or the cookbook? Would love to save it!,Lauren Hoffmann,2020-09-25T14:04:16Z,0
Try some sour cream in your soup👌🏼 it’s a game changer 😊,Ditta198,2020-09-24T11:41:13Z,0
Everything is organic. That&#39;s just bullshit. You are eating the same thing basically so don&#39;t waste your money,Carol Carolina,2020-09-23T23:13:56Z,0
I feel like you and Bethany mota could be sisters. Your mannerisms and looks are so similar,Gizelle Abad,2020-09-03T07:14:05Z,0
Can I say you are bloody beautiful xx,brittany dummett,2020-08-27T03:47:49Z,0
This was a great video! I’ve been watching a ton of these and I felt this was realistic. I’m trying to eat way better this pregnancy than I did with my first. I’ve also been craving a good chicken noodle soup — try adding crushed tomatoes to the crockpot and more veggies like green beans or peas. Such a yummy twist.,Jacinda Martucci,2020-08-24T17:26:21Z,1
"Its August and I&#39;m craving soup, pregnant life",Natabulous,2020-08-17T17:11:56Z,3
"I&#39;m so excited of you and Matt! My husband and I had our baby boy 6 weeks ago, 7 weeks premature, and we were expecting a girl so nothing went as planned! But he&#39;s absolutely beautiful, healthy, and we wouldn&#39;t trade him for the world 💙",aliesha simpson,2020-08-17T06:45:38Z,6
Where did you get ur glasses they are so cute what brand is it ? Contracts on your pregnancy how exciting,Sandi Rodriguez,2020-08-14T01:43:08Z,0
"Sorry, I think I picked like the one thing you didn’t link but I have to know where you got that double decker fruit basket? I am a fruit monster as well and my bowl is constantly spilling onto the counter.",shuuutthefrontdoor,2020-08-12T15:33:35Z,0
Where are ur glasses from? :),Jackie Lopez,2020-08-12T00:15:55Z,0
"If I am honest, even though I love your vids, you should rest. If you can’t upload don’t stress. Just do it later on when you feel better. But anyways thank you for not giving up.",Zoya,2020-08-11T21:04:24Z,0
