comment,id,date,num_likes
Will that magnesium cream help with bad leg cramps during pregnancy?? Those are the worst!,heather05x,2020-11-28T20:41:44Z,0
"Great Video!  New Subscriber Here! This is My Maternity Photoshoot! Full Video Behind The Scenes! <a href=""https://youtu.be/C1lpaF27hhI"">https://youtu.be/C1lpaF27hhI</a>",D4N13C3,2020-11-21T16:15:49Z,0
What is the cleanser you use ?!?,Alisha Borsato,2020-11-11T01:36:45Z,0
Where did you get your defuser from?,Isla Davies,2020-11-03T22:25:25Z,0
omg happy halloween and its almost November!!!!,Amy plays,2020-10-31T23:22:10Z,0
It’s honestly so nice and enjoyable just to watch you and your bump grow! So excited on how close you are to getting to hold your baby 💛,Sarah Ford,2020-10-30T04:20:54Z,0
when is your due date and are you going to post a birth vlog,steven howick,2020-10-30T00:01:20Z,0
I think the Magnesium balm would  help my mom with her restless leg syndrome would you mind tell me the brand that you use?,Maggie Breitzke,2020-10-29T23:16:07Z,0
❤️❤️❤️❤️❤️,Jenna Lemieux,2020-10-29T20:48:25Z,0
My cousin just had her boy today : - )  It was nice to have some good news in this crazy world.  <br />That stew looks amazing,b lord,2020-10-29T19:32:35Z,0
How do you make this cereal? Also what is the orange lamp thing on your bedside table? I think I’d like one of them to relax at night,Amber Brown,2020-10-29T17:22:18Z,0
Finally purchased the water bottle from your shop that I have been wanting for years! I’m hoping it gets here this week 😊,Mary Ella,2020-10-29T16:50:47Z,0
Any advice how to stay healthy in the first trimester? I feel so nauseous that I can only eat carbs all day long.,A C,2020-10-29T16:19:25Z,0
My mom watches the haunting of bly Manner and I watched some of it and I didn’t last very long! (It was pretty weird and horrifying),Mena V,2020-10-29T13:28:13Z,0
I am also 9 month pregnant sitting in bed with a bowl of cereal watching your pregnancy video 😂😂,Danii Ridley,2020-10-29T11:52:50Z,0
Not pregnant and not looking to get pregnant anytime soon but I&#39;ve been loving keeping up with your pregnancy journey Nikole! Wishing you and baby acorn a healthy and safe delivery 💕,Olivia Herzog,2020-10-29T07:55:39Z,0
So lovely 🥰🥑🛵,Angie#,2020-10-29T06:04:15Z,0
I hope you vlog your hospital/birthing experience. Love all your videos and style.,Lauren Michelle,2020-10-29T05:18:56Z,0
Omg such a calming video to watch❤️,readysteadyrock,2020-10-29T04:33:14Z,0
Loving the cozy vibee❤❤,Anushree Mukherjee,2020-10-29T04:27:26Z,0
Such a relaxing video!! Thank you for sharing 🙏 SO excited for you guys! I hope you have a smooth delivery!! Can’t wait to meet the new member of the family 🥰,Mar D,2020-10-29T03:49:44Z,0
Where did you get your acupressure mat? I would love to try one.,theresa piercey,2020-10-29T03:19:43Z,1
The exact one and discount code is linked in my blog post ☺️,HealthNut Nutrition,2020-10-29T11:42:57Z,1
Do you sleep with the salt lamp on? I hear its good to do so but I need total darkness!,A. Maddox,2020-10-29T00:48:47Z,0
No I like it pitch black when I sleep but if I happen to fall asleep with it on I just wake up and turn it off,HealthNut Nutrition,2020-10-29T01:25:42Z,0
Anyone else blog post link not working? :( SO excited for Matt’s channel so exciting he’s out of his comfort zone and talking about such an important topic. It’s one everyone should dip their toes in as it probably will never not be a necessity! Totally didn’t expect him to make a channel. It’s great to see a guys channel as some guys like to be off camera more! Very smart and well explained and talked about in his videos. Everyone should have a hobby or activity they love pouring into hope that’s the channel for Matt. Something all for himself. Really good self care. Love getting to know him better! I hope the channel takes off!!,Taylor LaVerdiere,2020-10-29T00:19:17Z,0
I&#39;m 37 weeks and I wake up pretty well every hour at night 😩,TJ B,2020-10-29T00:10:26Z,0
What does the acupressure mat help with?,Uswa Mansoor,2020-11-07T11:40:12Z,0
Congrats on your pregnancy but sorry to hear sleep is tough for you right now. Seriously I cannot reccomend the acupressure mat enough! It’s saved me from restless nights,HealthNut Nutrition,2020-10-29T11:44:20Z,1
Would you mind sharing where you got your essential oil cabinet from? It’s so cute!!,nourish me,2020-10-28T23:00:11Z,0
Target! I think there’s an old swipe up link on my oils highlight on my Instagram account. Not sure if it’s sold out now,HealthNut Nutrition,2020-10-29T11:44:52Z,0
That stew was like the most Portuguese thing I&#39;ve ever seen &lt;3,Bumble Bee,2020-10-28T22:24:25Z,6
@Mariana Orlindo She is Portuguese Canadian.,Adétola Adébayo,2020-11-01T07:17:41Z,0
Is she portuguese? <br />Because i am and i would like to know 😊,Mariana Orlindo,2020-10-29T22:06:43Z,0
Haha it is 😂,HealthNut Nutrition,2020-10-29T11:45:10Z,1
So true 🙂,Margarida Sousa,2020-10-29T00:18:12Z,1
Who else remember the gender reveal? 😍😍😍🔔,How To Cuisine,2020-10-28T21:33:27Z,0
My son is 10 now but I remember those pregnancy pillows...so comfy..your skin is glowing..beautiful,Zina,2020-10-28T20:43:48Z,0
"Hi, you are amazing!! You are going to be a great mom. ❤️ Have a great day!!",Cate Campbell,2020-10-28T20:38:23Z,0
