comment,id,date,num_likes
Omgsh I’m only 21 weeks and my little boy wakes me up all the time with his movement! But I do love it 🥰,Maria Christina,2021-01-29T13:42:49Z,2
I would love to see an essential oils video!! Would love to learn more about those! 😊,Lauren Knutson,2021-01-25T18:03:15Z,0
Only found your channel due to pregnancy content and I’m loving it ❤️,Tara O' Connell,2021-01-25T13:15:41Z,1
Aw welcome! I have a whole playlist so enjoy 😉,HealthNut Nutrition,2021-01-25T13:57:50Z,0
Were you taking prenatals with Dha or the regular ones ??? If regular prenatals like materna then how you were taking Dha ( omega 3 fatty acid ) ??????<br />Can you please share <br />Thank you.,tulsi patel,2020-12-27T04:45:13Z,0
Hey dear... <br />Which prenatals and supplements you were taking before and during pregnancy <br />Can you please tell.<br />Thank you.,tulsi patel,2020-12-27T04:43:46Z,0
I would love to hear more about your essential oils 🙋,Janine Dieterle,2020-11-29T20:32:13Z,0
"Thank you for your informative, interesting and honest take.. Your baby girl is super cute. 💕",Esosa U,2020-11-29T03:46:50Z,0
I just love your sentence &quot; you are stronger than you think&quot;❤️,Manali Desai,2020-11-28T22:09:01Z,0
Hello! Which formula did you buy as you backup?,Amanda Reyes,2020-11-28T20:18:51Z,0
Would love an in depth video on oils :),Alexandra Kollias,2020-11-27T20:24:11Z,0
Congratulations to you and your family you look absolutely stunning beautiful gorgeous love your baby bump what brand of diapers are you going to use,Matthew Cheatham,2020-11-27T12:27:55Z,0
"Beautiful mommy,  Handsome daddy<br />Cute baby.♥️",Javeria Sohail,2020-11-27T08:24:09Z,0
What formula did you decide on? :),Laura Laing,2020-11-26T23:15:54Z,0
"Greetings from Greece!Congrats on your baby!!I heard you say the word &#39;&#39;doula&#39;&#39; and I m familiar with the term in a very different <a href=""http://way.here/"">way.Here</a> in Greece women just see their obstetrician(gyno) once on every month of their pregnancy.They don&#39;t get any help from midwifes and fan fact(!) we don&#39;t have doulas.Doula is a greek ancient word that means woman slave and we only use it to describe female maids or slaves of that time.The word for man is &#39;&#39;doulos&#39; .This is interesting and weird at the same time.I just wanted to share it with you guys.",Mare Aa,2020-11-26T17:50:25Z,1
@Mare Aa a maybe ...looking at her more during the video I realized  she reminds me of someone  I know..so maybe that&#39;s why it felt so familiar..,Irene Delia,2020-12-04T15:30:46Z,0
​@Irene Delia Not greek but definitely a mediterranean girl... : P .I think she has roots from Portugal.,Mare Aa,2020-12-04T15:07:57Z,0
I&#39;ve  never been at this channel  before so idk  the girl and details...but since I found a greek one...doesn&#39;t  she look greek to you?idk she gave me this impression  immediately when I saw her,Irene Delia,2020-12-04T14:55:36Z,0
I noticed the opposite can also be true: I know so many women including myself who got pregnant the first cycle without really trying and who are shocked how fast you can get pregnant. But yeah sometimes it can take a long time. But for anyone reading this  if you start trying be aware you can be pregnant 2 weeks later.🙃 I have seen so many women who started trying just before their wedding because they thought it would take months😄,surlespasdondine,2020-11-26T08:41:48Z,1
@Brittany Davenport Yes and it&#39;s funny how often this happens. That&#39;s why even when on the pill and u forget to take it once u can end up pregnant. All my friends apart from one got pregnant first or second cycle,surlespasdondine,2020-11-26T14:02:23Z,0
This is where I’m at. We were “trying” in that we weren’t preventing but I figured it would take a few months and we were going to start actively trying a few months after we stopped preventing. But we got pregnant the first cycle of not preventing and we were extremely surprised.,Brittany Davenport,2020-11-26T13:57:40Z,0
I&#39;m in this camp too lol,semt9,2020-11-26T12:13:43Z,0
You’re one of the few youtubers that puts timestamps in the description and for that alone you are a goddess,Cristina P.,2020-11-26T05:39:01Z,5
My mom and I call lightening crotch shooting stars... I get it and I’m not pregnant 😂,Shannon Stone,2020-11-26T05:14:45Z,0
😂😂,HealthNut Nutrition,2020-11-26T16:17:14Z,0
