comment,id,date,num_likes
"For the first one, I dont like coconut milk is it fine to use regular milk?",katherin gomez,2021-04-23T01:14:33Z,0
Peanut butter celery &amp; raisins,Kristie Iverson,2021-04-21T02:10:45Z,0
Where do I find that cereal? What&#39;s the name brand?,ida houston,2021-03-14T02:34:58Z,0
Love this and you&#39;re gorgeous!!! Glowing angel 💗🥰🙈🙈💟,Ratha Sri,2021-03-04T12:59:14Z,0
i love drinking milk,1J Amrita Ramlogan,2021-03-01T22:14:04Z,0
What if we use agave nectar in the Chia pudding would it change the taste,Roll A Mile In My Shoes TV,2021-02-27T04:37:52Z,0
"Yo If you mix some Nutella in the chia pudding, it’s kinda like the chocolate Rice Krispies cereal",Pigwidgeonit,2021-02-18T04:49:41Z,1
Great ideas! I do the cucumbers slices with hummus too! Yum,astanapane137,2021-01-17T09:13:35Z,0
"Cucumber bagel bites...OMG!!!<br />Was a bit skeptical,but they looked good. Decided to try for a healthier snack. So so happy tou showed this! Found my new go to mid day pick me up!! Thank you. And congratulations on the new baby❣",Trisha Barr,2021-01-07T21:43:56Z,0
If I wanted to pre prep the cucumber bites do you think they would get weird with the cream cheese? Like just have them sliced with the cream cheese already and then add the seasoning when I&#39;m about to eat them?,Brooklyn Rendall,2020-12-13T03:18:04Z,0
A snack I love to assemble is banana slices with peanut butter spread on them dipped in chocolate but you can even skip the chocolate,musrat jahan,2020-10-08T20:43:08Z,0
You can eat that whole piece that you composted!!!😳😬,Lauren Rush,2020-10-01T02:51:05Z,0
This is awesome! You look lovely and radiant! The link to your equipment on amazon “light” is not working would you send the correct link please! And thank you!,trinidadhrb1,2020-09-28T20:57:36Z,0
People actually leave their milk?? No way. Have to drink it,Chloe Harris,2020-09-21T09:34:38Z,0
I drink the cereal milk first so my cereal doesn’t get soggy lol 😂,Adrienne Marie,2020-09-21T04:40:25Z,0
You&#39;re the most radiant looking pregnant woman! I wish I looked that good when I was pregnant😪,Claire Standley,2020-09-18T19:15:38Z,1
First time watching your channel and love the simplicity! Definitely will be watching tons more of your videos ❤,Leandra Murray,2020-09-16T07:35:07Z,0
I will publish a video from our road trip to Sweden tomorrow with real Swedish breakfast!! Loving it!!! ☺️,Agnes Skibicka,2020-09-15T08:29:41Z,1
