comment,id,date,num_likes
Oh my gosh the pancake recipe - is it posted anywhere yet?😍,N C,2021-04-27T09:51:53Z,0
wow <br />👍,Pati nazir,2020-11-01T22:08:40Z,0
"Also, where can I get the blue spray bottle you were using while cleaning your white cabinet in your living area? :) 😊",Erin P,2020-09-27T23:33:07Z,0
"This so motivated me that both my daughter and I were cleaning out shelves and cabinets, wiping them clean and then going to dollar store for organizing bins. Ty!!!",Christina Wilde,2020-09-26T23:01:13Z,0
"Girl, it always have to get messy before it gets clean 💁🏼‍♀️",Ingridlosneslokken,2020-09-20T10:31:54Z,0
Very nice video. Good tips too. I so need to Declutter my kitchen. Its a small one. Could probably pitch a bunch of stuff I don&#39;t need. 😊💖,Jamie Cee49,2020-09-16T05:20:55Z,0
I love your videos keep them coming 🙌💕!!!,Annie Jepson,2020-09-15T17:08:58Z,0
You use the same Coconut Milk as me! Aroy-d is so affordable and no nasties :),Everyday Jane,2020-09-14T17:20:40Z,0
How do you make your stewed berries?!,Maria Economou-Ellison,2020-09-14T16:44:11Z,0
I love that I’m not the only one with a basement kitchen full of extras 🙌🏼 seriously I don’t know what I would do without a second kitchen for storage 🙈,Sarah,2020-09-14T16:02:58Z,1
Wow looks yummy and delicious 😋 pancake with fruit compote dear..enjoy watching your video.. new friend stay connected stay blessed 😊👍🤝❤️👌🛎,London Essentials Vlog,2020-09-14T14:07:49Z,0
Awesome job organizing! Matt&#39;s reaction was priceless lol,Jennifer Reynolds,2020-09-14T06:31:43Z,0
He kills me🤣🤣,HealthNut Nutrition,2020-09-14T16:43:01Z,0
Omg! I love this! What do you stack the spice bottles on in the cupboard?,mssatgirl,2020-09-14T01:28:26Z,0
So inspiring 😍 I’ve been wanting to organize my kitchen 🙋🏼‍♀️,Emma Reinhold,2020-09-14T01:09:16Z,0
It&#39;s the best feeling🙌🏻,HealthNut Nutrition,2020-09-14T16:41:59Z,1
Where can i order the coffee from?<br />The instant coffee,Andrea Cuellar,2020-09-13T20:22:57Z,0
"Here&#39;s the link to the herbal I&#39;ve been drinking and loving for years!  <a href=""https://amzn.to/2tVVOqi"">https://amzn.to/2tVVOqi</a> 😊💕",HealthNut Nutrition,2020-09-14T16:44:53Z,0
"Curious to see what you feed Cashew?! I hope its not processed dry food and its human grade since you practice a healthy, non-toxic lifestyle.",Eva,2020-09-13T20:03:52Z,1
"We feed her OpenFarm pet food and love it.😊 <a href=""http://bit.ly/3acN17y"">http://bit.ly/3acN17y</a>",HealthNut Nutrition,2020-09-14T16:37:50Z,0
Congrats on the new addition to your family. Wishing you good luck and good vibes .,Angela Coles,2020-09-13T06:25:37Z,0
Thank you! We can&#39;t wait😊💛,HealthNut Nutrition,2020-09-14T16:35:19Z,0
Can you do a video of just Matt&#39;s snacks? I need some ideas for my husbands.,Christina B,2020-09-12T20:40:36Z,0
"Matt is not a dramatic person, he is very calm.  You are going to love that when you are in labor!!! ❤️",cornn16,2020-09-12T18:13:40Z,0
"Really good video! We are in our 80&#39;s and feel better than ever!  Eating healthy is the key to a happy, healthful, and long life.  Doing some research for our tiny new healthy-aging advice channel for people of all ages. Learned a lot. Thank you.",Young At Any Age,2020-09-12T17:59:29Z,2
So happy to hear you enjoyed it! Thank you for watching😊🥑,HealthNut Nutrition,2020-09-14T16:45:54Z,0
“We’ve got our robots under there.” Wow we are in 2020 that’s for sure.,The Salty Girl,2020-09-12T17:15:56Z,3
I love the pregnant you ❤️❤️❤️,Eddiyana Exantus,2020-09-12T16:45:03Z,0
🥰🥰🥰,HealthNut Nutrition,2020-09-14T16:34:09Z,0
Hey Nik! Would you ever be open to selling some of your used kitchenware on the Healthnut Shop?,Monica Cooper,2020-09-12T15:48:16Z,2
Where did you get your pot from? The one with the berries in it?? It looks like a nice durable one! :),Erin P,2020-09-12T13:51:32Z,0
Umm the link takes me to Open Farm? Do you have a direct link to the set you use? Thank you! 🥑😊,Erin P,2020-09-27T23:14:04Z,0
"We got them from Canadian Tire years ago! We love them😊<a href=""http://bit.ly/3acN17y"">http://bit.ly/3acN17y</a>",HealthNut Nutrition,2020-09-14T17:05:39Z,1
I think you can donate the expired medication,Linds 33,2020-09-12T12:56:33Z,1
I wish I was your best friend that lived near you!😍,Janice Boland,2020-09-12T12:42:02Z,0
"You really have a lot of back stock. I guess that’s good if you have the space. Good job, Nic.",Ruthann P,2020-09-12T09:31:42Z,0
Tidying up with your motivation right now!✨,Ella High,2020-09-12T08:13:32Z,0
Haha yay - the best feeling! I&#39;m glad I could be a source of inspiration😉🙌🏻,HealthNut Nutrition,2020-09-14T16:36:33Z,0
"i am just like u - i was brought up with the phrase &#39;if it isn&#39;t worse before it gets better, you aren&#39;t doing it right&#39; lol (in terms of cleaning)",Keto Mummy UK,2020-09-12T07:10:18Z,0
You put English subtitles on your videos please! 🙂,Tâm Phạm,2020-09-12T03:45:30Z,0
Be careful 🙂,Deneice Scales,2020-09-12T02:28:38Z,0
Those pancakes look delicious! I will definitely be trying that recipe soon! Thank you for an awesome and entertaining video 😊,Natalie Garcia,2020-09-12T01:45:21Z,4
Wow I have missed 😳😱😱 so much congrats on your baby you too the last time I watched you weren’t pregnant you just adopted your dog wow time flies,Always Hawa,2020-09-12T00:18:18Z,3
"Of course guys anytime 😉❤️❤️ <a href=""http://www.youtube.com/results?search_query=%23healthnutsquad"">#HealthNutSquad</a>",Always Hawa,2020-09-14T16:57:45Z,0
Tell me about it! Thank you for the kind words😊🥑💕,HealthNut Nutrition,2020-09-14T16:43:42Z,1
So the nesting begins!!,misslori66,2020-09-12T00:17:21Z,0
Where did you get that gorge white buffet cabinet? Love you guys!,Noa Whitney,2020-09-11T22:23:35Z,1
My favorite YouTubed. Such great energy!,Michelle Gordon,2020-09-11T21:28:35Z,2
Awe this is so sweet😭💛 Thank you!,HealthNut Nutrition,2020-09-14T16:45:11Z,0
I love this video!!  I remember being in &quot;nest&quot; mode😊❤  (only thing I&#39;m sorry to say... That music!  Ugh!!),Kymberli Shea,2020-09-11T21:25:53Z,3
"I saw someone recommend oven liners recently and I love how easy it is to clean my oven now! It’s like one of those things that I never knew I needed until I saw it (like half the gadgets on the HealthNut site 😂).<br /><br /><a href=""https://www.amazon.com/dp/B01CKFSCOS/ref=cm_sw_r_cp_api_i_ZR-wFb81R4E1H"">https://www.amazon.com/dp/B01CKFSCOS/ref=cm_sw_r_cp_api_i_ZR-wFb81R4E1H</a>",Michaela Strouf,2020-09-11T21:25:25Z,0
Girl you need some oven liners!!! Haha best purchase I’ve ever made- no more scrubbing the oven!,KYB _,2020-09-11T21:05:02Z,0
That&#39;s a good point! Thank you for the tip😅,HealthNut Nutrition,2020-09-14T16:35:58Z,1
Love your videos ♡ I laughed so hard at Matt&#39;s reaction haha exactly the same as my partners! So unimpressed and so many questions hahaha. Now I want to reorganise my whole kitchen!♡,mindfullynatalia,2020-09-11T20:53:55Z,3
"Haha, Matt’s reaction to your kitchen organisation is exactly what my husband’s reaction would have been!",Andrea Jennyc,2020-09-11T20:46:27Z,22
🤣🤣 I had to keep it in there for some real-life content!,HealthNut Nutrition,2020-09-14T16:48:30Z,3
Oh man I need that pancake recipe!,Kailene Velez,2020-09-11T20:16:01Z,2
Stay tuned😉🥞,HealthNut Nutrition,2020-09-14T16:42:08Z,0
You have like a whole supermarket in your house! Very privileged/blessed,Nicole Andries,2020-09-11T20:08:42Z,5
What protein powder do you use?,a k,2020-09-11T20:08:18Z,0
"@Taylor Palmer Exactly! Thank you, Taylor😊 Here is the link: <a href=""https://rstyle.me/+n472inemYUtofWlfLwq0LQ"">https://rstyle.me/+n472inemYUtofWlfLwq0LQ</a>",HealthNut Nutrition,2020-09-14T16:32:40Z,0
The one she showed is from “Garden of Life”,Taylor Palmer,2020-09-11T22:14:48Z,0
We help a friend with the maple syrup process so we get as much as we want. It&#39;s so much better than the fake stuff. Those pancakes look so delish!,whatever it takes,2020-09-11T19:54:53Z,0
Wow lucky you guys - that sounds amazing! Pancakes wouldn&#39;t be the same without it😉🥞,HealthNut Nutrition,2020-09-14T16:34:43Z,1
I’m in the nesting phase as well,Sam Tovar,2020-09-11T19:52:35Z,0
"You did a great job! It always feels nice to have an organized house. Wish I lived closer, would take those extra bowls.",Sherri Williams,2020-09-11T19:49:19Z,4
"I love your videos and it is so beautiful to watch every week.  You look gorgeous and love you so much Nik. <a href=""http://www.youtube.com/results?search_query=%23healthnutfam"">#healthnutfam</a> 😃💖",Thuvaraka Mahenthiran,2020-09-11T19:35:37Z,3
"So lovely spending quality time with you 🥰 I love your videos! Do come and say HI one day, we&#39;d love to show you what we&#39;ve been up to 😊💗💚💞",Sensory Vibes,2020-09-11T19:29:13Z,1
OOOO I always put the berries into the batter itself cos its like an explosion when you bite into the pancake!,Sam Elle,2020-09-11T19:23:38Z,7
Agreed!🙌🏻,HealthNut Nutrition,2020-09-14T16:33:25Z,0
@didibebedidi YES YES!!! it does look a little funky in color hahahah. My fav are blueberries!,Sam Elle,2020-09-11T20:18:22Z,1
"Sam Elle Me too! I also like the colour of the pancake, it&#39;s weird 😂 but the taste is delicious. 👍",didibebedidi,2020-09-11T20:13:59Z,0
just popping in to say i love how long your vids are!! always a perfect length for a relaxing lunch break :),nik nm,2020-09-11T19:17:30Z,24
@Fox Eliseo i am trying it out now. Looks promising :),Jairo Russell,2021-04-01T10:56:59Z,0
Dont know if anyone gives a damn but yesterday I hacked my friends Instagram password using InstaPwn. You can find it by Googling for InstaPwn password hack ;),Fox Eliseo,2021-04-01T10:41:25Z,0
I&#39;m so happy to hear how much you guys have been loving the longer vlogs! Thank you for watching😊💕,HealthNut Nutrition,2020-09-14T16:49:17Z,3
It’s true tho..,Eman,2020-09-12T22:58:36Z,0
Uhh okie then,???,2020-09-11T21:51:46Z,0
"Due next month with baby #5, and I am NOT ready. Lol",Sophie Homemaker,2020-09-11T19:17:22Z,7
@HealthNut Nutrition thank you 😊,Sophie Homemaker,2020-09-14T20:52:21Z,0
"Ahhh congrats, Mama! You got this😊💪🏼",HealthNut Nutrition,2020-09-14T16:46:54Z,1
Oh i love this content 😍 Thank you for putting so much content out😍 Pottery Barn kids is a great shop for furniture. Beets and red foods are really good for blood loss glad you’re stomaching beets! I noticed you don’t have a folate not folic acid they are very different. :) folate in Mama Bird prenatal is a great brand.If you want a really high quality vitamin master formula from YL is incredible and I have heard midwives know when people take it from how healthy their placenta looks. It’s very pricey maybe just a glance on their website about it!,Taylor LaVerdiere,2020-09-11T19:11:10Z,0
The people who appear strongest on the outside are the weakest within<br /><br />-The Shades,Shazistic,2020-09-11T19:08:14Z,1
This is random AF. And I don’t believe this to be true. Interesting thought though.,Taylor Palmer,2020-09-11T20:58:14Z,0
"So happy to see that you are staying safe and healthy and hope everything is going well for you during your pregnancy and hope your unborn baby is healthy and growing and my thoughts and prayers are with you for a safe and healthy pregnancy and God bless you all and stay safe and healthy. Love 💘, guys",Matthew Carrubba,2020-09-11T19:07:59Z,3
I definitely wanna try those 🥞,Shirisha Reddy,2020-09-11T19:07:43Z,0
Can you make a video on preparing/getting ready for guest routine?,Kathleen Hsu,2020-09-11T19:06:26Z,0
"I LOVE YOU NICOLE, LOVE FROM OTTAWA",muna jaama,2020-09-11T19:02:37Z,0
