comment,id,date,num_likes
I know it’s months later and you may not see this message but where did you get your nursing bras from? Or if anyone knows I will appreciate knowing thanks a bunch trying to prepare for my 3rd baby girl it’s been 12 years since my last one so yes I have a lot to learn what’s good and new. <br /><br />Thanks for all your videos they are truly helpful in knowing what ways to save space and what’s worth buying and not.,msrose913,2021-05-02T23:56:12Z,0
so cute,Clean Eating清食,2021-03-22T17:00:55Z,0
How adorable cashew and Sage,Claudia Badia,2020-12-14T00:10:46Z,0
She is so beautiful!  Congrats!,Vanessa Gilic,2020-12-11T16:35:29Z,0
"I can take pictures of the baby this way, and I will earn more money",Bowser - King Koopa,2020-12-10T15:29:20Z,1
Thank you for sharing the photo shoot.,Sandy Roberts,2020-12-09T21:51:01Z,0
She look lik maet,ranad rashad,2020-12-09T19:00:05Z,0
вы очень милые! 😊 thank you friend👍,ЯжеВика,2020-12-09T16:39:25Z,0
"So adorable! However you should never cover a carseat (or stroller) with fabric, it blocks airflow!",Atyde91,2020-12-07T11:08:58Z,0
Can you add English subtitles please please? I need it,Tâm Phạm,2020-12-07T04:44:40Z,0
The cuteness 🤗🎀🙏,Laura Sanchez,2020-12-07T04:34:27Z,0
What bassinet did you get?! Is that the mamaroo?,Nadine Nock,2020-12-06T18:06:10Z,0
Sage is so beautiful,Claudia Ndlovu,2020-12-06T06:24:29Z,1
😍😍😍,Alejandra C.,2020-12-06T04:46:54Z,0
The ones in the flowers 😭,Taylor LaVerdiere,2020-12-06T04:05:02Z,0
any other zevia flavour recommendation?,Carmen Chan,2020-12-06T02:54:39Z,0
"You honestly can&#39;t go wrong with any! Matt loves the Root Beer, too😊",HealthNut Nutrition,2020-12-07T16:08:42Z,0
"Oh my, is it just me or does my husband have a strange resemblance to Mr Matt. I swapped out my profile photo so it&#39;s one of him too. This is freaky, I might need to show you more photos. Lol what do you think?",Jess M,2020-12-06T01:44:50Z,0
Random but where’s your polka dot stocking from?? That’s the exact color scheme I’ve been looking for,Rachel Troutman,2020-12-05T18:22:46Z,0
Target but last year 😉,HealthNut Nutrition,2020-12-05T22:56:42Z,0
Those photos are sooooooo beautiful!,cornn16,2020-12-05T18:12:16Z,0
"Thank you! Ophra did such an amazing job, we couldn&#39;t be happier with how they turned out💕",HealthNut Nutrition,2020-12-07T16:01:13Z,0
"Victoria’s Secret needs to hire Cashew because she makes everything look good 💁🏾‍♀️ <a href=""http://www.youtube.com/results?search_query=%23modelpupper"">#modelpupper</a>",Tatyana Ashley,2020-12-05T17:09:47Z,2
Cashew is the most photogenic pup ever! 🐶💕,Jade Valdez,2020-12-05T16:51:36Z,0
❤️ the photo with her little feet in your hands. Such a beautiful family. It’s nice to see 2020 has been good to some people and you deserve it,Nicolette Altieri,2020-12-05T16:42:01Z,0
"So sweet, thank you😊💕We are definitely feeling very blessed to have her in our lives!",HealthNut Nutrition,2020-12-07T16:08:04Z,0
Love the one with your hands holding her feet.,Karen Klepsch,2020-12-05T16:26:12Z,1
