comment,id,date,num_likes
I&#39;ve purchasing the essential oils that you&#39;ve suggested. Could you please tell me where I can purchase the roller balls that fit onto the bottles? I purchased from Amazon but they don&#39;t fit. Thank you!!,Jen,2020-09-28T15:58:03Z,0
I love this vlog! And ur style! 😍😅,Sophia R,2020-09-25T03:04:14Z,0
what lake is that? it is very beautiful🥰,Kristina G,2020-09-23T01:00:03Z,1
"Was that a tortilla she was making in the beginning? If so, what is the recipe?",Kristina G,2020-09-23T00:53:31Z,1
Baby kicks are the best!  😍,bu2ful 1 1,2020-09-22T15:37:31Z,0
Beautiful bump! Can&#39;t wait to meet little acorn. Cottage looked wonderful!!,Karen Graves,2020-09-22T01:09:29Z,0
"Loved your cottage get away! Baby acorn bump is looking so cute. Love how cashew is so brave in the water. We rent a simple cabin every summer with no running water only electric and stove and we love it, wish I lived there all year long!",Jennifer Reynolds,2020-09-21T06:21:58Z,0
Oh wow that cabin sounds so dreamy✨ It was such a nice weekend - we didn&#39;t want to leave!,HealthNut Nutrition,2020-09-21T15:16:58Z,0
"I&#39;m so spoiled. I live at a cottage huge garden ,orchard green house.  The lake is a 5 min walk the ocean is a 15 min walk. I&#39;m a garden landscape designer and do installations. So lucky me im outside all z time. Feel blessed every day. Cashew would love it here our dogs don&#39;t know how good they have it. Ha ha.",Erin Reed,2020-09-20T22:17:38Z,0
What a relaxing getaway! Cashew is the CUTEST thing throughout this whole vlog. Her smiling and swimming were the best.,Haley Duncan,2020-09-20T12:48:07Z,2
The anxious person in me loves packing videos. I always feel like I&#39;m forgetting something so this is great inspo.,cappi dave,2020-09-20T02:46:04Z,0
"Cashew swimming made my day😅 such a great and relaxing vlog, so happy for your family😘🏞",Yesica Gutierrez,2020-09-20T01:41:31Z,1
"I never knew the cottage life until I started dating my boyfriend and we went to his family’s cottage, but it quickly became my favorite place to be ☺️",Emma Reinhold,2020-09-19T20:47:38Z,2
Cashew 😍🥰,Brittney Henry,2020-09-19T20:09:16Z,0
Looked like the most amazing day! Loved it!!,Jen,2020-09-19T17:53:59Z,0
It was! We already can&#39;t wait to get back there🥰,HealthNut Nutrition,2020-09-21T15:17:37Z,0
Watching this vlog makes me miss summer already ☹️,Stacey Barker,2020-09-19T16:11:21Z,0
That makes two of us! It went by way too fast😅,HealthNut Nutrition,2020-09-21T15:20:22Z,0
Aren’t pregnant women not supposed to have half cooked eggs?,Anuja Bagade,2020-09-19T15:25:05Z,0
She always says that she chooses to eat certain foods even though she knows it&#39;s not good for her baby.,Katrina Bryant,2020-09-20T21:19:54Z,0
Such a lovely vlog to watch ❤️,readysteadyrock,2020-09-19T14:27:14Z,0
I&#39;m so happy to hear that🥰 Thank you for watching!,HealthNut Nutrition,2020-09-21T15:15:21Z,1
Hi Nicole I love watching your show every day are you going to. Film the birth of your baby that will be great. I&#39;m on my husbands computer. My name is Betting I love your. Show,Luigi G DeLucia,2020-09-19T14:01:13Z,0
We have a cabin in Tennessee on the lake and we love it!  I was so happy to see you are putting a life jacket on Cashew.  Lakes are very deep and have whirlpools throughout which we cannot see that can pull people and dogs under without warning.  When we are on our boats please have your life jackets on you and your dogs everyone! Thanks for a wonderful video!,Jane Barscz,2020-09-19T13:11:21Z,0
"Here in US doctors advise no lunch meat, or eggs that aren’t FULLY cooked. Curious if it’s the same in Canada? Or if it’s just a choice? I never personally agreed with it.",June C. Rodriguez,2020-09-19T12:40:42Z,0
