comment,id,date,num_likes
What is the name of those underwear? The ones from Amazon. :) They look very comfy and safe. (If you get me lol)😉🤰❤,Momma Bear,2021-04-20T11:30:11Z,0
Baby beg?<br />Lol baby bag. And not bein mean. Just drivin me nanners. Much much love.,Holy Warrior for the Kingdom,2021-04-15T17:02:52Z,0
You say “bag” really uniquely... is that a Canadian thing?,Equisita809,2021-04-15T02:17:50Z,0
Would love a video where you revisited this and talked about what you didn’t need and what you wish you’d brought! I’m a FTM and love these.,Spring Weaver,2021-04-15T02:14:27Z,0
Love love love your content and long videos!,Rowen Ander,2021-04-12T16:17:29Z,0
You will for sure want the stool softener but the hospital will provide it. Going to the bathroom after pushing out a baby is no joke. Loved the video and thought you did a great job.,Laura Marbury,2021-04-07T19:40:57Z,0
Omg I love that idea of taking Newton and 0–3 montes baby clothes because you never know&#39;s and you can have a toldder😁😁,Julissa Guerrera,2021-03-29T14:45:33Z,0
The peri bottle is because you cannot wipe after you have vaginal delivery,Jaidyn Dahn,2021-03-24T18:30:11Z,0
"“I just got black, because shits getting real” <br /><br />😂😂😂😭😅😂 I THINK that’s the first time I heard you cuss &amp; it was for the most legit and seriously much needed thing to say. Because YES afterbirth - shit gets aLREAL, esp with our body and blood 😂😂😂😂🥴🥴🥴🥴",Vanessa Heslop,2021-02-25T21:50:16Z,0
Nooo cream helped me so much when my milk came in until they got use to be sucked on 😅😅❤️,Vanessa Heslop,2021-02-25T21:46:18Z,0
"Hi Nikole, can you please recommend me what Diapers natural brand do you use on your baby ? I appreciate the help in advance. Thank you. I am looking for natural organic options for diapers that Don’t have bad synthetic ingredients in them. Thank you!",lucky13laws,2021-02-20T00:42:20Z,0
New to your channel and I love it 🥰,Hannah Frandsen,2021-02-02T15:11:00Z,0
"Could you please post a video, on what you actually used in hospital and wot did hospital provide. Please?",Shades Vsm,2021-02-01T02:00:32Z,0
"Yes your nipples will be sore!<br />My daughter was admitted to the NICU and I started pumping immediately, and my nipples didn’t like it. Nipple cream saved me.",Paula E,2021-01-18T14:43:57Z,0
What food did you eat after sage was born? Like in the hospital and did you bring your own food? We are going to a birthing center and bringing our 3 boys so I have to prep food for them for at least a day and maybe a half. But just wanted to know what you ate.,Tiffany Leonard Fit,2021-01-14T03:44:32Z,0
"Great Video! We look forward to showing what will be in ours ❤️ <a href=""http://www.youtube.com/results?search_query=%23thephillipsfamilyy"">#ThePhillipsFamilyy</a>",The Phillips Familyy,2020-12-28T19:41:06Z,0
"My whole life I kinda didnt like kids and never wanted them but honestly lately I really feel like it would be a beautiful and natural thing to be a mother. Idk I&#39;m only 16 but like lowkey I really want to be a mother. Anyways congrats on baby Sage, you&#39;re both so beautiful and i bet you&#39;re going to be an amazing mother 😁",Larissa Leigh,2020-12-28T18:16:53Z,1
Link to the bags?! I can’t find them anywhere!,Fueled By Fasting,2020-11-28T03:15:38Z,1
Can you do an update on what you actually used versus what you brought? Would you change anything you packed or wish you had added?,Heather Gray,2020-11-16T17:49:45Z,0
Hey there ftm. What hypnobirthing classes did you take?,Kim Huddleston,2020-11-15T23:46:23Z,0
Congratulations to you and your family on baby number one you look absolutely stunning beautiful gorgeous love your baby bump what brand of diapers are you going to use,Matthew Cheatham,2020-11-14T19:46:06Z,0
You might want more clothes for baby. It&#39;s surprising how many clothes they go through in 24 hours. More pads might be needed too.,James Patricia,2020-11-12T16:40:03Z,0
I remember that having slippers is a must.. i actually needed breast pads. I packed dry shampoo.. and swaddle blanket for the baby .. hair ties are a must too.. good luck,Fatima Alahmed,2020-11-10T11:57:30Z,0
Thank you so much for this this video. I am also expecting and this been more helpful that the other videos I watched. Wish you safe delivery ♥️,lylky,2020-11-09T13:48:16Z,0
"I would bring a few pairs of socks for baby acorn! My babies always had ice cold feet, and their pediatrician said to put socks on under the footies! <br />I love your style! Bags are beautiful, clothes are perfect t!",Nora DuPree-Lohr,2020-11-09T04:20:44Z,1
"Yeah honey you said it you literally have no idea!! Bugger all those oils for &quot;down there&quot; Dermoplast will be your best friend and its not all natural, you will be using the Hospital pads after delivery because those teeny all natural ones wont cut it. I completely understand taking everything you may need as you cant leave the Hospital during these times. Hope all goes to plan and that you are open minded if it doesnt. Best of luck to you and Mr Matt. Look forward to meeting your little Acorn.",Brilliant But Blue,2020-11-07T08:52:28Z,1
*to reference,Kayla Louise,2020-11-06T16:14:59Z,0
