comment,id,date,num_likes
"Mexican people watching her taking out the seed from the avocado be like: You got this, you got this, be cool...",Nahua Celtíbera,2021-04-28T01:04:03Z,0
Oh that look so delicious,Esther Andrews,2021-03-23T19:06:11Z,0
i acually like this video because it is very interesting and gave me i deas for eating haelthy snacks,1J Amrita Ramlogan,2021-03-01T21:29:47Z,0
That cottage egg with Avocado on toast looks devine and the granola yummy 😋,Jamie Belmont,2020-09-23T23:02:13Z,0
"Someone probably already asked, but does it make the eggs taste like lemons?",Kookys Korner,2020-08-14T16:46:17Z,0
"I was so excited to try the cottage egg recipe! Once I tried though 😑 Definitely not for me! I really like the texture or taste lol, I can’t be the only one?!?🤔😆",Sarah M,2020-08-12T22:35:58Z,0
Oh wow!  Thank you so much for the easy and so yummy looking breakfasts!,Sandy Drifka,2020-08-06T15:41:28Z,0
did i see &quot;ghee&quot;?Indian people &#39;s favourite! It&#39;s healthy fat and yum in taste!,Sangeeta Gupta,2020-07-18T10:04:26Z,0
"great recipes! but one little thing: please don&#39;t hold the avocado in your hand as you whack the pit to get it out. Put it on the cutting board! It&#39;s too easy to slip with a knife like that. You can deeply gouge the middle of your hand, or sever tendons in your fingers, which can permanently disable them. Trust me! Use the cutting board for every coring task.",clh 323,2020-07-17T00:52:33Z,0
"I love this video !!☺️❤️ <br />Btw, I created an instagram account where I post some recipes and It would mean a lot if even 1 person have a look at it 😖<br />My ig is cookingmomi",Morgane,2020-07-12T11:08:01Z,0
Hey! Off the topic but I have always loved your coffee mugs - the one in this video and the order one “what I eat in a day” recent video. Can you pls tell where can I get them?,Maitri Shukla,2020-07-09T23:45:18Z,0
I am new to your channel,Amanda Howard,2020-07-09T03:52:55Z,0
"Helpful tip for the acai packs to defrost them and save water - put them in a bowl with hot water, they’ll defrost in about 5 minutes!",Meli L,2020-07-09T02:01:29Z,0
I love when you do these kinds of videos. Thanks for sharing.,Jessica Shenkir,2020-07-09T01:14:33Z,0
Best scrambled eggs ever. Don’t know how to post on your blog or I would. If you like scrambled eggs this takes them to a new level,catmama54,2020-07-08T22:07:43Z,0
You look so pretty!!!,Karla 514GC,2020-07-08T19:28:45Z,0
"I made the cottage eggs today - they were delicious! I would’ve never thought to add lemon juice to eggs, but this is definitely a new favorite. Thank you!!",Lauren Molyneaux,2020-07-08T04:51:56Z,0
"So fun and good tips I learnt <br />Thanks for summer recipes. Pls add. MOre summer drinks, dinner ideas and snacks for summer pleaseere",Sumayya Hafeez,2020-07-08T04:31:39Z,0
I loved this video! You look so pretty ✨,Irene,2020-07-08T04:10:51Z,0
Obsessed with easy and quick breakfasts!!,Nicole's Nutrition Corner,2020-07-08T01:45:16Z,0
Just made these for dinner tonight. I was a little hesitant about lemon eggs but they do taste cheesy. Yummy! Thanks,Bianca B,2020-07-08T01:29:22Z,0
Who knew I was making scramble eggs wrong my whole life! I just watched this and made the eggs and oh my gosh yummmm 😋,Erin Behnke,2020-07-07T14:51:22Z,0
Can u taste the lemon ?,R.H,2020-07-08T23:07:04Z,0
That is one weird link you&#39;ve shared for the Vitamix. I don&#39;t know why Amazon thinks I am German :),Wicked Karma,2020-07-07T12:58:53Z,0
Where did you find that amazing white bowl!?,S Tenaglia,2020-07-06T19:11:30Z,0
Definitely thought the cottage eggs were going to have cottage cheese in them 😂,Gabrielle Barbir,2020-07-06T15:45:46Z,3
"Can&#39;t wait to try these out!!! 💕 Again, congrats on your pregnancy, super happy for you!!! 🎊",Brenda B.,2020-07-05T14:43:51Z,0
💙💙💙💙💙,Naouar sghuri,2020-07-05T12:06:36Z,0
look delicious but i video create problem ....visit,Color Home Recipes,2020-07-05T08:19:58Z,0
Thanks for sharing this!! Can’t wait to try all 3,Kmonique,2020-07-04T23:05:44Z,0
daaamn that pregnancy glow!!!!,Jazzy C,2020-07-03T18:53:19Z,0
So yummy!,DelMonteFresh,2020-07-03T17:59:39Z,0
"Confession: I was only half paying attention to what you were saying in this video. I kept getting distracted thinking, “She’s going to be a mama!!!” So excited for y’all!",Sarah OnTheIsland,2020-07-03T17:37:38Z,0
Everything looks soo yummy😋😋,Dassy Jadan,2020-07-03T14:58:22Z,0
"Those look so good, gotta try them. You also look beautiful with a very healthy glow.",Ruthann P,2020-07-03T12:23:43Z,0
Look SoooOooOoo GooOoOoOoD😂,Ninda Auliya,2020-07-03T06:45:17Z,0
Oooo what brand of granola do you buy it looks so simple and good!,Ale,2020-07-03T04:46:09Z,0
I can never get the pits of advocados out 😅,Olivia Lamont,2020-07-03T01:56:37Z,0
The food looks so pretty 😍,Butteryuxi,2020-07-02T23:46:10Z,0
Girl you’re glowing!! 🤩 Can’t wait to try these breakfasts.. especially the acai bowl.,Vee E,2020-07-02T23:15:35Z,2
I don’t want my eggs tasting like lemons. Do they eggs taste like lemons?,kms1984,2020-07-02T22:21:10Z,0
Dried figs is such a portuguese thing. I&#39;m always looking for something like that in your videos.,Paula Marques,2020-07-02T19:20:05Z,0
"I’m from Ontario Canada too, which grocery store did you find your açai packets? Thanks so much!",katie ingham,2020-07-02T17:41:54Z,0
love this style of video! Healthnut cooking show here you come!,Victoria Buksa,2020-07-02T16:52:08Z,0
Where did you get the sambazon packets in canada ?! I’ve been looking everywhere and I can’t find them :(  I want to make this recipe so bad !!,Sabrina Haddad,2020-07-02T16:37:09Z,0
"Hello, I love your videos, you are a big inspiration",cow moo,2020-07-02T15:20:10Z,0
Looking so delish. Thanks for sharing. I would be so grateful if you don&#39;t waste much water next time. You can just leave the frozen purée in a bowl with warm water. A friendly suggestion 🤗,gnarantuya,2020-07-02T14:58:21Z,0
I JUST subbed to ur channel and now I am going to watch EVERY SINGLE video you made,Zahira Pereira,2020-07-02T14:39:25Z,1
"Yay! Welcome to the <a href=""http://www.youtube.com/results?search_query=%23healthnutfam"">#healthnutfam</a>🥑🥑🥑",HealthNut Nutrition,2020-07-02T15:19:25Z,1
"Love these types of videos!! They&#39;re quick and easy, but look so delicious and filling!",Julie Zoutendam,2020-07-02T14:30:59Z,1
I have a bunch of cacao powder I don&#39;t know what to do with! P.S love this video :),Neha Dogra,2020-07-02T14:30:10Z,0
The eggs looks good !,⚡️TheFlashVibes⚡️,2020-07-02T14:23:20Z,0
1. These look delicious af<br />2. You are a glowing goddess <br />3. This style of video is perfect<br />4. Your personality really brightens my day <br /><br />That is all. Thank you for coming to my TedTalk,Emily Conner,2020-07-02T13:49:48Z,31
What personality,Haley Hubbardgodfrey,2020-09-10T23:11:19Z,0
"Haha, awe! Thank you for the kind words and I&#39;m happy to hear you liked it😊💛",HealthNut Nutrition,2020-07-02T15:22:27Z,4
Congratulations on the pregnancy!  So happy for you both. 🥰 Going to try these recipes for sure.  I have your cookbook and love it and make a lot of your recipes.  I have one question about the cracker recipe.  I was wondering if there was a typo.  With just the egg and the oil the mixture is too dry to make a dough.  I added water.  I love all your other recipes and the flavour of the crackers is also great I just wonder if I am doing something wrong.,Mary Ellen Clouston,2020-07-02T09:42:03Z,0
Am I the only one who got scared that she’s gonna cut her hands when she was taking that pitt out of avocado??? Be careful girl! We adore you and don’t want you to be injured 🤕,Mansi Patel,2020-07-02T08:44:45Z,15
I know right!,RobloxPiggyFan 101,2020-09-20T19:03:01Z,0
Yummmmmmm please try some Indian dishes..you would love it I know,Anushree Mukherjee,2020-07-02T05:59:25Z,0
Your pregnancy routine and diet please:),nehawagaj,2020-07-02T05:44:36Z,0
Where are those beautiful plates from?,Cynthia A,2020-07-02T05:26:32Z,0
Homesense!,HealthNut Nutrition,2020-07-02T15:16:50Z,0
Where did you get this gorgeous glass jars with the wooden lids,Julio Tello,2020-07-02T04:11:38Z,0
"@Cynthia A Yes exactly! Thank you, Cynthia😊",HealthNut Nutrition,2020-07-02T15:14:26Z,0
It&#39;s in her description box,Cynthia A,2020-07-02T05:24:13Z,0
Everything looks so goooood.. 😊👌👌,Priyanka Kale,2020-07-02T04:06:35Z,0
Happy Canada Day from the 🇺🇸,Linda Hoover,2020-07-02T02:38:41Z,0
that acai bowl looks good!<br /><br />are the eggs tangy because of the lemon juice or no?? I&#39;ve never seen that method before!,Lisa Brooks,2020-07-02T02:30:11Z,0
I liked the recipes but the focus on your camera was giving me a slight headache 😣,Cindy,2020-07-02T02:04:41Z,2
Can you do a makeup tutorial video? You also look so tan I’m  jealous 💕,ghosty1,2020-07-02T01:58:36Z,1
Those look so good!! I am definitely trying the eggs for sure!!!,Planning Us Healthy,2020-07-01T23:35:28Z,0
I bet they&#39;ll be on your regular rotation😉,HealthNut Nutrition,2020-07-02T15:19:03Z,1
My 4 yr old son love eggs so I gotta give the eggs a try.,Laye Luv,2020-07-01T22:52:01Z,0
He will love them!,HealthNut Nutrition,2020-07-02T15:11:10Z,0
Will the eggs still work work with a non silicone whisk?,Panipuri786,2020-07-01T22:50:16Z,0
You could try with a silicone spatula! Just make sure to stir often😊,HealthNut Nutrition,2020-07-02T15:10:42Z,0
I&#39;m sure it would but metal ones are bad for your pan. It&#39;s always good to use wood plastic or silicon for nonstick pans,Cynthia A,2020-07-02T05:25:56Z,0
👍😋🤪🤩🥳,susyponce24,2020-07-01T22:18:59Z,0
They look pretty good🍦🍭🍫🍰🧁🥧🍨🎂🍩🍿🍹,susyponce24,2020-07-01T22:18:33Z,0
Best looking scrambled eggs and trying it tomorrow,catmama54,2020-07-01T22:11:16Z,5
Yay! Can&#39;t wait to hear what you think😊,HealthNut Nutrition,2020-07-02T15:17:41Z,1
"I absolutely LOVE this style of video!! I like the step by step instruction, it’s extremely helpful for an amateur chef like myself! Hope to see more videos like this in the future!",Rachael Cook,2020-07-01T22:09:52Z,7
So happy to hear! Thank you for the feedback😊💛,HealthNut Nutrition,2020-07-02T15:25:47Z,1
Definitely trying the cottage eggs!,Ashley Luna,2020-07-01T20:53:24Z,0
You will love them!🙌🏻,HealthNut Nutrition,2020-07-02T15:14:50Z,0
❤️❤️❤️,Miquisha K,2020-07-01T20:47:53Z,0
Great and healthy breakfast ideas I shared the smoothie bowl recently and I&#39;m obsessed hahaha,Live Well With †ia,2020-07-01T20:47:05Z,0
Thank you for the acai bowl. I have never seen how to make one or how you buy it. I need to find it asap. Looks delicious!,Tracie Helfrich,2020-07-01T20:38:30Z,1
All the recipes look super good. I’m definitely going to give them a try.  Thanks,Emily Martin,2020-07-01T20:34:05Z,0
"If you don&#39;t want to buy a silicone whisk, is there any other tools that you could use on the cottage eggs?  Love these ideas...I would love to see some summer grilling videos.  :D",healthyeatingalways,2020-07-01T20:31:24Z,0
@HealthNut Nutrition Perfect!!,healthyeatingalways,2020-07-01T22:30:43Z,0
You could try with a silicone spatula! Just stir a lot ☺️,HealthNut Nutrition,2020-07-01T20:54:35Z,0
"Love the yogurt, fruit, and granola bowl. I like how you put it together.The eggs as well never thought about adding lemon to them. Very interesting, giving them a try for sure. Thanks for shareing!",Tracie Helfrich,2020-07-01T20:29:37Z,3
Thank you! I was wary at first too but trust me when I say it&#39;s delicious!  Everything compliments each other so perfectly in this recipe - you HAVE to try it😊🙌🏻,HealthNut Nutrition,2020-07-02T15:25:25Z,1
"I loved this way of recipe video vs your other ones where you just voice over video shots, please continue doing this. Also, is it okay to add lemon to eggs?",Ruma,2020-07-01T20:29:20Z,2
Thank you! I was excited to change things up so I&#39;m very happy to hear you enjoyed the new style😊and yes!,HealthNut Nutrition,2020-07-02T15:24:14Z,0
The Acai bowl looks delicious Nik.<br />Where did you find the frozen acai ?<br />Love your channel,Bany Ojeda,2020-07-01T20:25:32Z,0
I&#39;ve seen them at Costco,Cynthia A,2020-07-02T05:23:35Z,0
My breakfast is always cereal. I recently tried your coffee and I like it.,Monika Kamila,2020-07-01T20:21:28Z,0
HealthNut Nutrition it was $6.99 st longos same as Nescafé so I thought I’ll get the cablib. It’s not the organic you use but it’s really and I have it in the afternoon. Soft and gentle on the tummy kinda reminded me of Inka,Monika Kamila,2020-07-02T17:42:08Z,0
So happy to hear that! I always look so forward to my morning cup of herbal coffee🥰,HealthNut Nutrition,2020-07-02T15:21:27Z,1
Delicious spread!    But anything with granola is always my first choice!,A Story of Food,2020-07-01T20:18:00Z,0
I hear you! Plus it makes the house smell AHMAZING😊🙌🏻,HealthNut Nutrition,2020-07-02T15:16:03Z,0
My problem is I take too long to eat lol,Natalie Chen,2020-07-01T20:08:00Z,3
"Lovely video Nikole :) When was this video shot? Looking forward to the initial pregnancy related videos! Matt&#39;s reaction, etc etc and all that happened during the first 3 months :) God bless you",A K,2020-07-01T19:48:07Z,1
@Zoya That&#39;s right. It should have been 5 months.. Hehehe,A K,2020-07-02T01:01:07Z,0
A why 3?,Zoya,2020-07-01T19:54:35Z,0
They are all great!I just wanted to ask about the quantities because some dishes look so full.Are you eating all of these??,Margaret,2020-07-01T19:47:55Z,1
These are different breakfast options that I have been rotating between throughout the week depending on what I&#39;m in the mood for! I also eat intuitively and eat until I&#39;m full and satisfied😊,HealthNut Nutrition,2020-07-02T15:13:45Z,0
"she eats 1 dish each morning, not all 3 in  a day",someone ya,2020-07-02T04:20:25Z,0
great receipes and I love the new style of video!,Jas Bains,2020-07-01T19:45:05Z,1
Thank you! I was excited to change things up so I&#39;m happy to hear you enjoyed it😊,HealthNut Nutrition,2020-07-02T15:20:01Z,0
You look so pretty Nik!!!,Erica Moore,2020-07-01T19:41:24Z,0
Thank you!☺️☺️,HealthNut Nutrition,2020-07-02T15:15:22Z,0
"Ok, but like, that GLOW! 🙌🏽😍",Genesis Ransom,2020-07-01T19:39:06Z,36
I love them all they’re delicious 😋,Hi Cream,2020-11-09T07:58:31Z,2
🥰🥰,HealthNut Nutrition,2020-07-02T15:26:00Z,7
Congratulations on the pregnancy and I can&#39;t wait to try them out,Shiya Roger,2020-07-01T19:32:50Z,25
Thank you!! I can&#39;t wait to hear what you think😊,HealthNut Nutrition,2020-07-02T15:26:18Z,3
I can&#39;t wait to try them out I need new recipes for breakfast looking forward to making them,Dana Simmons,2020-07-01T19:27:55Z,3
Yess! I’ve been waiting all day for this. I love you and I hope you can give me a shoutout soon. I love your channel and I already love the Health Nut Baby. I can’t wait to find out the name and gender. I can be more happy for you guys. 🤗,Zoya,2020-07-01T19:25:23Z,14
