comment,id,date,num_likes
"Watching this while my baby sleeps ... everytime I hear Sage in the background, I look at the monitor and I&#39;m like 👀 is he awake 👀😂🙈 nope, it&#39;s Sage 🤣🤣🤣",The Edgy Foodie,2021-05-07T01:25:14Z,0
I&#39;ve been wearing crop tops too! My baby&#39;s nine months,The Krazy Monkey Channel,2021-04-29T05:24:08Z,0
"Your legs look so smooth, did you not get any stretch marks or cellulite during pregnancy?",A C,2021-04-27T23:44:43Z,0
Oh why thank you that’s so sweet of you to say 🥲. My legs didn’t change much while pregnant it was more my hips and belly and boobs. I walked A LOT while pregnant and still do so maybe that helped? I’m not sure but i also like to dry brush before showers to help with circulation and dry skin,HealthNut Nutrition,2021-04-28T15:50:34Z,0
I love your channel and just got started binge watching!! I want to be even half as healthy as you are! I would be eternally grateful if you could make a healthy living/eating for beginners video!!,Half-pint ASMR,2021-04-27T23:42:20Z,0
I love your style :),IIDA259,2021-04-27T19:51:26Z,0
You look great in all the outfits. Sage is super cute!!!,joanna walaszek,2021-04-27T04:05:18Z,0
Where are those storage clothing bags from?,Colleen Laporta,2021-04-27T00:54:08Z,0
Is it just me or does Nikole resembles Sandra Bullock?,Gargi Ghamandi,2021-04-25T17:47:04Z,1
"@HealthNut Nutrition hehe, you do resemble her a lot!",Gargi Ghamandi,2021-04-26T19:38:32Z,0
Omg I use to get that ALL the time!,HealthNut Nutrition,2021-04-26T11:54:55Z,2
COOL MOM ALERT! Thanks for sharing! ...and now it’s time for me to clear out MY WARDROBE! Thanks for the inspiration 👍👍👍,Jaime Tan - Enlightened Spoon,2021-04-25T16:03:13Z,0
"AND--- If THAT doesn&#39;t motivate you,...<br />Then you should NEVER SHOP AGAIN",C N9,2021-04-25T08:24:49Z,0
"Ladybug....<br />Consider how BLESSED you actually are to OWN such things (so much, that you actually are overwhelmed by it all...",C N9,2021-04-25T08:24:16Z,1
I am binge watching your videos!!!! Looooove them!!! You are so natural ❤️ and Sagey is a little miss cutie❤️,Cliodhna,2021-04-24T21:03:15Z,0
"Loved seeing your mom visiting, Nikole! Cute outfits!",Marie Brock,2021-04-24T17:19:52Z,0
"Love your content so much! You have such great style and look amazing! Please consider ditching the impossible burger/meat substitute. It is full of genetically modified soy, toxic seed oil, and modified food starch (msg).",Lia Donovan-Jones,2021-04-24T15:35:04Z,2
You need sun girl ☀☀☀☀,marta dono,2021-04-24T12:15:09Z,0
I LOVE YOUR CLOTHING STYLE 😍😍😍<br /><br />-Stay stylish mommas !!! ❤️🥰 <br />-That’s what ALL us ladies deserve .. to feel pretty in our clothes/outfits 🥰🥰🥰❤️😘,Vanessa Heslop,2021-04-24T11:38:10Z,0
I had breastmilk stains everywhere.🤣,surlespasdondine,2021-04-24T07:13:36Z,0
"My husbands muddles his clothes in a heap, never folds them-drives me nuts! 😳😉",surlespasdondine,2021-04-24T07:07:34Z,0
"You said you have not organized it in 5 months-once it&#39;s really organized, it will stay that way. Mine I decluttered years ago, now I just occasionally get rid of items (maternity stuff etc) and buy new items, but I never have to reorganize again.",surlespasdondine,2021-04-24T07:06:02Z,1
"I think this shows that you are an extrovert-when I have a task like that to do, I want noone in my space, noone talking to me, I need my bubble. I do listen to podcasts while I declutter etc but they are not interacting with me, so that&#39;s fine.😜",surlespasdondine,2021-04-24T06:59:22Z,1
Same,A C,2021-04-27T23:34:34Z,0
Who finds Nicole and sarah from sarah&#39;s day mom similar??,P K,2021-04-24T03:13:35Z,1
Thank you for motivation of organizing my clothes❤️ I’m pregnant and need motivation,Noel carter,2021-04-24T03:13:06Z,0
I have no baby but I’m almost 31 and all I was to wear is comfy clothes so this was great! You looked cute in everything! Also I am jealous of people who can just go bra-less... my DDDD’s would never allow that :(,Meghan,2021-04-24T02:52:22Z,1
Get the closet done was labor part 2 🤣🤣🤣🤣<br />Mama nut was the doula,Luiza beatriz,2021-04-24T01:45:47Z,0
Your &quot;before&quot; looks like my &quot;after&quot;😆 lm just not at that point of organized in my life yet but you have inspired me to sort my wardrobe out. Thanks for sharing 👍,Brilliant But Blue,2021-04-24T01:30:22Z,0
Sell them on mercari!,Mrs. BDGC,2021-04-24T00:12:48Z,1
I ordered the Aerie waffle sweater!  Can’t wait to get it. And I think the green swimsuit looks amazing on you. Definitely a keeper.  Just love your positive body image. It’s inspiring.,Nicolette Altieri,2021-04-23T23:59:37Z,2
You are super cute and love the style!😍 I wanna be like you when I grow up as a cool mom😄,Diane Garay,2021-04-23T23:47:54Z,2
Touque inside??,Nic dunworry,2021-04-23T23:12:07Z,1
@HealthNut Nutrition thought you were cold 🥶,Nic dunworry,2021-04-23T23:36:35Z,0
Mostly outside I was just showing options but I do sometimes leave it on inside. Makes me feel cozy and keeps my hair off my face,HealthNut Nutrition,2021-04-23T23:26:05Z,0
Thank you for the inspiration!!!,Valery Nunez,2021-04-23T22:58:13Z,1
"Loved watching this!! Six months postpartum and was just like yep, yep, &amp; yep! High waisted and crop is something I wish I knew pre postpartum and pre breastfeeding 🤱🏻 feel like postpartum and breastfeeding aren’t talked about enough, not sure if that’s a UK thing though! Ps I’ve definitely tried to squeeze in to a pair of pre pregnancy jeans 🙈 erm yeh no 😂",Rebecca Coulson,2021-04-23T22:54:18Z,2
Omg I love this! I have two kids 18 months apart and I agree you never know what your body will be like after kids!! I am still struggling with losing baby weight after my second ugh 🤦‍♀️,Erin Behnke,2021-04-23T22:03:00Z,1
I feel like my body is changing all the time still and don’t even dare ask me my bra size 😂 it’s different everyday!!,HealthNut Nutrition,2021-04-23T23:27:03Z,1
Love your down to earth personality!,Cuppycake Love,2021-04-23T21:46:47Z,1
I love your relationship with your mom! Everyone should have a mama who hangs out with you during the organization process! ☺️ they have the best suggestions,Tristan Brown,2021-04-23T21:43:40Z,5
She’s the best and I am so grateful to be so close with her as an adult myself now.,HealthNut Nutrition,2021-04-23T23:27:41Z,2
"Your clothes are not only adorable, but practical. You look terrific Nikole. I always love to see Sagie.  Her pink hat is killing me.  She is a sweetheart.",Silvie/Mark Silverstein,2021-04-23T21:39:54Z,6
Thank you for the lovely feedback 🥰,HealthNut Nutrition,2021-04-23T23:27:57Z,0
Tried to check out your blog but the mobile format is awful. It is impossible to close that green smoothie window because the x is right on the hamburger button.,lifebrarian,2021-04-23T21:16:43Z,2
Sorry about that! We just swapped email providers and are working on fixing that issue.,HealthNut Nutrition,2021-04-23T21:32:12Z,1
"Love the variety of content :) I think you should keep the black shorts. It’ll be good to have a few pairs of shorts for the summer or return those and get more biker shorts, whichever you like more",D G,2021-04-23T21:08:23Z,1
I feel like I need more black in my wardrobe too as I don’t really have a lot and they come in great for basics and hiding stains haha,HealthNut Nutrition,2021-04-23T21:54:21Z,1
This video was simply bright energy  on lazy afternoon... thanks Nicole 😊  All outfits were amazing..,Priyanka Kale,2021-04-23T21:01:05Z,3
