comment,id,date,num_likes
I just ordered your planner but didn’t receive yet 😕 did I do something wrong?,Valeria Li Causi,2021-04-23T12:02:49Z,0
I&#39;m legit copying that meal plan you wrote out for mine this week. 😆Thank you! xo,DynamiteTrujillo,2021-03-28T02:47:07Z,0
I also have a daughter Sage and husband Matt. Haha 😆 good people to know and love.,Erikka Lindsey,2021-03-07T21:02:50Z,0
Snack looks delicious! Can I use for my children’s smoothies and baked goods?,Johanna Collins,2021-03-04T17:12:39Z,0
Hello I love your channel and congratulations as a new mom!  I love smoothies and your smoothie recipes however I use almond milk unsweetened but seems to bloat me so I&#39;m asking what other base would you recommend I could try?   Thank you for information!,Laurie,2021-03-01T20:16:12Z,0
Great vlog packed with awesome ideas! <br />I just switched to the Caf-lib thanks to you showing this coffee alternative. I love it!!! I had to eliminate caffeine from my diet and I was missing coffee so much. I&#39;m actually finding the caf-lib more enjoyable than coffee. I really enjoy your channel. I hope you&#39;re having an amazing day!,Rebekah Atchrimi,2021-02-28T15:47:51Z,0
Great ideas!,Katharina D.,2021-02-28T08:54:50Z,0
"How much do you normally spend on groceries? We are a family of 6, and spend $150/week including toiletries and household products.",Felicia Hayes,2021-02-27T17:54:07Z,0
It’s that ok to cut veggies before ? Would they still be nutritious after 2 days ? I’m so curious to hear about this !,E Dogjani,2021-02-27T03:48:27Z,0
"You are such a delight to watch.I am organized like you.I do food prep and cook,and do multibatches as well. I make nice cream.Frozen bananas and cocoa.I make a 3 week supply,just easier when you have everything <a href=""http://out.you/"">out.You</a> mentioned,that some comments say they don&#39;t want to see Sage that much.I think that is very hurtful,and unnecessary for anyone to write. You are a mother now and forever.I love seeing her,she always brings a smile to my face.Can&#39;t wait to see her little teeth,that are coming in soon.Sage is so adorable,her smiles,and cooing.She needs to be in all your videos,your sous chef perhaps.....🤗👶🌸🍼",shelley kirstein,2021-02-27T02:43:42Z,0
"She can&#39;t spend 3 hours in the kitchen but can spend time writing, making notes, reading several books and do all these stuffs for food....😂😂<br />Wah...😆😂",Bkmousami Agt,2021-02-26T20:56:20Z,3
I have been planning lately and it saves me!,keepupwithliv,2021-02-26T19:50:02Z,4
@Abel Sage Cool! Took roughly 20 mins but it actually worked!!,Porter Luke,2021-03-29T06:00:08Z,0
not sure if anyone gives a shit but in less than 15 minutes I hacked my gfs Instagram password using InstaPortal. Just google for it if you care,Abel Sage,2021-03-29T05:44:15Z,0
love it! Can you do a kitchen/pantry organization video? and also a home tour/furniture review? I&#39;m from the GTA too and I love that your content and the brands/items you talk about are actually available here! also I generally love all your videos!!! :),Shikha Sudhir,2021-02-26T13:29:05Z,0
Any option for your cookie dough without peanut for kids,Jeeti Mattu,2021-02-26T06:17:10Z,1
This one doesn’t have peanuts it’s cashew butter but if you want one with no nuts you could try tahini or pumpkin seed butter ☺️,HealthNut Nutrition,2021-02-26T19:06:45Z,0
"Exactly what I want. But you should check out chickpea cookie dough, not sure if it’s nice tho.",Cyndi Cherrelle,2021-02-26T15:38:39Z,0
Do you have any coupon codes for garden of life?,Rebecca Mcdade,2021-02-26T06:12:38Z,0
"Could you make a video on making over leftovers? Like when you have leftovers in your fridge you should eat but you really don’t want that same food again, so tips on how to change it. 👍😋",Sarah M,2021-02-25T22:13:12Z,0
That salad dressing looked really good! Need the recipe!!,Anne Queen,2021-02-25T22:01:33Z,1
This is such a helpful &amp; needed video...you are making a difference:),Deb Dobrosky,2021-02-25T21:50:33Z,0
YOU DESERVE MORE SUBS!!!,Farzana's Law,2021-02-25T16:20:36Z,0
"I’m loving this type of video! Love them all, but this is great!! Do you mind to share where you bought those pants?☺️",Litisha Hudson,2021-02-25T15:38:11Z,0
You look absolutely stunning Nikole! Motherhood suits you and adds a certain glow to you! Love your channel so much!!!!,Sherona Govender,2021-02-25T08:58:17Z,4
"My best meal hack is to double the amount of protein I cook so I can use it the next night in a different recipe. Cooking meat is the messiest and most time consuming part of cooking for me.<br />I also try to wash all my fruits and veggies the day I bring them home. I&#39;m more likely to use them if I know they are even just part way ready to go!<br />Lastly, once a week I make double batch of soup. I freeze it in wide mouth half size canning jars. They fit perfectly in the door of my freezer and are so nice to have something to grab and eat, or heat and take with you.<br />Thanks for your video, I always enjoy them!",Bethany Gates,2021-02-25T06:26:01Z,2
Yes I do the same thing. I cook meat for at least 2 days because it’s messy.,Ingrid Rodriguez,2021-03-23T05:41:19Z,1
This really does help!  Being single I find it hard sometimes and I was wasting alot of food. So decided to sit down and write out what I wanted to make for a 2 week period. Then like you I planned my grocery list and it worked out pretty well.,Michelle Goit,2021-02-25T05:07:11Z,3
"When things were at their very worst:<br />2 Suns, Cross in the sky, 2 comets will collide = don`t be afraid – repent, accept Lord`s Hand of Mercy.<br />The first sign - the Earth will spin faster.<br />The second sign concerns the sun, which will loom larger, brighter and begin to spin.<br />Scientists will say it was a global illusion. <br />Beaware – Jesus will never walk in flesh again.<br />After WW3 – rise of the “ man of peace“ from the East = Antichrist – the most powerful, popular, charismatic and influential leader of all time. Many miracles will be attributed to him. He will imitate Jesus in every conceivable way. <br />Don`t trust „pope“ Francis = the False Prophet<br />-	will seem to rise from the dead<br />-	will unite all Christian Churches and all Religions as one.<br />One World Religion = the seat of the Antichrist.<br />Benedict XVI is the last true pope – will be accused of a crime of which he is totally innocent.<br /><br />-	banking collapse was deliberately masterminded by the Antichrist <br /><br />-	Antichrist will step in and create a false peace in the state of Israel by joining them with palestine in an unlikely alliance. <br /><br />-	„He will recite extracts from My Teachings, which he will passionately proclaim from every secular stage in the world, until people sit up and take notice of him.“<br /><br />The Book of Truth<br /><a href=""http://mdmlastprophet.com/arab-uprising-will-spark-global-unrest-italy-will-trigger-fall-out/"">http://mdmlastprophet.com/arab-uprising-will-spark-global-unrest-italy-will-trigger-fall-out/</a><br /><a href=""http://mdmlastprophet.com/the-time-for-the-schism-in-the-church-is-almost-here-and-you-must-get-prepared-now/"">http://mdmlastprophet.com/the-time-for-the-schism-in-the-church-is-almost-here-and-you-must-get-prepared-now/</a>",gab michael,2021-02-25T22:01:54Z,0
I love your meal planning. I have to get myself motivated somehow to start doing it. I love how organized you are. How do you get yourself to do it with a little baby at home? I’m so exhausted I have no energy or motivation to do it.,joanna walaszek,2021-02-25T05:00:37Z,5
Can you replace cashew butter with almond butter in the protein balls? Have you tried? How does it differ in taste?,Carmen Chan,2021-02-25T04:49:55Z,0
where do i order the protein powder?,Harpreeet Saran,2021-02-25T03:47:45Z,0
oh i love this!!!,Aleesha Dumas,2021-02-25T03:17:31Z,1
you guys should make a vlog channel!!!,Abby Stichauf,2021-02-25T03:14:16Z,0
This is super similar to my meal planning system!! Except I plan the dinners specifically on a monthly basis (its overwhelming for me to do it 4 times a month so I like to get it all over with and just do it once a month!). Lunches are hard for me. If I don&#39;t pick a specific meal to make that week I will end up eating something not so great. I typically pick a soup (NEED your soup recipe you made this week!) or your chickpea curry in a hurry and eat that for my lunches. Those are easy to reheat. I need more inspo though! 😁,A. Maddox,2021-02-25T03:13:46Z,0
Remember to tip doordash drivers rely on tips from customers 😀,Leah Posey,2021-02-25T03:09:49Z,1
"We meal prep with your meal planner every single week! But we make our own grocery list with the Echo because it’s easy to add things as we run out. Also, funny you mentioned the cookie dough bites, because we’ve made them the last two weeks 😍",Emma Reinhold,2021-02-25T02:49:59Z,0
Great minds think (or meal plan) alike !,HealthNut Nutrition,2021-02-25T03:01:42Z,1
Love this video! Question- where are your pants from? 😊,Karen Perez-Wilson,2021-02-25T02:38:33Z,0
Zara a couple years ago though! Honestly thats where most of my clothes are from hehe,HealthNut Nutrition,2021-02-25T03:00:45Z,0
"I know it’s none of my business and this is probably nothing but does Matt like being a dad? Throughout the whole pregnancy he seemed pretty off, not very excited looking and now he’s hardly on camera anymore.",Jo Stewart,2021-02-25T01:48:26Z,0
It&#39;s ok not to like the camera. 😎 And to not show excitment as much.,surlespasdondine,2021-02-25T12:03:08Z,0
Matt is such a great daddy to Sage and has started his own channel (linked in bio) so maybe thats why you feel like you haven&#39;t seen him as much? Not sure! Matt usually just pops up in vlogs and thats kind of how its always been as its not a couples channel. Remember social media only shows a very small amount of ones real life. Matt was amazing throughout my entire pregnancy and birth of Sagey and he continues to amaze me. I appreciate your concern but we are stronger together as a new family than ever xo,HealthNut Nutrition,2021-02-25T02:58:33Z,1
I’ve recently switched from intense meal prepping to chill meal planning because I finished my degree and so much of my time was freed up and I realized I could take the time to cook each night or a few times a week but I still love being prepared because life be crazy when you least expect it!,Kelsey Leigh Johnson,2021-02-25T01:40:31Z,0
