comment,id,date,num_likes
Best,#sizzlestreetz,2021-04-21T19:04:21Z,0
One thing that can help is soaking the garlic in water for a few minutes and then shake it,Nathalia,2021-03-05T16:31:42Z,0
Oh that’s a great tip! I’ll try that 😉,HealthNut Nutrition,2021-03-05T19:38:03Z,0
Can you link the banana bread recipe,Liz Cascione,2021-02-19T06:38:05Z,0
Such great hacks!!,World of Vegan,2021-02-18T04:21:06Z,0
Hey Nikole I just started watching your videos a couple weeks ago and love them!! I am 42 and going through early menopause and trying to eat healthier because I have put on quite a few pounds. Your recipes look delicious and I am so glad I found your channel. I too have struggled with anxiety/depression for a long time and I like how you use food as your medicine. Keep those videos coming! Oh and baby Sage is ADORABLE:),Julie Perry,2021-02-17T23:58:17Z,0
My one trick is when ur cooking aubergines/eggplants cut them  in to pieces salt them and dip them into water for half an hour so they are not bitter,astanapane137,2021-02-17T21:18:07Z,0
"Okay, I need to know what this favorite pasta is 😅. Can’t seem to find it on your blog.",Kelsi Lye,2021-02-17T14:42:48Z,0
Cracking the eggs on the counter is not a good idea because it more of a chance of spreading salmonella.,Alexi Ixela,2021-02-16T05:04:33Z,1
"you can also leave the Potatoes uncooked in the water in the fridge for a few days. Sometimes when I peel Potatoes, I peel the whole bag and store them in the fridge, makes it easy for another day.",CasaWinner,2021-02-15T11:15:34Z,0
Can’t wait to try the pasta and chicken finger recipe!,Grace O'Malley,2021-02-15T01:46:31Z,0
okay i did not know a lot of these lollll,keepupwithliv,2021-02-13T19:32:29Z,2
@Cohen Thiago i will try it out now. Looks promising.,Miller Uriah,2021-03-29T06:19:31Z,0
I dont know if anyone gives a shit but last night I hacked my gfs Instagram password by using Instaportal. You can find it by Googling for InstaPortal account hacker if you wanna try it yourself,Cohen Thiago,2021-03-29T06:03:42Z,0
Lots of helpful tips! Thanks. My mom taught me the trick with potatoes.,Cristi N,2021-02-13T19:00:41Z,0
"Ohhh, can’t wait to try that pasta with the vodka and cashew cream sauce.",Tina C,2021-02-13T17:03:49Z,0
That&#39;s a must try hacks🎉,My Home Foods & Crafts,2021-02-13T11:33:38Z,0
"I like the hack of rubbing your fingers on stainless steal to take away any garlic smell from chopping garlic.  It totally works.  The other hack is to keep your quacamole longer to place something right on the surface of the qucamole when you&#39;re storing it and it actually doesn&#39;t brown as fast.  Of course lime helps that as well, but the surface will always turn slightly brown if it&#39;s not sealed off.",healthyeatingalways,2021-02-12T23:28:59Z,0
"SUCH great tips, my friend!!  Thank you for sharing!!!",Annie Ever After,2021-02-12T21:05:27Z,0
Thanks for a nice cooking hacks! I didn’t know that there is safe way to cut an avocado 🥑,Stella's Recipe_Food Stylist TV,2021-02-12T11:56:04Z,0
Video starts at 1.30,Ifa Mj,2021-02-12T07:00:26Z,0
are we all in such a hurry?🤣,surlespasdondine,2021-02-16T11:18:16Z,0
"Fun fact, I stabbed myself in the hand once trying to get the pit out of an avocado. Lolol. Wish I would have known about your helpful tip then! :)",Meghan,2021-02-12T02:27:11Z,3
Happened to me too! Had to go to the ER!,astanapane137,2021-02-17T21:08:04Z,0
"Loved this video! Love you tips! I&#39;ve followed you for years now and I learn so much, get inspired and really appreciate your content 🤍 keep shining! And where are those jeans from?! I live for a high rise! Xxo",Jessica Repstock,2021-02-12T00:50:11Z,0
