comment,id,date,num_likes
Such a great video! Thank you x,Danielle Argent,2021-05-08T09:28:09Z,0
Please tell me what breast lotion you used to ease pain during lactacion,Janet Avina,2021-05-06T16:56:15Z,0
"How do you do it to breastfead and it not hurt , hurts alot evertime i feed baby",Janet Avina,2021-05-05T18:38:28Z,0
"I&#39;ve had 2 kids. Both times, I never tore, I didn&#39;t even experience swelling or any kind of pain. I don&#39;t know what postpartum pain is besides the contractions and breastfeeding pains.<br />I always find myself watching these just so I can be prepared with my third (not pregnant yet but planning on it soon) since I don&#39;t know what any postpartum pain is like. 2 kids 🤦<br />I&#39;m nervous about having more. But I know it&#39;s worth it.",Paranormal Lover,2021-05-04T16:11:09Z,0
What&#39;s the video about breastfeeding that she was going to linked below?,Aline Maciel,2021-05-02T14:49:25Z,0
This was such a helpful video! 🙌,The Pfeifers,2021-05-02T12:33:49Z,0
Where do you get your bras at?,Vanna Gomez,2021-05-01T23:14:18Z,0
"You are so amazing. I just watched your birth, you are a warrior Rockstar. Thank you for sharing.",The Homesteading REALTOR,2021-04-25T05:22:26Z,0
This was so helpful thank you for all your transparency. I’m so scared to give birth in 2 weeks 😅,Danielle Sings,2021-04-20T13:19:10Z,0
Thank you so much for your honesty!!!!,Diana,2021-04-19T01:26:05Z,0
"My husband and I will be moving in with his parents who are so excited to meet and help us with their first grand baby. Regardless I had no idea how much more my body, mind and spirit will go through wrapping up my pregnancy and after the baby is here. Truly grateful for your content and transparency. Sage is a lucky little girl to have an amazing momma 💜🥰",Sandra Salazar,2021-04-18T06:06:14Z,0
Ur husband is so sweet and cool,lidya sium,2021-04-17T23:15:49Z,0
"I smothered myself in oils and massaged my belly constantly and I’m covered in stretch marks. If your mama got them then it’s most likely you’ll get them, that’s what everyone has said to me. I need the oils anyway because the skin is SO damn itchy when it’s stretched xx",The Little Home,2021-04-15T03:58:07Z,0
such a great video!! very educational!,alison farkas,2021-04-14T20:42:51Z,0
"Just had my daughter on Easter Monday! She’s a week old today. And holy cow. I could not have survived without those diapers or the earth mama spray. I have a 2nd degree tear, I also hemorrhaged so I lost way more blood then most. I’m still wearing the diapers and 2 maxi pads, I had a catheter for 3 days so currently I still can’t control my bladder. I’m starting to feel better, I can actually sit now so that’s good. Lol",Keira Hodgins,2021-04-12T16:48:32Z,0
Extremely thankful for the raw and real approach of your video! Thank you!,mara mickelson,2021-04-11T22:47:11Z,0
Does anyone use period undies for postpartum bleeding or are they to much laundry with a new baby &amp; healing body?,Rebecca Lee,2021-04-11T03:31:50Z,0
Thank you for this beautiful video. Very helpful. ❤️,Latoya Lewis,2021-04-06T03:39:06Z,0
I really appreciate you sharing your experience and your baby is adorable!,Marianne W,2021-04-03T23:04:30Z,0
"You look great, very helpful info!",brittanyj1908,2021-04-02T13:00:08Z,0
Why didn’t you use Argan oil instead of jojoba oil for your DYI essential oil?,Parinaz Khosravyani,2021-04-01T07:27:57Z,0
"The lamentable caption apparently cheat because slip successively attach amongst a glamorous beat. nine, black-and-white step-aunt",OHara Forte,2021-03-30T20:24:08Z,0
Am I the only one who was surprised by the air down there after birth or vagina farts some say 😅,Caitlin Mccardell,2021-03-30T11:51:43Z,0
What was in your smoothie? Also... when do you find the time to workout?,Sarah Pastura,2021-03-29T12:31:47Z,0
"Just came across your channel this week, and I’m soooo loving the baby series. 😍😍😍<br />Could you please link the breast feeding video you mentioned in the vlog?",ThePinkChilli,2021-03-29T12:26:00Z,2
That Frida mom peri bottle was LIFE CHANGING for me. So so good but I tore differently than you. My wonderful nurse in the hospital gave me a stack of washcloths to use instead of toilet paper in the hospital too and that was awesome.,kimjorg,2021-03-29T08:24:19Z,0
"Hello, you mentioned in the vlog about a breastfeeding video that really helped you but I cannot find the link. Could you please help share again? Thank you! 😊",Marta Napoleone,2021-03-28T09:52:12Z,0
"Omg I’ve been so focussed on my pregnancy and giving birth, I’d never given this part any thought yet 😂 thanks for sharing and being so honest!!",Laurie Moses,2021-03-28T01:26:10Z,0
"I’m very interested in the breastfeeding video you talked about, but I don’t see it linked in the comments. Can you post the link please? TY in advance!!",Angela ATN86,2021-03-26T15:33:15Z,0
It’s linked in the blogpost ☺️,HealthNut Nutrition,2021-03-26T16:02:33Z,0
Can we have the link to the breastfeeding video ??? Xxx,Pheonix Marketing LTD.,2021-03-26T09:53:50Z,0
Thanks for sharing.,munchableable,2021-03-26T08:03:01Z,0
This was SO informative! Thank you!!,Jane Dillon,2021-03-26T03:53:37Z,0
"At 40 weeks+1, and this video gave me a good idea of what’s up in postpartum! Thanks 😊",Aida Safic,2021-03-25T19:25:13Z,0
Does any mother bottle feed now .I dont get the constant sitting down b feeding forever.  It&#39;s so endless.  I had to return to my work 2 weeks after . Bottle fed my daughter turned out to be amazing girl,sun shine,2021-03-24T00:40:13Z,0
"Wow, your postpartum body looks pretty good actually! (Thats pretty much what mine looks like and I haven&#39;t been pregnant yet)",Sandra Nakova,2021-03-23T13:34:40Z,0
"Girl, you are amazing! Thank you for being so open and true!",Viravaleriya,2021-03-22T20:37:40Z,0
Love how open you are and your video is super super helpful☺️. Love your content^^ ❤️,Kimberly Etombi,2021-03-21T15:17:16Z,0
Love how really honest and open you both are! Some of us don’t have people in our lives to talk to about all this. I’ve learned so much. 😊,jessica valladares,2021-03-21T03:37:54Z,0
I had the odor too!! It sucked!! Lol,Hope Ard,2021-03-20T19:31:55Z,0
I moisturized/oiled my entire pregnancy... still got a shit ton of severe stretch marks. Has more to do with rapid weight gain and genetics than it does “dry skin.”,Hope Ard,2021-03-20T19:25:42Z,0
"I had a 4th degree tear, and nobody told me there were things that help heal it. I was so swollen and in so much pain for  2 months. Getting up every hour to feed my newborn was HARD.",ljwilliams10,2021-03-17T01:42:37Z,5
"I remember about a month before the baby was due, we were stuck in traffic besides a regional airport. One of the guys I worked with said “see that runway there?” “Yes, why?” “Take a good long look at it because that’s the last landing str*p you will see for a long time.!” Though I would throw some humor around today.",K B,2021-03-15T19:02:29Z,0
"I just love your confidence. It’s so empowering to see 😊❤️ The way you speak about yourself and situations, it’s genuine and beautiful. And baby girl looks soo much like you!",Rachel Oshaks Music,2021-03-13T22:29:52Z,1
thank you,M S,2021-03-13T21:13:12Z,0
The comparison between the healthcare you have access to in Canada and the US is incredible. I would have loved these resources.,JessicusMaxiumus,2021-03-11T00:27:22Z,0
Love the rocking chair in your living room! Where from?!,Julianna McNally,2021-02-26T19:19:54Z,0
your honesty is so sooo helpful!!! thank you so much,CasaWinner,2021-02-25T12:36:47Z,0
"This is the most honest and REAL video ever! Wish I would had this with my 1st drug free birth. I was so stressed out about the after birth experience. I however, had terrible PPD but I believe that was lack of support I had. My 2nd baby is due April 1st. I am super excited to give birth again naturally. It was so amazing an incredible!",Lindsay McCarty,2021-02-18T21:35:19Z,0
"These videos have been super helpful, heartfelt thank you!! Just wondering though, knowing the pain of a natural birth, would you do it again drug free?",Kitaara3,2021-02-14T03:58:50Z,0
"Love all the info, could you post the supplies you used postpartum. Im 24 weeks and starting to think about putting my supplies together. Im most interested in the pads, depend undies and the underwear you were wearing. I hate underwear too and if I don&#39;t have to wear them, I dont. 😃",Amy Mangus,2021-02-12T12:26:17Z,0
"Also, do you have that breastfeeding video?",Amy Mangus,2021-02-12T12:37:01Z,0
