comment,id,date,num_likes
Omg.. this really made me cry😭😭<br />Patiently waiting for my baby to arrive,Tina Simon,2021-05-09T04:05:19Z,0
Balled my eyes out!!! How amazing!!! 😭💗,Tirzah Flores,2021-05-09T01:40:03Z,0
"I&#39;m currently 6w 2d, and people like you sharing this vulnerable, personal experience are what I&#39;m most thankful for. After watching these videos, I know these brutal weeks of morning sickness, food aversions, and other miserable symptoms will be 100% worth it. &lt;3 Thank you, and congrats on your sweet baby girl!",Chelsea B,2021-05-08T23:32:09Z,0
Why I&#39;m I crying 🤦‍♀️😭💜💔,Ghaliah mohammed 괴한,2021-05-08T13:17:29Z,0
Yup I’m definitely getting a epidural 😂,Kailani Anders,2021-05-08T03:44:50Z,0
This girl is marking freaking granola bars why freaking have contractions ❤️😂 we love you,Adeline Coan,2021-05-08T01:48:49Z,1
"My name is also Nikole, with a K!!!!! I&#39;m 16 weeks preggo with our first baby boy. You were so strong and brave. Thank you for sharing and inspiring",nikole,2021-05-07T23:56:14Z,0
She’s beautiful ❤️,Avery Playzroblox,2021-05-07T22:25:14Z,0
the screams,Tokyokhaos Elephantツ,2021-05-07T20:08:43Z,0
"At the end when you are holding Sage (<a href=""https://www.youtube.com/watch?v=abRmll8VM9k&amp;t=22m22s"">22:22</a>ish) and you were crying, I started to cry with you😭 you guys did so amazing and she is the most precious baby💕 Thank-you for sharing this journey with us!",Andi Katt,2021-05-07T16:44:00Z,0
Congrats. Just congratulations! That was so sweet &lt;3,Davidos,2021-05-07T12:59:03Z,0
What was that thing she was sniffing in that blue bottle?,Dr. Sun,2021-05-07T10:00:16Z,0
LOVED THE INTRO,Laylah Cooper,2021-05-07T01:58:04Z,0
Great job mama!<br />Congratulations parents🎉🎉🎉🙏🏽,LettheworldseeHIM87,2021-05-06T23:46:52Z,0
👰🤰🏻🛀🏽🤱👼,Olga Naratova,2021-05-06T18:19:45Z,1
You will know when they are true contractions for sure. Omg yeah!,Dawne Myers,2021-05-06T04:55:45Z,0
"My 10 year old, adopted, very mature for her age, daughter keeps saying as soon as her period starts she wants to have a baby. It is amazing what 4th graders talk about these days. I’m 54 and that was the last thing on my mind at that age. This is a very beautiful blog. I’m a former neonatal intensive care nurse on disability. Although beautiful to me hopefully the delivery process will deter her. Thank you for such a conservative video that shows the process without getting so up close to the actual birth. PG rated version instead of R rated for her.",Connie Smith,2021-05-05T14:05:40Z,0
Amazing ❣️,Jacqueline Caballero,2021-05-05T01:43:44Z,0
Those granola bars that she made are making me so happy.,Sela Young,2021-05-04T15:44:29Z,0
I’m I’m jealous but happy for u I’m just jealous I was born into a family with no sisters and I have 6 brothers and no sisters I’m the only girl and my mum and duddy are drunk I don’t think my mom will get pregnant again she on her 40’s and I don’t think she’ll have the strength to deliver a baby girl I really want a sis,oliviasmartiepants,2021-05-04T02:03:57Z,0
I feel bad for all the woman in the world that they have to go through so much pain in pregnancy 🤰 I will pray for all the women that are pregnant with a baby boy or girl I will pray for all y’all and for the women to deliver a cute healthy baby god bless you all,oliviasmartiepants,2021-05-04T01:59:03Z,7
your husband is so supportive aww,Kayla Schaen,2021-05-04T01:29:00Z,0
"I hope I look as good as you after delivering a baby, if I ever decide to do so!! Thank you for sharing!",Celeste Rizza,2021-05-03T23:11:35Z,0
Omg congratulations ❤️🎉,Intelligencia Malfoy,2021-05-03T09:48:18Z,0
Sometimes you can press on the smaller back and I’ll give her some relief cold rag sometimes just sitting on the floor in the shower letting the water run on our help jump on the first one because you’re afraid I am sometimes it takes longer to go through so I’ll try to relax gonna be OK,J Saul,2021-05-03T07:58:37Z,0
It’s going to be OK you need to relax so that you save your strength because you’re gonna need it when I get home and you know you always candor at the garage need to doesn’t hurt the baby I’m at the Dennis either way I’m just nervous because you haven’t done this before and sometimes it for you and your husband are the midwife well massage that area in town at work a little bit so I get a little more relaxed it helps I am I’ve had quite a few the first one my first wife was a 36 hours she was so tired But it turned out OK and you will be fine in your baby also tryNot to worry and if you think you need to sometimes you can run a bath and put Ginger in like nylon or something and sometimes it will help start the labor but you’re gonna be OK so I just try to relax I know it’s hard but mother people go through it and it’s a good experience anyway I guess that’s it for now,J Saul,2021-05-03T07:57:35Z,0
