comment,id,date,num_likes
"I use six of the ten...enjoyed🙋🏾‍♀️ That coconut butter is really delicious. I spread it on toast, I need to try it on pancakes.😋😁",Shena52,2021-04-28T16:49:04Z,0
Tunisia dates is more delicious than medjol dates... You have to try it if you can. 😋,Inten Cahya Perwira / lala99,2021-03-31T00:15:51Z,0
Great video!!! Helpful!!! You Mr. Matt need to do a taste test haul!! Do mulbank !!! ♥👍🙃,Barbara Mastny,2021-03-17T22:59:04Z,0
"Labeling food as &quot;healthy&quot; also means &quot;good&quot; or &quot;bad&quot; and foods shouldn&#39;t be labeled as such. 🙁 It promotes unbalanced / not great views of food!! Also, I can&#39;t believe ghee made the list. Dairy cows are extremely mistreated and the dairy industry is horrible for the environment.",jlv8216,2021-03-12T00:05:51Z,0
Loved this! Thanks for taking the time to link each product.,Kim K.,2021-03-10T20:25:42Z,0
"Hmm i haven’t seen medjool dates at the super. I usually buy just dates. I ll have a look out! And i ll try avocado oil! The other items I usually have them at home, except the ghee and coconut manna, I ll give them a try!",astanapane137,2021-03-09T09:59:25Z,0
I would love to see a medjool dates recipe 3 ways video from you,Estelle André-Ginoulhac,2021-03-08T18:31:39Z,0
"I’m from near Maldon, love how you said it haha! Makes it sound really fancy",Paula Willmore,2021-03-07T13:01:48Z,1
"The most underrated food in my opinion is sardine. Why ? It’s a fatty fish, so rich in protein and healthy fat (omega 3), as salmon, tuna… but waaaaaay cheaper ! Moreover it’s not a predator like those other fatty fish so it doesn’t contain a lot of toxins, metals… finally It’s often sold canned so very easy to use and store ! <br /><br />And there’s so much other underrated food : <br />- buckwheat flour (rich in probiotic, gluten free, delicious, not too expensive) In france (especially in a region called Britain), we use it for crepes ! <br />- split pea (rich in proteins as lentils, beans and chickpeas but no one speak about them<br />- sheep dairy products (more digestible, more calcium, less lactose than “classics” diary product. Rich in protein, fat and delicious) <br />-  cinnamon (lower glucose level, anti-inflammatory… delicious !) <br />- oysters and mussels <br />And so much others !",Leim Uraf,2021-03-06T10:20:26Z,2
More list videos please!! Maybe beauty. Ps sage is adorable,Megan Conley,2021-03-06T04:45:25Z,0
"Good list, just don’t go crazy with the dates they are high in sugar.",POSITIVE CHIC,2021-03-05T18:58:30Z,0
"I love sea or Himalayan salt, but make sure you are using some iodized salt. That is the only place we get iodine in the U.S. and without it, you could develop a thyroid issue.",Alassia Cousins,2021-03-05T16:04:44Z,0
Love these kind of your videos!!! 🙏🏻👏🏻 Greetings from Germany! 🙋🏻‍♀️,Asli Aktas,2021-03-05T07:20:30Z,1
"I always think dates look like cockroaches too (or what I think they look like), but thought it was just me.  It weirds me out sometimes.",SB E,2021-03-05T05:35:56Z,0
"Most of these are a staple too, although I&#39;ve never had coconut manna. Not a huge tahini fan but it&#39;s in my kitchen",Caterina Ramirez,2021-03-05T05:09:33Z,0
I wish you went into the health benefits if each item!,Sana A,2021-03-05T04:18:03Z,0
Can you link the barbecue sauce you mentioned please?,Alex,2021-03-05T01:11:13Z,0
It’s the Dads bbq sauce I like that’s sweetened with honey or the other one I like is I think called good food and it’s with dates,HealthNut Nutrition,2021-03-05T02:19:38Z,0
Can you do high protein egg free meals? I have a 4 month old and am struggling to find high protein easy meals that don’t include eggs because I am allergic.,Danielle Neville,2021-03-05T00:25:03Z,0
I love to put dates in with banana and almond milk and make a smoothie. So simple but good. I’ve wanted to try nutritional yeast.,Anne Munoz,2021-03-04T23:28:01Z,0
"The video just started but I can already tell, I would love to see more! <br />😍😍😍",How To Cuisine,2021-03-04T23:05:13Z,1
"I put nutritional yeast into almost everything!  Soups, macaroni and cheese, even like taco casserole!",Abbie Witt,2021-03-04T15:18:33Z,0
Looking forward to the 20items list☺️,Victoria Lastofka,2021-03-04T14:50:51Z,0
Yessss dates are roachy looking!,Sara Lea,2021-03-04T14:28:23Z,0
I feel like you just gave a lot of general statements like “it’s healthy” or “it’s good for you” but didn’t really provide any health benefits,Jackie Lopez,2021-03-04T13:45:52Z,4
"Agreed. Unfortunately, it&#39;s quite typical of &quot;health&quot; bloggers / creators. It&#39;s really frustrating, and also labels food as &quot;good&quot; or &quot;bad&quot; and it just doesn&#39;t make sense. Like sure, I&#39;d choose coconut oil over butter. But I also wouldn&#39;t eat a cup of coconut oil in a day, you know? Same as I wouldn&#39;t eat only vegetables all day.",jlv8216,2021-03-12T00:10:37Z,0
That is not what the vid is about,Rawda Ahmed,2021-03-04T17:51:57Z,2
Do your research,Rawda Ahmed,2021-03-04T17:48:52Z,2
The aesthetics of this channel is SO PRETTY! ❤️,Darshika Nandini,2021-03-04T07:46:46Z,4
"I cannot eat popcorn anymore without nutritional yeast, it is the best! I also add pepper, garlic salt, and onion powder. That combination is amazing on rice too.",Katie B,2021-03-04T05:52:28Z,0
Hi healthy Nut :) I’m new to your channel ! I would love to see a video about multi vitamins and healthy vitamins you take each day or week / and skin care / hair care routine,Love Megan,2021-03-04T05:33:06Z,0
there are no such thing as &quot;healthy vitamins&quot; and she has tons of videos on skin and hair care,jlv8216,2021-03-12T00:06:55Z,0
When will your cookbook be back in stock??:(,Lacy Henry,2021-03-04T04:20:01Z,0
"Like, oh my god, totally!",a6b9fu11,2021-03-04T04:15:43Z,0
"Try stuffing dates with ghee and freeze them!! Also sweetheart, please be careful of the quantity you consume of dates!! It affects us women somehow and I don’t really know how to explain that but you can google it!! I grew up eating dates with ghee, and I recommend that you try at least once with a couple pieces! Much love to new Mamaa and baby Sage♥️♥️",Mansi Patel,2021-03-04T04:11:31Z,0
Coconut butter or oil is not even that healthy for you love. It’s FULL of saturated fat. Its not worth the health craze lol,Maria Nguyen,2021-03-04T04:07:23Z,1
Exactly! I also used to live somewhere in which the cockroaches ran rampant. Dates make me think of them every time. 😂,Sophie Homemaker,2021-03-04T02:57:30Z,0
love medjoul dates! making dates snickers with them,prisc.l,2021-03-04T02:49:33Z,0
That is my FAVORITE tahini!  All I buy!,De B,2021-03-04T02:46:42Z,1
I agree the first look at dates resembles coackroaches,Swati Pai,2021-03-04T02:40:47Z,0
"You had mentioned a healthy bbq sauce...wondering if you could do a healthy condiment video.  I love sauces, condiments, and dressings but they tend to take something healthy to unhealthy really fast.  Looking for ways to keep things flavorful and saucyyyy but in a healthier way.  Love your videos btw!",Rebecca D,2021-03-04T02:30:26Z,5
Hahaha I thought cockroach as soon as I saw the dates,Jackie Sandberg,2021-03-04T02:22:41Z,0
I put capers in my chickpea salad,naturally rachida,2021-03-04T02:01:43Z,0
"I add a few dates to my smoothies, and i stuff walnuts into my dates as a snack. So good.",naturally rachida,2021-03-04T01:47:37Z,2
