comment,id,date,num_likes
Adding the kale was brilliant - def doing that!,Linda75,2021-05-07T03:11:59Z,0
👍🏼,Linda75,2021-05-07T03:07:32Z,0
Omg 😍 Sage is so cute in the hat (and period)!,Linda75,2021-05-07T03:04:09Z,0
Matt is outta control 😂😂😂,Linda75,2021-05-07T03:01:40Z,0
SNOWPIERCER!!!!! Best show everrrrr!!!! 🙌💚🙌,Candice Petty,2021-05-06T22:38:04Z,0
Love your videos. What are those drops you put in your morning tea? Thank you :D,VOULA S,2021-05-06T13:16:36Z,0
"Personally don’t like tuna, or mayo so that answers your question 😬",Nic dunworry,2021-05-06T00:13:02Z,0
I love your videos :) would you tell ne which baby carrier you use?,IIDA259,2021-05-05T19:58:19Z,0
"I really love a good air chair over a hammock, it’s great when it’s nice and breezy.",Fefe Qu,2021-05-05T00:52:05Z,0
Hey where is your defuser from?,Preethi M,2021-05-04T19:27:32Z,0
Seems like whenever you are craving something that Matt doesn&#39;t like it doesn&#39;t bother you and you make it anyone. Very inconsiderate!!,Katrina Bryant,2021-05-04T16:06:40Z,0
I can&#39;t watch her eat.,Arrania Winter,2021-05-04T10:34:58Z,0
Teecino👍❤️,The Krazy Monkey Channel,2021-05-04T03:49:57Z,0
"I made my own mayo when I did the Whole 30, it’s super easy with a food pro! Recommend not using olive oil tho, it gives it way too strong a flavor—something more mild is the way to go.",Spring Weaver,2021-05-04T01:47:55Z,0
You and Matt are doing Amazing!!!! Both my girls love bath times with us too ! I laughed when others say &quot;sleep when baby sleeps&quot; if only it were that simple right ! Love your videos!!!!💘,R.H,2021-05-04T00:42:11Z,0
Love seeing Matt’s lighter and relaxed side.......when he was dancing behind you! 😂,Kenia Kennedy,2021-05-03T23:19:50Z,2
Homemade mayonnaise is the best! I make it with extra virgin olive oil. If I want to make it fancy I add a clove of garlic or lemon zest,Irene,2021-05-03T13:29:06Z,0
Each their own but do you even enjoy your food?,Genifer Romero,2021-05-03T12:58:22Z,0
"You are lucky you can eat a snack before bed, I don’t have the metabolism for that!!😁 Sage is so sweet and beautiful! I love watching her grow!❤️🥰",Janice Boland,2021-05-03T12:33:57Z,0
"<a href=""https://www.youtube.com/watch?v=ymgs9OLqQ48&amp;t=17m21s"">17:21</a> Cashew is soo cute snuggling next to you😍",Anna L,2021-05-03T10:05:26Z,0
Amazing video... love your content🤗💗,Shubha v,2021-05-03T06:04:00Z,0
Any recommendations for natural flea repellent for dogs?,Teresa Perez,2021-05-03T04:19:00Z,0
Where did you get your sweater? 😍,Haylee Daniels,2021-05-03T00:47:27Z,1
I love snowpiercer!! Season 2 is 🤯,Lindsey Ottaviano,2021-05-02T21:31:00Z,0
I liked this video because you showed the mess...,Melissa Lesage Varsally,2021-05-02T17:48:29Z,0
"Do you have a video on how you established a <a href=""https://www.youtube.com/watch?v=ymgs9OLqQ48&amp;t=6m30s"">6:30</a> bedtime for Sage? What time does she usually wake up for the day?",pixelpro 645,2021-05-02T17:08:18Z,0
"u still look very young, me 3 months after delivery- hair falling, do u have any video on self care postnatal",Yew Sunny,2021-05-02T16:26:21Z,0
You eat so weird stuff. Egg + kiwi xd,J,2021-05-02T15:57:07Z,0
"I haven’t used Mayo for years now, even vegan ones, I add hummus to make it creamy for chickpea tuna.",Kacang Family,2021-05-02T13:37:16Z,0
I really like that you showed Cashew more! She is so cute!,Julia Palacios,2021-05-02T13:23:59Z,0
I love chicken and tuna salad. I&#39;ve never had egg salad.,Krystal Crosaro,2021-05-02T11:51:11Z,0
Loved seeing miss Cashew enjoying herself out in the woods!,Sanna Axelsson,2021-05-02T07:25:11Z,0
I always get confused when you talk about the weather and then I just realized it&#39;s cause you guys go by Celsius? LOL so I have no idea what you&#39;re saying,Lauren Michelle,2021-05-02T06:04:22Z,0
I like making tuna &amp; egg salad for sandwiches on toast w/ avocado 💛,Carrie Fry,2021-05-02T03:07:28Z,0
Love tuna sandwhiches and yes the mayoooo😍,Steve Merai,2021-05-02T00:40:04Z,0
My dad always made homemade mayonnaise. Yummy!!!! 😋,S. N.,2021-05-01T23:35:26Z,0
Sage has the best expressions!,Lauren H,2021-05-01T21:24:22Z,0
"I love tuna, chicken and egg salad!",Tailor Dayton,2021-05-01T20:27:47Z,0
"Taking care of yourself,  eating right,  exercise and being around nature especially with loved ones is the positive way to live.  I love to eat tuna, salmon and egg salad sandwiches.  Definitely my vibe.  Mama and Sagie doing bath time together is so precious.   I&#39;m waiting for you Nikole to have your own tv show.  Watch out City Line&#39;s Tracy Moore and The Marilyn Denis Show with Marilyn Denis, there is a new Queen in town  HealthNut Nutrition with Nikole Goncalves.  You rule Nikole when it comes to health and wellness.  You bring a fun and freshness to your videos as well and your genuine and real  personality shines through.",Silvie/Mark Silverstein,2021-05-01T19:51:13Z,0
"As a new mum it really kept me going meeting my antenatal group. We all met at the doctors for an antenatal workshop and we still in contact after 6 years. I really recommend to have a buddy, then you realised are just in the same situation as other new mums. Lots of love ❤️",Cristina Arisa,2021-05-01T19:12:21Z,0
Sage is so cute,Bianca Polo,2021-05-01T18:49:59Z,0
where did you order those frames from?,Rashmi,2021-05-01T17:37:47Z,0
Amazon! I’ll link them in one of my next vlogs where I share putting them up,HealthNut Nutrition,2021-05-01T18:01:55Z,1
"Hi Nicole, nice video though I am quite concerned seeing Sage put her hands full of sope from the bath in her mouth... other than that great day/s in the life content!",Vanessa,2021-05-01T17:11:52Z,0
"Oh great, thanks for your answer! Hope I didn’t intrude in your private life, by the way. Anyway keep up the good work, we all struggle with things in our lives so no need to feel bad about it :) I appreciate you sharing it and definitely send all my love to everyone in such situation. Also, Matt seems an amazing dad, def worth praise too! 😊❤️",Vanessa,2021-05-02T09:00:04Z,0
It’s very diluted and all natural so safe for babies 😉 i don’t just let her put bubbles in her mouth but if some gets in it’s not a big deal,HealthNut Nutrition,2021-05-01T18:00:43Z,0
Ok that is the best looking tuna salad I have EVER seen. I LOVE tuna salad and basically just put in tuna and mayo. I never would have thought to put so many veggies but I&#39;m sure gonna do it now!,modmomdiaries,2021-05-01T14:44:58Z,0
It’s such an easy way to squeeze them in!,HealthNut Nutrition,2021-05-01T16:15:17Z,0
love your vlogs!,i Yazzy,2021-05-01T14:21:29Z,0
Love ALL the salads!! 🤩🤩 Also - watching Sage kick her feet and squeal is EVERYTHING!! 💟,Lydia Thornton,2021-05-01T13:55:43Z,0
"I love this channel so much, the family is so amazing. Wish I found this channel sooner",Aka Mahna,2021-05-01T13:35:12Z,0
when you start eating sage ???,Ban Ahmed,2021-05-01T13:33:13Z,0
"Sooooo into chicken salad, potato salad and tuna sandwiches. I truly could live off of them 😆",Elizabeth,2021-05-01T13:33:02Z,0
aw - the first year is SO hard even without COVID.  It gets better.,aimeechas,2021-05-01T13:01:25Z,0
I can so relate to being emotional postpartum! I’m 10 months postpartum and I’m still extra emotional and having those little moments where I think about stuff,Mons alinchen,2021-05-01T12:57:51Z,1
Homemade mayonaise tastes so good 😊 I like to add a little bit of garlic to it 😀,christelle m,2021-05-01T12:44:17Z,0
"I hope sagey never poops on you in the bath, I saw a video of that occurring online to a momma 🤣🤣 beware LOL",Vanessa Heslop,2021-05-01T10:05:38Z,2
I feel that people should be more conscious when they go grocery shopping so that they purchase less plastic with the grocery items.,brigit joseph perumalil,2021-05-01T09:58:13Z,1
Yes! And we need to use more farmers markets too,V I C T O R I A,2021-05-01T22:22:08Z,0
Sage kicks are the cutest 😍❤️🥰,Vanessa Heslop,2021-05-01T09:49:59Z,1
wow!!! happy family.,hilda akinyi,2021-05-01T09:45:12Z,0
"More Sage please, super adorable",Janice Eileen,2021-05-01T09:40:27Z,1
Ohhhh how cute is this little princess❤🧡💛💚💙💜,Jan's yummy world,2021-05-01T08:44:39Z,0
That tuna looks so hearty! I’m going to try that!,D S,2021-05-01T07:31:34Z,0
I can’t follow the link for the bath toys. What was the name of the brand you said? Thanks,Niamh Twist,2021-05-01T07:12:22Z,0
Always love watching your videos I am currently pregnant and due in like 3weeks or so and just having some nice food ideas plus nap times with sage is really helpful for me so thanks 😊 💖 plus use always put me in a good mood 🙂,Adiva Miller,2021-05-01T06:51:14Z,0
Please do a video on the making of the soup it looks so good.,Angela Marcinkevich,2021-05-01T05:57:06Z,4
Yes it does look really good!,Evelyn Loza,2021-05-08T04:22:54Z,0
