comment,id,date,num_likes
I&#39;m so interested in what you fed Cashewfor breakfast? It looked so yummy for a pup. I&#39;m New to your chanel so maybe I&#39;ll find a vlog where you explain.,Savannah Mains,2021-05-05T06:38:39Z,0
Can we just say Sage&#39;s closet is like super bomb!😊❤👍👍,Momma Bear,2021-04-24T12:23:14Z,0
"Hi Nikole! I don&#39;t mean to be rude but why did you name your daughter after a color? Won&#39;t she bullied in school for that name? Also, that carrot cake looked SCRUMPTIOUS :)",Beatriz Carneiro Da Silva,2021-04-20T18:24:57Z,1
Cashew is such a great dog!!!!! So well behaved!!!!! Nice guys!!!!,joanna walaszek,2021-04-20T02:46:50Z,0
I love her little smile looks so cute,Addi’s Satisfying Adventures,2021-04-20T00:23:07Z,0
Have you ever tried the Brazilian version of carrot cake? It is really good and we top it with chocolate icing :),Julia Palacios,2021-04-19T17:20:28Z,0
I cant get enough of Sagey what a sweetie pie. Love your videos! hope everyone has a beautiful day!,Yazy Rosario,2021-04-19T14:52:28Z,0
Xo,Yazy Rosario,2021-04-19T17:20:37Z,0
Thank you for the sweet comment xo,HealthNut Nutrition,2021-04-19T17:17:56Z,1
I wish your store was available in South Africa 🥺,Jabulile Miyen,2021-04-19T12:02:16Z,0
Loved this! Sages smile😊 I’m going to find that carrot cake recipe. What is the dressing you made for the salad?,mssatgirl,2021-04-19T00:49:14Z,0
I love The Pout Pout Fish! Sage is so cute :),1walkinggirl,2021-04-18T20:55:28Z,0
"Hey Nicole, during the clip when you baked with Sage in the carrier, my thoughts where: I&#39;d wore her on my back.<br />I have three children (now 15, 13 and 9) and I really loved to wear them on my back as babies. For me that was way more comfortable than wearing them on the front, which I also did when they where really little. I am not sure if that will be possible with the carrier you have. I always used a wrap at first when they where little for wearing them on the front.<br />Later (about Sages age) I wore them on my back in an Ergo Baby Carrier or an Manduca Carrier. But I don&#39;t know if these are outdated now.<br />As soon as I had my second child (the first was 2,5 years at that point) I could not imagine how to survive without a carrier.<br />If you have baby on you back you have your hands and front free to do things with the toddler.<br />Also older babies often like it to be on the back because they can see more than on your front (if faced to you).<br />I always heard that facing baby outwards when carrying on your front is supposed to be bad for their hips (and gives a lot of pressure on babys private area, which is especially bad for boys). Love from Germany, Salo",Salo,2021-04-18T11:42:31Z,0
Sage is so cute!! ❤️,The Castillo's,2021-04-18T05:42:11Z,0
Love the puppy cheese hunt!!!   Such a beautiful family,Tiffany D,2021-04-17T21:10:08Z,0
Make more of these viedos love them💞,"luvs, ya'll beautiful",2021-04-17T20:52:20Z,0
What is the stuffed animal basket hanger?,Heather,2021-04-17T20:20:17Z,0
It’s linked in my nursery tour video and blog post ☺️,HealthNut Nutrition,2021-04-17T21:09:15Z,0
Sage’s finally growing into her big green beautiful eyes! 😊💕,Crystal Pedraza,2021-04-17T17:52:33Z,1
"So cute I love miss cashew and great you involved her With the Easter hunt she’s so cleaver and adorable how she’s loving to Sage. All the buffet items looked delicious what a feast wow those salads and rare beef. I never have it at home. We have some of the Brazilian steak restaurants where it’s a buffet the waiter comes from with hot barbecued meats and there’s a salad bar, with french fries and Portuguese vegan stewetc included in the price. We usually go at lunchtime gorgeous views and it’s an epic feast. With a special lunchtime price we come home for a nap...",Raw Chick,2021-04-17T16:39:32Z,0
she is gorgeous,mb gruber,2021-04-17T14:52:23Z,0
Sagey’s face as the intro- was perfection 🥰❤️,Vanessa Heslop,2021-04-17T13:49:47Z,2
Hi Nicole Sagi is sooo cute. Could you please post the recepie of the salad dressing mentioned in the Vedio?,Divya Jithesh,2021-04-17T12:03:32Z,0
Love your healthy channel n Sagey,Janice Eileen,2021-04-17T10:05:22Z,0
I think she&#39;s wondering cooking process 🥰 she&#39;s soo cute 💜,Tinatin Chkhutiashvili,2021-04-17T08:50:24Z,1
When we have Holidays in Denmark we se the Fabrik from Årla ..,Morbi und ich,2021-04-17T06:27:37Z,0
Idk if it was just the amazing quality of the camera but all the food looked AMAZING,Emily Jones,2021-04-17T03:02:31Z,0
I think good speaks for itself ☺️,HealthNut Nutrition,2021-04-17T11:57:54Z,1
"“And also I just want carrot cake” 😂😂 Love it. Sage is adorable, and you are hilarious",Emily Jones,2021-04-17T02:56:58Z,1
Pretty much my motivation to make food is make what I’m craving haha,HealthNut Nutrition,2021-04-17T11:57:32Z,1
Girl she is her daddy&#39;s twinnnn. Looks just like Matt. So cute! 💜,naturally rachida,2021-04-17T01:46:17Z,4
I love playing the find it game with my pup too!,Emma Reinhold,2021-04-17T01:35:27Z,0
This vlog made me so happy! Just imagine sage next Easter walking around finding eggs ☺️☺️☺️... cashew is so adorable too 💗🐾,maya waring,2021-04-17T01:06:37Z,0
😭I can’t wait!,HealthNut Nutrition,2021-04-17T01:37:27Z,0
The food is delicious 😍 the thumbnail is adorableeee,Taylor LaVerdiere,2021-04-17T01:04:40Z,0
I can&#39;t get enough of Sagie!!  I just love the choices that you put in Sagie&#39;s basket.   Sagie in her outfits are &quot;killing me&quot;.  When is your own t.v. show coming Nikole?,Silvie/Mark Silverstein,2021-04-17T00:36:34Z,0
Do we have to use the almond flour? Or can we still with regular whole wheat?,rita abdulghani,2021-04-17T00:09:35Z,0
oh my gosh i LOVE dandelion tea! it is so delicious! :),Emily,2021-04-16T23:17:03Z,0
Sage is such a cutie. Tfs looks like you had fun💜,T Harris,2021-04-16T22:54:32Z,0
I never had a dishwasher.,Monika Kamila,2021-04-16T21:44:34Z,0
I guess one cant use all almond flour for cake recipe?,Cathy Diamond,2021-04-16T21:21:41Z,0
No straight up almond flour wouldn’t work for this recipe. You’d have to adjust and maybe add a secondary flour like brown rice flour or tapioca flour if you’re looking for Gf option.,HealthNut Nutrition,2021-04-16T21:27:34Z,0
What a great vlog and where did you get that gorgeous green shirt??? It&#39;s glorious.,Hannah Martinez,2021-04-16T21:18:08Z,0
Thank you! Last year from zara,HealthNut Nutrition,2021-04-16T21:26:22Z,0
Carrot cake is now on my to-make list for the week. It sounds SO good! I love Sage&#39;s Easter basket!! 😭😍,DynamiteTrujillo,2021-04-16T20:29:21Z,0
I loved how you incorporated the whole baking of the carrot cake process! Also Sage is looking more and more like you! &lt;3,Hilda Chavez,2021-04-16T20:20:05Z,1
Wtf,Nicole Andries,2021-04-16T20:07:51Z,2
The Pout-Pout Fish was one of my favorite books to read to my daughter when she was a toddler. She&#39;s 5 now and still pulls it out for bedtime stories.,amweeks1002,2021-04-16T20:05:55Z,0
Carrot cake is my favorite cake,Jasmine Easley,2021-04-16T19:34:45Z,1
I only use to like the icing but now I’m obsessed with the whole thing 😜,HealthNut Nutrition,2021-04-16T19:55:50Z,0
