comment,id,date,num_likes
"does anyone know what that pillow thing is that they&#39;re changing their baby on? <a href=""https://www.youtube.com/watch?v=zml11Ybzflo&amp;t=31m46s"">31:46</a> for example",Rebekah // Divine,2021-05-08T23:58:12Z,0
It’s our changing pad and it’s linked in my nursery tour blog post ☺️,HealthNut Nutrition,2021-05-09T01:38:00Z,1
What is that pillow you&#39;re using when you guys feed her in the glider?,Christy Foudray,2021-05-08T05:05:36Z,0
great video. i love your necklace can you share where did you get it?<br />thanks,Stacy Hsu,2021-05-08T01:14:33Z,0
"this has got to be the world&#39;s least fussy baby, I have a newborn who hates being changed and will cry her lungs out each time! :)",Rodman Lopez,2021-05-06T23:16:48Z,0
"<a href=""https://www.youtube.com/watch?v=zml11Ybzflo&amp;t=3m37s"">3:37</a>???? Thats when my school gets out :)",Lena Kuennen,2021-05-06T21:37:26Z,0
"Why do you lock your dog outside?Especially in the winter, like don‘t get a pet if you gonna treat it like an object",Evelyn Noname,2021-05-06T00:46:55Z,0
"Hi guys, how did your dog took a new person coming to the house, what was the reaction?? How you prepared for the change so the dog felt ok with it??",santsin,2021-05-03T19:20:39Z,0
This was so helpful. Thank you for sharing it. Praying our fertility journey will bless us with a baby as cute as Sage soon. &lt;3,MettePeleikis,2021-05-03T07:07:02Z,0
Really random but how much do babies eat? Or I should ask what’s a good amount? She’s precious! I’m new to your channel 😊,Brianna Cunningham,2021-05-02T19:23:55Z,0
Where did you purchase the dim light ur hubby used tom change your baby&#39;s diaper while dark,Racquel Baltazar,2021-05-01T19:07:57Z,0
I’m a kid but love the vlogs ❤️❤️,Zahraa Cassim,2021-05-01T12:06:39Z,0
"To all the moms watching this who’s life does not look like this or whose newborn is not this chill, you are doing a great job. You are not alone. Every home is different, every baby is different. You’ve got this!",Corinne Louie,2021-04-30T01:04:51Z,12
THIS MAN IS FATHER AND PARTNER OF THE CENTURY,B Hannah,2021-04-29T23:55:13Z,0
Can u tell me how can i take my milk along with me when i get outside as it is difficult to breastfeed outside,Minna Abbasi,2021-04-27T19:24:22Z,0
@Green Wings can we be friends? How could i contact you?,Minna Abbasi,2021-05-07T15:15:40Z,0
@Green Wings yes I&#39;m well but have weakness. Baby is healthy,Minna Abbasi,2021-05-07T15:15:23Z,0
Im sorry you had c-section. I hope you are healing well. Is your baby healthy? Yes my delivery was normal. but labor was lasting from the night on feb 14th to the morning of February 18th. This was my first child. A girl named Mira.,Green Wings,2021-05-07T12:23:13Z,0
@Minna Abbasi blessings to you and your baby. I have traveled to india 3 times. I was w the ISKCON.,Green Wings,2021-05-07T12:15:37Z,0
@Green Wings did u have normal delivery,Minna Abbasi,2021-05-07T11:55:33Z,0
Can i breastfeed my newborn when he is lying infront of me? Or is it important to pick him up,Minna Abbasi,2021-04-27T19:22:42Z,0
Nursing lying down is so much easier especially while you are still healing from giving birth!,Green Wings,2021-05-04T03:32:01Z,0
♡♡,Today Is Siempre,2021-04-26T16:14:03Z,0
Where did you get your bed set?,michaela session,2021-04-22T01:52:25Z,0
Omg! I’m expecting and I felt tired just by watching..Thank you for the video!,Krasi V.,2021-04-19T04:30:57Z,0
"I want a low budget version of this. Can someone show me a link to a poor couple who can’t afford all these extras or to have their spouse at home? I’m not hating on this couple, they are very blessed. Just not everyone can afford this.",Missy Diamond,2021-04-18T22:06:50Z,0
"Hey, how old is your newborn? :) in this video I mean.",Patanne S.,2021-04-17T16:02:15Z,0
"Hi I am really interested by these clothes that your baby is wearing that are tied at the bottom. I don&#39;t think it&#39;s in your description. If you could let me know, thank you! Also this was eye opening as a 20 weeks pregnant woman!",Gardenslover,2021-04-17T11:16:43Z,0
Congrats mama! Check out my newborn must haves video and blog post ☺️ they are linked there!,HealthNut Nutrition,2021-04-17T11:56:30Z,1
Like your daily life..... ❤️❤️,SK Project,2021-04-13T14:30:30Z,0
I would never put my baby to bed like this......not a fan,KitKatKatorrie,2021-04-13T08:14:40Z,0
That’s very little calories for a breastfeeding mom,Cliodhna,2021-04-11T00:25:57Z,0
Three layers of clothes while he sleep is a lot,Liz Brown,2021-04-10T13:01:42Z,0
"Wow,....she eats so much. I’m 5 months pregnant and your videos definitely made me realize that I underestimated just how much work it is to be a mother 😭",Nikeya Washington,2021-04-07T08:19:38Z,0
I&#39;m 32 weeks pregnant and watching this exhausted me. Fair play I don&#39;t know how we are going to do it.,ben knope,2021-04-01T23:01:04Z,0
What is the orange light you use? Looks so practical and handy!!! <br />Thank you,samantha west,2021-03-31T03:42:21Z,1
So refreshing to see dad getting bub dressed and ready for a feed!!,Jessica Ashleigh,2021-03-29T01:48:49Z,0
This was such an awesome video! I am due in a few weeks with our first and have been low key freaking out a little on how I&#39;m going to be getting everything done. Thank you so much for being so honest and sharing! &lt;3 She is beautiful!,Rachel Gibson,2021-03-29T01:02:24Z,2
This should have been named “where’s your sock “ 😂😂😂😂😂😍😍😍😍😍,Tika B,2021-03-25T20:41:13Z,0
😍,Rania Princess,2021-03-25T16:36:43Z,0
"What glider and pillow do you use for breastfeeding? You look so comfy! Also, what swaddle do you use under the Snoo swaddle? Much love ❣️",Andrea,2021-03-25T07:46:47Z,1
I did not realize how many time a baby sleeps and eats!,Diana Hurley,2021-03-24T22:59:05Z,0
Same! 😅,HealthNut Nutrition,2021-03-25T02:54:07Z,0
Thank you so much for this x,Sophie,2021-03-21T18:48:13Z,0
good mom,Atonement,2021-03-20T17:11:34Z,0
Omg please don’t sleep next to your baby in bed you could suffocate them or cause SIDS. Love the video but that part was so dangerous!,katie seward,2021-03-18T12:46:58Z,0
You two are amazing parents!,Sarah Gbadebo,2021-03-17T04:32:53Z,0
Matt is so helpful with Sage,Anastasiia Andrushko,2021-03-13T19:54:55Z,0
"It’s his daughter, he should be doing at least 50% of the work...",Daphna Eremina,2021-03-15T17:58:46Z,0
WOW THAT IS AMAZING <br />I am just a kid but I have always wanted my own family and kids Especially<br />a girl because II am and I like baby girls best,Aurora Stone,2021-03-11T12:14:53Z,1
What type of dog is cashew?,Maya Micallef,2021-03-10T02:46:30Z,0
i&#39;m curious (and this is because I don&#39;t have a kid yet) but why do mom&#39;s say it&#39;s impossible to shower with a kid? my friend would put her daughter in the carseat and bring her into the bathroom and leave the door open and she&#39;d just lay there and wiggle around while she showered... or you could ask your significant other to watch them for 5-10 minutes so you can shower. this is just what I would think to do... so why is it that some mom&#39;s say &quot;I haven&#39;t showered in a few days.. try having a baby&quot;.. what stops you?,Emily Sparco,2021-03-07T16:07:16Z,0
OMG! Cashew in this video 😍😍🤣,Elin Helene O,2021-03-04T21:56:42Z,0
Where is this swaddle from??😭😭😭,Hayli Garcia,2021-03-04T05:19:38Z,0
Dads face when he was trying to bottle feed is hilarious.  He’s so focused 😂😂.  Loved this video!,Mrs. Kimble 💍,2021-03-03T00:21:55Z,0
Obviously i need a new man in my life cause i know he not gone be this helpful 😂. Let me start looking,imanii1,2021-03-01T20:35:14Z,0
"Hi, I was wondering why you were recommended a probiotic for your baby.",Julie Uwitonze,2021-03-01T03:01:11Z,0
Where can I get the wrap your baby slept In inside the bassinet?,Draya Joyner,2021-02-28T14:00:43Z,0
"I watched this when I was pregnant and adored the video, but I had my baby 3 weeks ago and rewatched this to realize your sweet girl is way more chill than my babe lol 😭",Jessica Dettra,2021-02-27T03:01:38Z,3
"Same 😭. Love my baby, but alone time and movie night is simply NOT on the table 😭",Corinne Louie,2021-04-30T01:11:33Z,0
Where is your grey shirt from!? It looks perfect for when breastfeeding,chelsea ferber,2021-02-26T19:01:40Z,0
tangled,Jen H,2021-02-24T22:14:12Z,0
When she looks in the mirror for the first time in life and finally realizes that she is sooooooooooo cute,LizzyPlayz,2021-02-24T18:53:31Z,5
"I am LOVING this content. My husband and I are trying for our first baby. I am so appreciative of all your transparency, tips and tricks. They are so helpful as we prepare to transition to this next stage of our life. I am obsessed with little Sage. She’s so beautiful!",FMarieT1,2021-02-21T17:10:38Z,0
"I love her name! Also, my nickname in my family is still peach haha!",Mikhala,2021-02-20T05:16:51Z,0
"Sage is <a href=""http://adorable.so/"">adorable.so</a> cool seeing a 24 hours is actually like.",Josh Williams,2021-02-19T00:01:16Z,2
Those 24 hours felt like a week and I wasn’t even going thru it 😩 currently 34 weeks with baby boy due end of March! Sage is gorgeous and your family is beautiful! ❤️,Jennie,2021-02-18T11:08:43Z,2
