comment,id,date,num_likes
Just made it. Let&#39;s see home it goes! Looks moist😊,Sumayya Khawaja,2021-04-14T11:57:22Z,0
Do I need to make adjustments if I use APF or Whole wheat flour? I have been looking for a healthier version of carrot cake. Thank you!:),ArLi,2021-01-06T08:18:57Z,0
Would whole wheat flour work? Oh and if I made them in muffin tins world anything change?,Madison Wu,2020-10-18T21:26:36Z,0
"I’m looking for a healthy carrot cake recipe, but this is waaaayyy to many ingredients smh",liliana figueroa,2020-10-17T02:13:58Z,0
Ok am so impressed by the recipe especially the almond milk &amp; cider vinegar to replace buttermilk BUT I rather not just see the recipe But Like to see  &amp; know Measurements as you’re adding so I can make it &amp; follow it in my kitchen!! The only critic I have!!🙄🙄👎,Claudia White,2020-10-11T18:02:31Z,1
All my recipes are on my blog linked in the info box ☺️,HealthNut Nutrition,2020-10-11T19:05:52Z,0
Can you swap the coconut sugar for regular sugar?,Miriam K,2020-10-01T19:27:36Z,0
Can you substitute the coconut sugar and maple syrup with stevia?,Devilman Hooeee,2020-08-27T12:43:07Z,0
Can I use regular all purpose flour  instead?,VLRI,2020-08-02T20:41:10Z,1
One of the best carrot cakes. I had watched other healthy carrot cake YouTube channels and they appeared dry. I’m glad I went with this recipe. The cake is so moist and delicious. I went too heavy with the cream cheese but that’s an easy fix. I used grass fed whole milk instead of almond milk and the vinegar still did the job.,AkIce Queen,2020-07-25T05:14:46Z,0
"<a href=""https://www.youtube.com/watch?v=FtqPdIkjhvU&amp;t=1m29s"">1:29</a> start of the actual process",Darya Grin,2020-07-15T09:10:51Z,15
"If I use all purpose flour instead of spelt flour, will the measure of the flour be the same? 🤔",Tati Puerto Rico🇵🇷,2020-06-30T13:57:49Z,0
Tres leches cake is my favorite cake to make!,Patrice T. Coriélus,2020-06-01T22:39:02Z,0
It is indeed the best cake  🍰,Emma’s Plate,2020-06-30T03:08:15Z,0
Can I use oat milk instead?,Alexandra,2020-05-31T14:50:55Z,0
Let&#39;s throw in a shit load of sugar and call it healthy.,Blank Blank,2020-05-17T12:28:22Z,12
@chim1013 aka good question!,Tati Puerto Rico🇵🇷,2020-06-22T07:17:23Z,0
Viktor Boshkov what is the ratio? how much grams of honey is needed?,chim1013 aka,2020-06-07T07:57:01Z,1
@Viktor Boshkov may try that later. I usually stay away from anything that spikes my insulin these days.,Blank Blank,2020-06-05T16:18:37Z,2
"I made this cake for my husband&#39;s birthday, it&#39;s today! I sprinkled chopped walnuts on the yogurt cheese frosting (my husband makes yogurt so he made me some yogurt cheese)     Thanks so much!! It looks so good, I&#39;m sure it&#39;ll taste amazing. God is so good.",D,2020-05-09T14:03:28Z,5
God is good!,Kingskidzzz,2020-09-29T23:25:41Z,2
Thank you!!,lordiluv,2020-05-08T12:01:40Z,0
How many calories?,kycam8 .Q.,2020-05-06T14:59:28Z,0
I had most of these items so I substituted some of the items. :),freya griffiths,2020-04-22T00:41:54Z,1
It&#39;s very tasty,Nimmy George,2020-04-19T11:02:21Z,1
Wjy don&#39;t you say the measurements?,Myrsini Kasimati,2020-04-18T15:55:42Z,0
This cake came out so moist and good! Thank you 😊,Clola7 Tore,2020-04-17T21:54:26Z,3
Where is this hand mixer from????,Claudia Anne,2020-04-17T18:30:28Z,0
How can I substitute spelt flour.<br />Will buchwheat work 🤔,Shireen Saira,2020-04-08T19:11:37Z,0
"You can use any flour, whole wheat will work fine too.",Aq S,2020-08-19T04:35:19Z,0
"Ohh... My Goddd!! <br />What a delicious recipe 🤩!!<br />Firstly, I would like to thank you for sharing all these amazing ideas with us! And also, I would like to ask you, if I can replace the applesauce with something else(such as... a smashed banana?) <br />Wish you a lovely day!!!!!",J. P M. A. T,2020-04-07T08:54:54Z,6
This looks delicious. I cannot see the actual measurements...,Miryan Nogueira,2020-03-29T20:27:15Z,2
But... how much of each ingredient?,Nastia Elena Toribio Iouchtchenkova,2020-03-26T04:14:15Z,0
"I think cake will be more soft if blender boiled carrot before put it in dough. Although it’s depends on person , good receipt )",IN FIT,2020-03-18T14:49:00Z,0
Can i use buttermilk,Carman Carras,2020-02-23T01:04:52Z,0
athlean x,John Marston,2020-01-16T15:14:19Z,1
