comment,id,date,num_likes
You’re so blessed to still have your mom alive. I miss mine. She died when I was only 23 in 1997. she didn’t even meet my kids who are now 17 and 10,ivi122,2020-03-03T21:00:11Z,0
More videos with your mom.,ivi122,2020-03-02T23:32:18Z,0
What mic do you have? It’s so crisp and clear!,Natalie's Life,2019-07-02T22:51:35Z,0
"I didn’t know until this very moment that Matt was 6 years older than you lol would have never guessed, her answer was so cute 🥰",Shaneska Melendez,2019-05-21T02:21:34Z,0
She’s so freaking cute!!!!!,Shaneska Melendez,2019-05-21T02:14:58Z,0
I want alllllll the food 😭😭😭😭 looks so good!,Shaneska Melendez,2019-05-21T02:08:18Z,0
Your mom is me answer questions lol neutral about everything and no favorites lol i wonder is she’s a Sag?,Shaneska Melendez,2019-05-21T01:56:24Z,0
"I like the idea someone else left. Please, do a video where you and your mum cook Portugese food. Bacalhau à bras (sp ?), for example. Not the healthiest dish, but still soooooo good!",Wicked Karma,2019-05-17T12:38:57Z,0
Loved hearing your Mum’s experiences and sharing how she grew up etc. <br />love from Australia 🌸🌸,andreamoboe,2019-05-12T12:49:14Z,2
Please do a video with your mum and make 3 Portuguese plates 😍,ΜΑΡ ΚΩΝ,2019-05-12T09:51:50Z,0
i love this!,Lisa Brooks,2019-05-12T06:33:12Z,0
"I totally think you should do once a week mukbangs with your mom, matt, chloe...it would be awesome to see those more often.  My only criticism is to not have any music playing in the background.  It&#39;s easier to hear the conversation and just focus on the two of you without the distraction.  Well, to be fair, most mukbangs don&#39;t have music anyway.  Still a great video regardless and hope you get to do more.  I love the questions... :D",healthyeatingalways,2019-05-12T01:19:08Z,1
"I&#39;m kinda sad your mom didn&#39;t have a mic as well, because it&#39;s really hard hearing what she was saying from time to time.. But I like this video and your mom is soo sweet ☺️",Ingridlosneslokken,2019-05-11T14:38:08Z,0
I enjoyed your mom. She&#39;s sweet and funny,Claudia Badia,2019-05-11T01:15:59Z,0
This video is great!! Love getting to know you better and also being introduced to your Mom!! It is obvious you two have a great relationship!🙂,Lydia Thornton,2019-05-10T22:40:47Z,0
Lovely lucky u got Moms love till now.beautiful mom and adorable mom.,Harshita Rattann,2019-05-10T02:42:54Z,0
Your mom is so cute 💖 Happy Mother’s Day to your mom I hope you have a wonderful day<br />Love this munkbang you both made me so hungry 🍣💜,Ciliawillia,2019-05-10T01:45:06Z,0
"Oh my goodness,  I LOVE your mom! When she said 4 kids was enough she didn&#39;t want animals... I can completely agree (I have 4 kids and no animals). When she said it wouldn&#39;t matter what she thought about your certain life choices... I have 2 older children and I completely agree. She is lovely! You seem to have a great relationship and that is beautiful.",Rebecca WifeOf1MotherOf4,2019-05-09T23:48:23Z,0
