comment,id,date,num_likes
Hi can I have the measurements?,Rr Dayandayan,2021-05-04T14:44:23Z,0
what if I&#39;m not having avocado oil what should I use,Yaw Frimpong,2019-10-16T03:37:27Z,0
Can I use normal flour?,G0at ch33s3,2019-08-31T16:21:12Z,0
I was wondering if you could use a different milk alternative for the &quot;buttermilk&quot;,Rebecca Puckett,2019-08-07T23:32:06Z,0
I can&#39;t find the video that you said you&#39;d link your can opener! Please help!,BratKatUzar,2019-06-07T02:06:10Z,0
Healthy cupcakes! I love it! They look delicious. I&#39;m definitely going to make these soon!,Anna L,2019-05-26T06:34:22Z,0
"<a href=""https://www.google.co.in/amp/s/food.ndtv.com/food-drinks/reasons-why-you-should-never-cook-honey-1696700%3Famp=1&amp;akamai-rum=off"">https://www.google.co.in/amp/s/food.ndtv.com/food-drinks/reasons-why-you-should-never-cook-honey-1696700%3famp=1&amp;akamai-rum=off</a>",Priyanka Kanhare,2019-05-25T18:03:40Z,0
You biting into food is my favorite part of your videos :D,Marissa Jenell,2019-05-24T15:07:35Z,2
Yummy!!,Sarah Forster,2019-05-23T07:57:47Z,0
🤤🤤🤤🤤🤤,Pidgey Tastic,2019-05-23T00:44:06Z,0
"Maybe canned coconut cream would work too? I hope so, that&#39;s what I have on hand.",Olivia,2019-05-22T17:45:34Z,0
Can&#39;t wait to try this cupcake!!!!!!,Love K,2019-05-22T05:12:43Z,0
Yumm!!,Erica Marie,2019-05-22T03:22:01Z,0
Anything healthy and sweet.. I&#39;m all over it!,Jessica Cunningham,2019-05-22T01:55:35Z,0
"You need a smooth edge can opener from The Pampered Chef! It&#39;s an awesome can opener that will never leave a sharp edge, hence the name &quot;smooth edge&quot;. It&#39;s a life saver! I sold PC products back in the day and have been using mine for at least 15 years. Yes, their products last that long. Love ya!",Bea M,2019-05-21T16:35:06Z,2
"Oooo, drop one off for me!",Sheila Perl,2019-05-21T14:25:36Z,0
"They look amazing, wow👌 Get well soon❤",Angelina S.,2019-05-21T14:14:48Z,1
Hi Nichole <br />Just a small suggestion: never use honey for baking... I mean honey should not be heated... it produces toxins!<br />Please check for self once....<br />Love all you videos and great work!!! 😊🙏🏼,Priyanka Kanhare,2019-05-21T12:00:31Z,0
"<a href=""https://grist.org/article/2009-10-28-heat-makes-honey-toxic-and-other-myths-of-the-hive/"">https://grist.org/article/2009-10-28-heat-makes-honey-toxic-and-other-myths-of-the-hive/</a>",Kalliste,2019-05-22T11:37:30Z,0
So sorry you cut yourself on the can. Pampered Chef sells a can opener that does not leave a sharp edge behind. Cannot wait to make these cupcakes!,Jennifer Martin,2019-05-21T11:30:06Z,0
Hi,Shereen agha,2019-05-21T06:23:25Z,0
Love this!!  I was wondering how you were going to do the frosting..yum!,A Real Kitchn,2019-05-21T04:29:34Z,0
"My name is Nicole and am battling with cold , <a href=""http://www.youtube.com/results?search_query=%23pin"">#pin</a> intended 🤪",vrinda manocha,2019-05-21T04:08:17Z,0
Girl you need to rethink your definition of easy!! 🤣🤣 easy means a few ingredients and a couple steps. This is like full on all day event haha 😅😅,Andrea Treviso,2019-05-21T02:47:58Z,3
I will for sure be trying this!!!’,Missy Lambie,2019-05-21T02:34:13Z,0
感觉好棒呀，肯定很好吃😋,安吉妈妈Angemom,2019-05-21T02:11:22Z,0
WOW! Just made these...they are amazing!!!,Sarah Bring,2019-05-21T01:44:51Z,0
These looks delicious! I love your channel! Keep cranking out the good content,Rachel Peterson,2019-05-21T01:44:46Z,0
"I love anything strawberry related! These look good ☺️ <a href=""http://www.youtube.com/results?search_query=%23healthnutfam"">#healthnutfam</a> 🥑🥑🥑",Sarah Ford,2019-05-21T01:44:05Z,0
Those look amazing!!! I hope you feel better soon! ❤❤❤,Changing Our Hearts,2019-05-21T01:30:05Z,0
Loved the highlights!!! So much brighter and light!,Monica Levy Tavares,2019-05-21T00:25:15Z,0
Love this! Definitely gotta try this recipe! It looks SO GOOD!!!!,Jenni Campestrini,2019-05-21T00:23:22Z,0
Can i use almond flour?,Sarah The Maritime Keto Mom,2019-05-20T23:52:57Z,7
Strawberry 🍓 Cupcakes 🧁🙌🏼😋,Ciliawillia,2019-05-20T23:45:25Z,0
Yaaasssssss! I want some right now,Shaneska Melendez,2019-05-20T23:04:28Z,0
You have no idea for how long I have been waiting for this recipe whoooppiee 😍,shwetha gujaran,2019-05-20T23:01:08Z,0
