comment,id,date,num_likes
That small igloo one is perfect for day trips. My husband and I have one in a blue color and it keeps stuff cold forever,Danielle Dubois,2019-05-21T02:07:59Z,0
I moved to the states so missing Target isn&#39;t an issue anymore but it was so sad when they closed all their Canada stores. They apparently tried to expand too quickly and botched it or something. I like homesense tho as a Target replacement in Canada!,Leels Cooks,2019-05-20T12:55:38Z,1
Why don&#39;t you add dog parent apparel to your shop? We love Cashew💞,Ali Rios,2019-05-19T21:08:52Z,0
Oh cute...are there orbs in nature?  You&#39;re living on one! :-)),SuAn,2019-05-17T18:06:23Z,1
Love your shorts and T-shirt’s and doggy bag!,Sheila Perl,2019-05-17T00:05:53Z,1
I LOVE Target and I live in Mexico City! They don’t have chains here 😪😪,Marcela Nava,2019-05-16T23:11:11Z,0
Luv target hall!! Everything so spring &amp; very cute!!🙃,Barbara Mastny,2019-05-16T20:53:31Z,0
Cashew approved 🙌🏼<br />Yes let Cashew be on the 🛋🙌🏼😍,Ciliawillia,2019-05-16T20:02:22Z,1
Dogs should aloud on beds and couches,Ashley Nichole,2019-05-16T19:04:06Z,0
The &quot;I love my dog &amp; bed&quot; t-shirt is perfect. I was on a 2 week business trip.  After 1 week every day I said I love this place but u miss my dog &amp; bed. Keep dogs off furniture. Use a special blanket to train dog it&#39;s invited up on couch.,Laura May Belle,2019-05-16T18:26:46Z,0
Don&#39;t apologize for too much Cashew! There&#39;s no such thing 😂 I looove all the decor items you got.,Lucile LG,2019-05-16T17:41:29Z,0
"@HealthNut Nutrition I had a German Shepherd growing up. It&#39;s been 13 years since he passed away, but I still miss him and I have such happy memories 😊 Dogs really are our best friends, who never let us down or judge us.",Lucile LG,2019-05-16T18:30:26Z,0
"haha I can&#39;t get enough of her either, glad you agree!  🐾🐾",HealthNut Nutrition,2019-05-16T18:20:09Z,1
I’m so in love with Cashew! I’m surrounded by 3 of my dogs on the couch right now. 🥰,Gwen Frazier,2019-05-16T17:36:53Z,2
"Aweee!!! <a href=""http://www.youtube.com/results?search_query=%23dogmomlife"">#dogmomlife</a> ! 🐾",HealthNut Nutrition,2019-05-16T18:20:40Z,0
She will only get bigger so I wouldn’t let her on the couch. We have an 85lb golden lab mix and he has never gotten on the couch.,Lynn Thomas,2019-05-16T12:55:06Z,0
HealthNut Nutrition totally understand!!! 😍,Lynn Thomas,2019-05-17T16:23:38Z,0
