comment,id,date,num_likes
"<a href=""https://youtu.be/rHijYmL_ROs"">https://youtu.be/rHijYmL_ROs</a>",tastiest food recipes,2021-02-26T18:39:21Z,0
"<a href=""https://www.youtube.com/watch?v=cPh7pzxxr6o&amp;t=2m26s"">2:26</a>",Carl Wheezer,2021-01-12T21:32:41Z,0
so EASY,Erzy Nadhif Athalla,2020-10-19T12:18:13Z,0
"<a href=""https://www.youtube.com/watch?v=sw05HKLhAbU&amp;feature=youtu.be"">https://www.youtube.com/watch?v=sw05HKLhAbU&amp;feature=youtu.be</a><br /><br />breakfast toast simple idea.. subs and like",mintcheezey,2020-09-21T11:04:41Z,0
I need to try this,Winnie The Food,2020-09-02T08:53:28Z,0
"<a href=""https://www.youtube.com/watch?v=cPh7pzxxr6o&amp;t=2m35s"">2:35</a>",Rinka 222,2020-07-23T21:22:52Z,0
I had a really cool idea for making the smoothie myself! I didn’t have Greek yogurt at the time so I used coco butter spread! (Coconut jam),Animaluva4,2020-07-16T15:10:10Z,0
I try it  it’s delicious 😋 thanks a lot !!!,Diloram diliko,2020-07-06T04:41:11Z,0
I need this<br />My mom left me home alone with my younger brothers and they are tired of just pancakes and mixed eggs,LytzyBitzy Spider,2020-06-01T16:48:49Z,4
Cheese is not healthy I’ll dislike and I won’t keep watching 🙏 no hate ❤️,Havi,2020-05-25T10:42:43Z,2
Peace it is healthy depending on what quality cheese you use. I didn’t just get it from a random facts website..got it from a professional doctor.,angeli was not imposter,2020-05-28T10:01:38Z,1
"<a href=""https://www.youtube.com/watch?v=cPh7pzxxr6o&amp;t=2m50s"">2:50</a>",yeeun lee,2020-05-25T06:34:18Z,0
Yummy 😋😋😋😋🤪🙋‍♀️,Dunnia M,2020-04-24T21:16:50Z,0
Dude i cant even make half of these things BDJSDJSJJEJEHE,Hailey Acoba,2020-04-22T07:59:44Z,2
"Hello all .. Lockdown Special video.. 5 types of trending Dalgona coffee <br /><br /><a href=""https://www.youtube.com/watch?v=eMji_5gcieY"">https://www.youtube.com/watch?v=eMji_5gcieY</a>",ISHNEET SINGH,2020-04-06T07:54:58Z,0
pff this is not healthy at all..,randomggs,2020-03-28T06:50:30Z,0
Very impressive. Wonderful yet delicious concept video. Awesome job.,World Nature Video,2020-03-22T16:28:17Z,0
"These are real EASY recipes, compared to those that you need cook 5 minutes but use 10minutes to prep and 10 to wash everything 😂",Ms Marshmallow,2020-03-06T13:32:45Z,5
"&quot;Who says you can&#39;t have dessert for breakfast?&quot;<br /><br />Me, an avarege italian girl who can only eat sweet stuff for breakfast otherwise she&#39;ll get nauseous: ... well<br /><br /><br />(PS: we all eat sweet food for breakfast, those who eat salty stuff are an exception)",aeileen,2020-01-25T20:07:21Z,0
That last one is heart burn or indigestion waiting to happen.,Aminah Isra,2019-12-03T00:11:23Z,0
They all look really yummy 😋 <br /><br />Too bad I’d have to cook the vegetables just to eat it :(,BlaxeXD,2019-11-16T07:18:26Z,0
Do you make your own rye bread? :) do you ever freeze some?,Wonder Woman,2019-11-03T16:44:45Z,0
