comment,id,date,num_likes
This was one of those videos that you should have just kept in your head and not actually spoke. There&#39;s a reason why you&#39;re not a nutritionist or a doctor but instead a YouTuber 😂. You&#39;re a hypocrite in your own video lol. This was one disaster of a video so it must have been your idea.,FLOODOFSINS,2021-05-08T23:05:13Z,0
Tofu is great for a protein kick. Tear a chunk off and into the blender it goes,jasontau1,2021-05-08T04:15:01Z,0
"Your glass at <a href=""https://www.youtube.com/watch?v=gG9BXBb-tew&amp;t=8m30s"">8:30</a> is cracked",Jay,2021-05-05T05:19:48Z,0
You are Jewish,Reuben Atlantis,2021-05-04T12:20:17Z,0
Not scared of fruit cause of the sugar. SMH,Pamela H,2021-05-04T03:43:23Z,0
If any of you are struggling to find a plan or routine that works for you.. then I highly recommend the smoothie diet. @t,Alexander Prosser,2021-05-02T10:50:41Z,0
I’ve been using about 10 different fruits in one smoothie .. is that bad 😅,Josh Juju,2021-05-01T14:54:47Z,0
Maybe use a chilled green tea or herbal tea for the liquid??,"Crafts, Gliders and Things",2021-04-30T16:30:09Z,0
"GREAT FEEDBACK... MOST APPRECIATED!!!!!!!!!!!!!!!!!!!!!!<br>DON&#39;T FORGET THE &quot;SUPER&quot; OF ALL SUPERFOODS THAT HAS THE HIGHEST ANTIOXIDANT LEVELS OF ALL FOODS (I BELIEVE) TO FIGHT FREE RADICALS:<br>RAW CACAO POWDER!!!!!<br>EXPLANATION:<br>THE &quot;ORAC&quot; SCORE = MEASURES ANTIOXIDANT ACTIVITY IN THE FOOD.<br>THE HIGHER THE SCORE, THE BETTER THAT FOOD FIGHTS FREE RADICALS IN YOUR BODY.<br>* RAW CACAO POWDER = ORAC SCORE OF 95,500!<br>IN COMPARISON:<br>* KALE HAS ORAC SCORE OF ONLY 1,770!<br>* BROCCOLI HAS ORAC SCORE OF ONLY 890!<br><br>WOW!!!!!!!!!!!!!!!!!!!!!!<br>COMMON SENSE SAYS: <br>A LITTLE SCOOP OF RAW CACAO POWDER SHOULD BE IN EVERY SMOOTHIE!!<br>CHEERS!",Brad Bowen,2021-04-30T05:27:13Z,0
how about letting people make smoothies the way they like without labeling them as mistakes lol.,Athra A,2021-04-30T02:14:12Z,0
your dog cashew is nuts 😀,john yousaf,2021-04-29T18:11:39Z,0
How can I get the link 4 the recipes she&#39;s talking about,Ariez Bohanon,2021-04-29T08:09:14Z,0
I don&#39;t like protein powder so I just throw in a steak.  Cooked of course.,Shawn Mulberry,2021-04-28T17:43:03Z,0
"“i know not everyone can go out and buy a $600 blender, i get it.” 🤪",bootleg benny 301,2021-04-27T04:28:08Z,3
"Thanks, great video :-)",Anthony Lavelle,2021-04-26T04:02:31Z,0
Blah blah blah blah blah blah blah blah blah...,David's out door Adventures and fishing.,2021-04-22T03:38:19Z,0
What&#39;s wrong with nut milk?,Susan Creighton,2021-04-22T02:01:53Z,0
"Nicole, do you speak portuguese? 🥰🥰 love your videos",Ana Luiza Flausino,2021-04-21T21:39:34Z,0
Nice <b>***</b> :),Georgi Kostov,2021-04-21T13:40:52Z,0
I agree with d milk things since it&#39;s about health,Rich Henry,2021-04-18T18:07:41Z,0
i&#39;d rather use plain water than using milk form my smoothies,Bleu Beltran,2021-04-18T07:53:41Z,0
i&#39;d rather use plain water than using milk form my smoothies,Bleu Beltran,2021-04-18T07:53:19Z,0
"I&#39;ll add whatever I want, SORRY your full of smoothie, too serious ADD WHATEVER MAKES YOU HAPPY DON&#39;T LISTEN TO KAREN!🤣🤣🤣🤣🤣👎👎👎👎👎",Ed Eddie,2021-04-17T05:38:02Z,0
i made it through 2 mins 18 seconds   had enough.  next,Paul Bissonnette,2021-04-15T12:17:05Z,0
"Terrific video, just starting to try smoothies myself and found this a good starting point, also subbed because I like Dogs too :)",James Conrey,2021-04-15T08:36:40Z,0
All of y’all complaining about not being able to put a lot of fruits into your smoothies better check your A1C   you’re probably diabetics.<br>This girl has some great info never thought of adding cauliflower or zucchini to my smoothie. But that dog scene yuck...,Carlos Santana,2021-04-13T21:39:25Z,1
Thought you would mention a raw egg in your smoothie.<br>Would like to know if that is a good thing to put in with my greens and protein powder.,millinutz,2021-04-12T18:47:27Z,0
"Love you and your smoothies, a correct guideline to prepare.",Ashok Khare,2021-04-12T02:35:51Z,0
I dont like to use blocks in my smoothie. I rather use frozen fruits,Cynobasrecipes,2021-04-10T16:34:03Z,0
Nice tips dear,Cynobasrecipes,2021-04-10T16:33:28Z,0
Too much fruit? It&#39;s a fruit smoothie.,Charles Ware,2021-04-07T02:28:14Z,1
Thanks Great information!,Mar-Lin Austell,2021-04-05T10:59:25Z,0
Mistake number one mentioned in the video that would like to clarify. Do not mix fruits and vegetables in one smoothie together. Different digestion process and fruits fermentation due to the vegetables presence.,JK,2021-04-05T07:10:45Z,0
Yes a fruit free smoothie!,Kathleen Reyes,2021-04-02T18:07:27Z,0
Thank you for sharing your experience! Adding the protein was my favorite tip.,Kathleen Reyes,2021-04-02T18:07:00Z,0
What’s with people and not coming to the point straightaway.,Kanwar Deep,2021-04-01T09:50:33Z,0
Send me the guide,Lorna Smith,2021-03-30T13:13:11Z,0
Thank you,Lorna Smith,2021-03-30T13:12:05Z,0
"I was making most of the mistakes, too much fruit and milk and it becomes too sweet and not adding any veggies  or protein and I was wondering why it doesn&#39;t taste as I want. Imma take your advice starting today 😁thank you",Mayar f,2021-03-29T05:08:35Z,0
I don&#39;t make mistakes 😎,Junk Bond Trader,2021-03-28T21:37:17Z,0
You don&#39;t need to peel the ginger?,Mark Pemberton,2021-03-28T14:36:27Z,0
"I tried a green smoothie and I didn&#39;t care for it. I put a half banana in every smoothie. I can use the potassium. I have a smoothie at night before bedtime because I get hungry then. In the morning I grab a hard boiled egg and a piece of fruit. I can toss that in my purse and eat it at the bus stop. I gather some freezer bags together and I put a half banana in each bag. Then I cut up some fresh fruit--apples, pears, mangos, pineapple and place some in each bag. Then I buy a couple frozen berry bags--black, blue, raspberries, mixed berries and I put some frozen berries in each bag. I seal up the bags and put the in the freezer. I have a variety and I only put the label &quot;smoothie&quot; on them and I don&#39;t know what smoothie I have until I have it. When I want one I grab one of my bags and toss it in my blender. I add a 1/3 cup of powdered non fat milk (my protein) and some ice cubes. I might add a serving of a canned fruit and a little juice from the can. If I remember I toss in some flaxseed and I run the blender and I have a thick smoothie. I make up the bags periodically and they are there in the freezer waiting for me. At one time I used artificial sweetener and then I decided a teaspoon of sugar wouldn&#39;t hurt because it only had 15 calories. Now I don&#39;t use any sweetener or sugar at all.",Mona Biehl,2021-03-27T20:47:18Z,0
Thanks for this,The Lisa Dee Delights Show,2021-03-26T15:24:36Z,0
I just stopped the video no offense but She comes across as a Smoothie Guru.... It&#39;s what you like to use and make it to your taste I am not adding veggies to my smoothies.... I am Diabetic type 2 there are fruits that have a high GI and low GI&#39;s just stay away from the high ones all together .... my numbers do not spike from fruits that are low GI&#39;s,Tonya Renee',2021-03-19T11:13:40Z,0
"Oh yeah people watch out the oxilates in raw spinach, they bind to minerals equalling in inhibiting absorbtion.",Charlie Glew,2021-03-19T03:56:14Z,0
Oh man I just got that annoying feeling when a dog starts eating your food 🤨😏😆,Charlie Glew,2021-03-19T03:54:54Z,0
I&#39;m sorry<br>Good advice for smoothies however you&#39;re dragging get to the point,Gavino Guzman,2021-03-18T10:33:50Z,0
Wow amazing,Vee Tee48,2021-03-16T01:28:07Z,0
"the music introduced, what is it?",Henry Harris,2021-03-12T16:28:08Z,0
try a red beet smoothie.,gp johnson,2021-03-11T05:29:46Z,0
Yeah its mistake  when u combine so many fruit or veggies together <br>Because of this chemical reaction happens in the body which turned out health issues after few years,Nav Kaler,2021-03-09T07:31:35Z,0
Hello..are watermelon smoothies ok?,Tamara Singleton,2021-03-07T15:32:39Z,0
"<a href=""https://youtu.be/wHFDeW0sd2E"">https://youtu.be/wHFDeW0sd2E</a> healthy smoothie for breakfast or as a snack",Yous Lifestyle,2021-03-04T16:40:02Z,0
Banana-free smoothie please!,Magalie Couture,2021-03-02T00:38:23Z,0
"It is not free, it costs my email. Nothing is free my darling.",Zulma Barreda,2021-03-01T03:16:48Z,0
You can&#39;t actually make a mistake on a smoothie,poppy rose,2021-02-25T04:55:25Z,1
You can,F A,2021-03-29T14:34:26Z,0
It&#39;s hard to believe green smoothies can taste good. I&#39;ll just make sabzi out of green veggies and eat with roti and salad.,Unfiltered,2021-02-24T06:19:00Z,0
"I would say luck of knowing for some people! I LOVE IT, THANK YOU FOR SHARING!",Ruhama Dade,2021-02-22T01:47:37Z,0
"Can u make a video of healthy smoothes thats are dairy free, gluten free and diabetic friendly so not tons of sugar or carbs",Kaitlyn leonardson,2021-02-19T06:29:00Z,0
"I like how so many of these go on and on as if it&#39;s all about the nutrients and never mention that everyone needs to pay attention to what nutrients they need. The rest of your diet is a factor. The short version is, if you are using this for a health supplement, put in things that you need to supplement, and hold your nose and chug it. If you want something that tastes great, find some good recipes and experiment. If you want a good middle ground, find good recipes that contain what you need to supplement. Pretty simple. I personally feel like it&#39;s a good idea to mix it up a little too though. That&#39;s just a feeling I have and I am not a nutritionist.",Harley Burton,2021-02-19T02:13:35Z,0
omg you look like Sandra Bullock!!,A pm,2021-02-16T08:20:44Z,0
These don’t seem like mistakes lol,Darion Wilson,2021-02-15T14:29:06Z,0
Cauliflower n zucchini watttttt.....,sabiha B,2021-02-14T00:26:09Z,0
"It feels so pathetic to see these kind of misleading videos which shows some of the worst food combinations which are no less than a hazard to the gut health. mixing milk with greens, bananas with dairy milk are some of the examples of worst food combinations.  Before getting influenced with such kind of videos , please read about food combinations",akshita aggarwal,2021-02-13T05:26:25Z,0
Tell me more pls,F A,2021-03-29T14:35:41Z,0
"Coconut water. Is the best for green smoothies not milk , almond milk for fruit smoothies",Stephen Purkess,2021-02-10T09:18:17Z,0
Do we have to put the dog through the blender?  🙄,Elephant man,2021-02-10T02:19:21Z,0
I feel like if you&#39;re the smoothie queen then you shouldn&#39;t say you&#39;re not a professional etc. You could have said based on your experiences these are your smoothie preferences,Krista Woods,2021-02-08T12:14:02Z,0
"I do feel like i may use too much fruit in mine - i&#39;ll take that away and tweak my regular recipe a bit accordingly thanks. I&#39;m so lazy i just do a block of frozen spinach (it&#39;s a &#39;portion&#39;), a big handful of kale, 1 &#39;funsize&#39; red apple, 1 &#39;funsize&#39; conference pear and 1 funsize banana. I never use milk of any kind, just distilled water and i haven&#39;t put fats in for ages (i may look into reintroducing those). I do &#39;seed cycling&#39; because i&#39;m getting to that age, so 2 weeks i have milled linseed and pumpkin seeds and the other 2 weeks i have sunflower &amp; seseme seeds. I love this smoothy and could happily just have it every day.",Sorscha 1,2021-02-05T20:37:22Z,0
you&#39;re very cute and skinny.<br>anyways i love smoothies i tried to eat mostly green vegetables but it&#39;s a little harder any tips?,Rotten Soul,2021-02-05T19:24:02Z,0
"Smoothies are meant to be healthy, thats why she is right.",beautyspotty,2021-02-05T12:35:34Z,0
I need more Cashew in my life. 🐶,SchuyFit - Men's Weight Loss,2021-02-05T00:07:44Z,0
Waste of my time.,Sowmya S,2021-02-03T19:24:51Z,0
Talk to much,Va'a Aviu,2021-02-02T20:07:00Z,0
"I feel like most of these are preferences, not mistakes. No one is buying a $400 blender for a smoothie.",TammTamz,2021-02-01T18:44:27Z,0
Just eat a bowl of salad please .... You really don&#39;t need to drink vegetables with lime juice .... And always add too much of fruit in your smoothie 😉,Khushboo Shah,2021-01-29T20:20:27Z,0
"These are your subjective opinions , thanks as I dont make them often so thanks for those ideas of which I havent thought about..",Pug Ninja,2021-01-28T15:06:22Z,0
"Not true, there are no mistake. Everyone preferences are not the same. I don&#39;t have time to follow recipes to the T where I use whatever I have in the kitchen rather than spend money on 5-8 ingredients.",Lona Smit,2021-01-27T11:05:34Z,0
I was expecting some scientific/ nutrition based information. Its more personal preference than “mistake” 😅😅😅😅,D H,2021-01-21T04:15:21Z,0
Yup. I added 2 bananas &amp; 1 small apple  which I thought was okay and also kale spinach cucumber and the fruit ruined it !! I was like are u serious I didn’t drink it smh,RealLove 97,2021-01-18T17:36:12Z,0
"Did anyone notice the cracked glass at <a href=""https://www.youtube.com/watch?v=gG9BXBb-tew&amp;t=8m30s"">8:30</a>?",Michael Harrison,2021-01-17T06:31:22Z,1
"These are not mistakes, people make smoothies according to their tastes / preferences!",Raj Base,2021-01-15T22:36:25Z,5
"There are no mistakes to making smoothies, not everything has to be a certain way it’s down to preference, I don’t like my smoothies super thick so I don’t freeze all of my fruit, people like different stuff, you aren’t anyone to say people are making ‘mistakes’.",Lemons44,2021-01-14T18:07:40Z,0
What about Irish Sea Moss?,Marcus Lang,2021-01-13T06:29:26Z,0
How about that! I&#39;m a noob and I seem to be batting 1000.<br>I also juice a pound of kale along with carrots and celery. I use 16 ounces of this juice in the blender instead of another liquid.,Michael Schmitt,2021-01-12T04:39:44Z,0
Honesty honey has heathy nutrients that good for your body .,Empress Space,2021-01-10T19:49:03Z,1
Kale is high in protein,Aleksa Méndez,2021-01-10T10:52:45Z,0
"Sprouted lentils and other sprouts add extra nutrients over unsprouted. Same with various other sprouts. <br>Sprouting enhances nutrients considerably, and lowers anti-nutrients.",Vive Viveka,2021-01-06T00:29:45Z,0
Frozen peas add whole-food protein.,Vive Viveka,2021-01-06T00:27:39Z,0
Frozen berries are a good addition.,Vive Viveka,2021-01-06T00:27:01Z,0
"Purple cabbage is a good, nutritious smoothie ingredient. Very mild. Blends in.",Vive Viveka,2021-01-06T00:24:15Z,0
Shaved frozen smoothies can be very similar to ice cream.,Vive Viveka,2021-01-06T00:23:25Z,0
🙄,marshflower87,2021-01-04T21:49:32Z,0
You get the protein you need and better quality if you eat human food,Andrew Gartner,2021-01-02T20:25:34Z,0
"Because I eat only 2 meals a day my breakfast smoothie has 500-600 cals. I include oats, tofu for protein or beans, kale or spinach, 3 dif. frozen fruits, frozen cauliflower and flax, and water. Sometimes cacao",Jeanne Amato,2021-01-02T18:28:48Z,0
Ginger an turmeric are good for diffrent things . It depends what ur tryan to achieve.,black wolf out doors by abel garza,2021-01-02T15:12:50Z,0
My smoothies are full of foam.  What&#39;s that about?,blackmownkey,2021-01-01T16:33:36Z,0
Could be too much spinach to the ratio of other ingredients or just too much air getting into it depending on the blender,HealthNut Nutrition,2021-01-01T19:27:58Z,0
$700 blender? even making $30/hr... that&#39;s too rich for my blood.,littlejoetejano,2020-12-31T16:37:15Z,0
Pl give info  in writing . Your accent is not clear,V K,2020-12-30T04:06:40Z,0
13 minutes for smth that couldve been 5 sentences,Satan,2020-12-30T00:07:19Z,0
"Excellent presentation!  I am a nutritionist/health coach.  It is easy to overdo the fruits.  A combination of healthy fats, protein and carbohydrates is best.  Avocado is technically a fruit and can be used as such without adding sugar.",Norah Schwartz,2020-12-29T06:44:00Z,0
"<a href=""https://www.youtube.com/watch?v=gG9BXBb-tew&amp;t=0m15s"">0:15</a> now THAT is what I call a mistake",Red Ninja,2020-12-24T03:32:40Z,0
"Sorry, bad info im afraid.",WATP,2020-12-24T00:45:08Z,0
I have always thought that dieting is eating only green vegetables and drinking water. <b>Agoge Diet</b> proved me wrong. I am eating delicious and nutritionally rich food and still reaching my fitness goals.,Azle creation,2020-12-22T05:37:19Z,0
"About the too much fruit thing, she’s more talking about that you should balance with vegetables so that you don’t have too much sugar. It’s about the health and she even said to take as much of this video as you want<br /><br />These are more tips for healthy smoothies than mistakes. Also the blender thing is really true, don’t get a shitty $10 blender. My mom got me one and it couldn’t blend shit",Cragonos Kritirea,2020-12-21T22:30:25Z,0
"I&#39;m thinking of starting to use protein powder ,but what should the safe amount of sugar realistically be on the back of protein powder then?:)",Linda Viljoen,2020-12-21T18:41:57Z,0
Thats awesome I use half and half cream for mine too!,Devin Michael Roberts,2020-12-21T16:00:23Z,0
"&quot;filtered&quot; water. XD<br />Ok, I see who were dealing with.",Sir.Craze-,2020-12-21T12:55:15Z,3
Worried about the water while the dog licks the bowl🙄😂,Be Blessed,2021-01-24T22:52:31Z,1
