comment,id,date,num_likes
Same I’m so happy to see fellow Canadian on YouTube,Amanda Dunbar,2021-04-28T18:11:49Z,0
The tops of fennel are called the fronds 😊 love your videos!,Robyn Williams,2020-02-13T11:07:25Z,0
"Hello Nicole! We sometimes take for granted what we have available, groceries in Canada are super expensive! Just for an example in my country a Papaya (the export kind) is only US$2, a mango $ 0.65 the only thing pricey here is the asparagus, we have availability of fruits almost all year round, only mango are seasonal here... but the rest of the fruits are always available.. Thank  you for sharing, from Guatemala.. Michelle",Michelle Paz,2019-07-18T14:50:52Z,0
"Do most people chop up/grate ginger with the skin on? Sorry if it&#39;s a dumb question. I&#39;ve just started really using ginger in my cooking/dressings. And I&#39;ve been peeling it with my hands/fingers hahaha I mean, I could also make life easier on myself by just buying a peeler...but just wondering if I shouldn&#39;t even worry about the skin at all!",Amy Routt,2019-06-10T21:32:27Z,0
"Hi Nikole, can you perhaps tell me how to roast veggies in an Airfryer please?",Marieke,2019-06-10T21:05:27Z,0
would love the 3 ingredient snack video!!! Also maybe some salad dressings with Tahini would be super interesting,katherine quinn,2019-06-09T14:51:28Z,1
You can get your groceries for less than that. Food basics or no frills is half that. Five bucks for carrots is way way too much.,mary sibb,2019-06-07T04:25:08Z,0
Its shocking how in India here you can get double the quantity of these for less than $10. All organic and Fresh.,babita modi,2019-06-01T16:10:52Z,0
"Yes, egg plant recipes, please😁😁😁",Agnes Williams,2019-05-31T22:01:36Z,0
I love watermelon! It’s so refreshing and I sprinkle it with sea salt lol I’m Mexican so we eat it with all this junk but the sea salt works lol,Janette Garcia,2019-05-31T06:08:03Z,1
Sliced radishes on a piece of buttered crusty bread with a pinch of salt - yummy!,Nancy Cowan,2019-05-30T22:20:40Z,0
"I love Zehrs (Loblaws) too.  They have an amazing selection of fresh fruits and vegetables and a huge organic department.  In Windsor, Ontario we call soda drinks &quot;pop&quot;.  Love your channel.",Bon River,2019-05-30T16:22:31Z,1
quinoa lunch/dinner ideas please,D V,2019-05-30T15:43:12Z,1
The cottage cheese and cucumbers with everything but the bagel seasoning,jessica sanders,2019-05-30T13:26:33Z,0
oh yumm 😍,HealthNut Nutrition,2019-05-30T20:33:13Z,0
If you peel radishes they loose their peppery taste. Please try and say if you like it.,Lilian bratt,2019-05-30T01:41:58Z,0
I&#39;m guessing the new smart sweets is peach rings 🥑,Mitzyfan,2019-05-30T01:37:14Z,1
