comment,id,date,num_likes
I never buy stuff that I sample haha,Lauren Rush,2019-09-26T17:12:31Z,0
Are these actually healthy tho...,Anne Rose,2019-09-01T13:36:59Z,0
another oblivious female that picked up unhealthy food.,Living In The Barrio,2019-07-03T00:54:20Z,0
"Hi Nikole, just started a trader joes channel, come and say hi. Have a nice day.😀",Marie's Life,2019-05-29T20:14:27Z,0
Love your channel! That cheese is pronounced: Co-Ti-Ha. Can’t wait for the next video!,Carly Sipos,2019-05-22T23:12:55Z,2
the chicken balti pie is 700 calories for each...not very healthy,Roe b,2019-04-17T20:36:19Z,0
"TJs. Is awesome, no matter what your diet needs are, they have a health alternative, and some mainstream items as well",Michelle Branch,2019-03-19T12:39:18Z,1
You are great but look up new words online they have recordings of how words are pronounced,Michelle Branch,2019-03-19T12:38:11Z,0
My Trader Joe’s &amp; Whole Foods is 1 1/2 hr drive but I’m getting a group together to go soon and shop at a better quality store.,Snap,2019-03-15T05:25:54Z,0
The miyokos vegan butter is the best butter I’ve ever had (even compared to really dairy options.),Alex McGinness,2019-03-12T20:30:52Z,0
The jalapeño lime almond dip is sooo good!!!,Mattee Thomas,2019-03-12T06:52:09Z,0
"Do you know a nut butter without added oil and sugar?  Other than pb, I love the powdered",Paula Reilly,2019-03-11T13:15:23Z,0
You need to talk less and get to the point,Ashley Schweikardt,2019-03-11T06:42:51Z,1
This is a very random question hahahah but what political party do you affiliate with?,Jessie Crabtree,2019-03-11T05:53:00Z,0
How much was it all? My budget is $100/week,Amy Skillicorn,2019-03-11T04:56:37Z,0
"There is sooo much sodium in each serving of those frozen convenience meals. Thats like almost all your suggested sodium intake for the whole day, in one food package. It&#39;s not good to be eating those salty prepared foods. If you prepare it yourself you control the salt added.",Jessica,2019-03-04T18:32:46Z,0
Girrrrl did you say &quot;boughten&quot;??,night_owl7,2019-03-04T06:07:12Z,2
yesss recipe for a healthier French onion soup!! yum,Kayla Wedge,2019-02-27T02:00:25Z,1
"AçaÍÍÍÍÍÍ, Portuguese from Brazil",Katie Anderson,2019-02-25T20:00:23Z,0
I love French onion soup,Weigt Junction Alaska,2019-02-24T19:48:57Z,0
I make my garlic aioli yes on my salads and spreads for burgers and sandwiches.,Sara Cruze,2019-02-23T10:47:53Z,1
