comment,id,date,num_likes
Yay! Commenting is now allowed. Comment away friends. Looking forward to hearing from you. Xoxo,Kristen & Siya,2020-03-23T21:14:30Z,7
"Thx Kristen! Xoxo! <a href=""http://www.youtube.com/results?search_query=%23kristen"">#kristen</a>&amp;siya <a href=""http://www.youtube.com/results?search_query=%23youtube"">#youtube</a> <a href=""http://www.youtube.com/results?search_query=%23travel"">#travel</a> <a href=""http://www.youtube.com/results?search_query=%23coronavirus"">#coronavirus</a> <a href=""http://www.youtube.com/results?search_query=%23covid19"">#covid19</a> <a href=""http://www.youtube.com/results?search_query=%23flu"">#flu</a> <a href=""http://www.youtube.com/results?search_query=%23pandemic"">#pandemic</a> <a href=""http://www.youtube.com/results?search_query=%23IsItSafeToTravelRightNow"">#IsItSafeToTravelRightNow</a> <a href=""http://www.youtube.com/results?search_query=%232020GlobalCrisis"">#2020GlobalCrisis</a> <a href=""http://www.youtube.com/results?search_query=%23GlobalCrisis"">#GlobalCrisis</a> <a href=""http://www.youtube.com/results?search_query=%23CDC"">#CDC</a> <a href=""http://www.youtube.com/results?search_query=%23WHO"">#WHO</a> <a href=""http://www.youtube.com/results?search_query=%23stayhome"">#stayhome</a> <a href=""http://www.youtube.com/results?search_query=%23kristensarah"">#kristensarah</a>",Trini M Orea,2020-03-23T23:49:07Z,0
Eat Prey Love is my favourite non-fiction/travel book! On my 2nd copy because I wore out the 1st! 🙌,Laura Loves Nature,2021-01-12T15:51:47Z,0
"As you know, I&#39;ve been editing my old photos. Though I&#39;ve been stuck on 2018 for ages since that&#39;s when I started traveling. It&#39;s hard to be objective for quality when it all tugs at the memory heartstrings :)",ADragonAmongRoses,2020-05-18T03:19:10Z,0
That zoom in on your face when you mention your own blog literally had me laughing out loud! Thanks for giving me some travel thoughts in my quarantine.,Braggworthy Adventures,2020-04-09T01:59:11Z,3
Hi I think you love our Indian culture...🇮🇳🤔☺️,Vidit,2020-04-01T08:37:10Z,0
I absolutely do,Kristen & Siya,2020-04-02T13:33:37Z,0
Awesome video! I had 3 trips planned for 2020 and they are all cancelled 😞,libevime,2020-03-29T18:10:42Z,0
"Another tip: Watch Slow TV!! <br /><br />There are a bunch of good quality slow tv videos on YouTube. You can go on a train ride through the Swiss Mountains, a boat ride through the English Canals, or walk through the Streets of Japan!  <br /><br />Get a feel for the places you want to travel to and feel calmer at the same time.",Lyndsie Plowman,2020-03-26T04:46:45Z,0
I really enjoyed watching this video. It brought a smile to my face and cheered me up on this stressful day. Thanks for all that you do.,Temmie Taft,2020-03-26T00:32:01Z,2
This makes me so happy to hear. I love being able to make you smile. Sending u a big virtual hug. Xo,Kristen & Siya,2020-03-26T03:49:41Z,0
I look at travel photos on an old tv I mounted on a wall in my den.  Insert a usb stick with photos and enjoy!,Susan Stevenson,2020-03-25T18:14:45Z,0
"This is the video I needed! Since being in isolation I&#39;ve started working on my travel/tefl blog... it&#39;s still a work in progress but please have a look if you have time! I would love the support from the traveling community: <a href=""http://ambersdestinology.com/"">http://ambersdestinology.com/</a> . <br /><br />p.s. definitely going to download Shantaram and Holy Cow onto my kindle now :)",Amber L,2020-03-25T06:35:54Z,0
this is such a helpful video because im already going crazy quarantining myself.. thank you so much kristen &lt;3,mindheartJamsoul,2020-03-25T02:52:13Z,0
You&#39;re very welcome. I hope it fulfills that Wanderlust for you...at least for a short while :),Kristen & Siya,2020-03-26T03:50:54Z,1
I am living for your clothing in this video 🙌🏻👏🏻,An Adventurous Ginger,2020-03-24T22:36:10Z,2
Thanks! Its my fav sweater right now. From Urban Outfitters,Kristen & Siya,2020-03-26T03:51:21Z,0
These are such good tips. I&#39;m going to share them with our followers. Thanks for sharing this!,The City and Beyond,2020-03-24T22:17:27Z,0
Thank you for sharing!!! Glad you like them,Kristen & Siya,2020-03-26T03:51:41Z,0
Thanks for all the tips! Definitely going to go through my travel photos and I’m going to read at least two of the books you recommend!,Marjie Cleveland,2020-03-24T19:10:22Z,0
"Kristen &amp; Siya Holy Cow, and Eat Pray Love.",Marjie Cleveland,2020-03-26T10:53:47Z,0
Yesss! Which ones?,Kristen & Siya,2020-03-26T03:51:58Z,0
"Hay, i like you&#39;r chanel from morroco",Souhail Faouzi,2020-03-24T18:16:21Z,0
"@Kristen &amp; Siya I hope that everyone in the world stays healthy and safe, thank u",Souhail Faouzi,2020-03-26T11:09:36Z,0
Heyyy! Hope you&#39;re staying healthy and safe over there.,Kristen & Siya,2020-03-26T03:52:21Z,1
"If you&#39;re allowed outdoors, you can go to local parks and hiking locations. If takeout or delivery is possible where you live you can explore your local cuisine. Culture exists everywhere, not just in distant lands.",EpicPseudonym,2020-03-24T16:26:12Z,9
Great tips! We just retired and had a bunch of trips planned...all cancelled except for Ireland in June...fingers crossed! Take care and thanks for sharing your ideas!,Travel with NJ Steve,2020-03-24T13:32:32Z,0
You&#39;re welcome. Fingers crossed your trip can still happen in June.,Kristen & Siya,2020-03-26T03:52:57Z,1
Simple but so true. I might deep further and keep learning German :),Vicky Gélineau,2020-03-24T12:41:28Z,0
YES!!! I LOVE THE ALCHEMIST!!,Michelle Pascual,2020-03-23T23:49:51Z,0
So goooood! Ive read some of his other books too. 11 minutes is great as well.,Kristen & Siya,2020-03-23T23:51:08Z,0
"<a href=""http://www.youtube.com/results?search_query=%23kristen"">#kristen</a>&amp;siya <a href=""http://www.youtube.com/results?search_query=%23youtube"">#youtube</a> <a href=""http://www.youtube.com/results?search_query=%23travel"">#travel</a> <a href=""http://www.youtube.com/results?search_query=%23coronavirus"">#coronavirus</a> <a href=""http://www.youtube.com/results?search_query=%23covid19"">#covid19</a> <a href=""http://www.youtube.com/results?search_query=%23flu"">#flu</a> <a href=""http://www.youtube.com/results?search_query=%23pandemic"">#pandemic</a> <a href=""http://www.youtube.com/results?search_query=%23IsItSafeToTravelRightNow"">#IsItSafeToTravelRightNow</a> <a href=""http://www.youtube.com/results?search_query=%232020GlobalCrisis"">#2020GlobalCrisis</a> <a href=""http://www.youtube.com/results?search_query=%23GlobalCrisis"">#GlobalCrisis</a> <a href=""http://www.youtube.com/results?search_query=%23CDC"">#CDC</a> <a href=""http://www.youtube.com/results?search_query=%23WHO"">#WHO</a> <a href=""http://www.youtube.com/results?search_query=%23stayhome"">#stayhome</a> <a href=""http://www.youtube.com/results?search_query=%23kristensarah"">#kristensarah</a>",Trini M Orea,2020-03-23T23:48:51Z,0
Love this. Needed this. Thank you!!,G,2020-03-23T23:37:37Z,2
You are very welcome! So nice to be making videos again. I feel very creative which I haven&#39;t in a while.,Kristen & Siya,2020-03-23T23:51:36Z,0
I have been going back and looking at my favorite youtube videos we have done!!! The places that make me laugh. Like tubing down the river in Helen Ga,Bill and Kelley Adventures,2020-03-23T23:04:18Z,0
Love it!!! We gotta go back and watch our oldies too,Kristen & Siya,2020-03-23T23:52:01Z,1
Great tips for the itchy feet xx,Travel Bug Bee,2020-03-23T22:52:16Z,2
"Great to hear from you kristen! Wishing you good health and safety to you, siya, and kai! Oh and atlas too, can&#39;t forget atlas :) why was the farmer kicked out of the gym? He was being too hard on his calves!",Lhouse810,2020-03-23T22:43:23Z,1
Thanks for the advice and also for staying so positive &amp; spreading positive vibes during this time!  ❤️👍,Rich & Sunny,2020-03-23T22:35:12Z,2
beautiful woman,Syahriansyah Bahran,2020-03-23T22:21:23Z,0
&quot;The Far Pavilions&quot; by M. M. Kaye<br />&quot;The Pillars of the Earth&quot; by Ken Follett,J. Joy,2020-03-23T21:48:49Z,1
"Thank you for being so inspiring! I love your videos and I love your style, those earrings are gorgeous.",Alanis_ theGiraffe,2020-03-23T21:36:39Z,2
