comment,id,date,num_likes
"Travel with us to Costa Rica later this year! Sign up here: <a href=""https://hopscotchtheglobe.com/costa-rica-group-trip/"">https://hopscotchtheglobe.com/costa-rica-group-trip/</a>",Kristen & Siya,2020-04-08T19:21:35Z,1
Bella gente bello trabajo,ANTONIO ESCOBAR,2021-02-11T20:15:23Z,0
Loved your video...as usual!,Unexpected Travel,2020-09-07T01:18:52Z,0
It&#39;s been a long  time since I&#39;ve watched any of yalls vids. Just remembering when the channel was called htg,Joseph Wright,2020-05-28T05:49:19Z,0
Awesome 😍😍👍👍,Muhammad Abubakar,2020-04-09T08:51:51Z,0
Why do i just hear about this??? I love you guys and i am an ecuatorian!😔 it would have been so amazing to meet you guys.,Cam,2020-04-09T06:35:02Z,0
What an awesome video! The amazon looks amazing? Where does a fish sleep? In a river bed!,Lhouse810,2020-04-09T03:10:41Z,0
Oh wow would of loved to visit Ecuador with you guys as my Family is from there. I have only visited Ecuador one time and have not visited nearly the places you show here. I’m glad you had a great time and hopefully could travel with you both in the near future. You guys seem a pair to definitely travel with,MissJayy,2020-04-09T02:25:09Z,0
"Omg! It brings back so many memories. It’s true, in reality, I’ve only spent 2 weeks with some of these people and they feel like family. HTG trips are so amazing! Can’t wait for Costa Rica.",Faby,2020-04-09T02:04:12Z,1
"I want to go to Spain even more now , thank covid 19",OHA,2020-04-09T01:31:12Z,1
"<a href=""https://youtu.be/xvM78rrQBVg"">https://youtu.be/xvM78rrQBVg</a><br />Mere koe bat bori lagi ho to plzz maaf krna plz watch till end plz",Ali khan vlogs,2020-04-08T22:58:28Z,0
This looks incredible! I&#39;m hoping for a July trip in the future (teacher here!) so I could join :),Nicole Sandretto,2020-04-08T22:51:18Z,0
We are on it! Got some exciting trips in the works for that time since we&#39;ve recieved many messages from other teachers too,Kristen & Siya,2020-04-08T23:58:58Z,0
🦎 Fantastic as usual Kristin and Siya. 💚💙,Meghan Lozada,2020-04-08T22:20:12Z,0
the dogs barking at the drone 😂,holisticmaya,2020-04-08T21:45:58Z,0
Kristen &amp; Siya omg I can imagine that!! Must’ve been such a hilarious moment,holisticmaya,2020-04-09T00:00:50Z,0
It was so funny! The whole village was laughing haha,Kristen & Siya,2020-04-08T23:59:26Z,1
Amazing trip! Thanks for sharing your video. I’m planning a trip thanks to Jason and Brittany,The Calvin Chronicles,2020-04-08T21:39:05Z,1
"When you were walking in the mud, I taught the noises was someone eating and I was grossed out. I would love to go to Costa Rica. One day I&#39;ll go places. <br />I love that you help out the community. That&#39;s my favourite part. Excited for part 2.",Danielle D,2020-04-08T21:32:33Z,0
@Kristen &amp; Siya ooh it&#39;s my pet peeve too! I would love to go this year but I just had a baby girl therefore funds are a bit tight and I don&#39;t think I&#39;ll be able to leave her side yet. Looking forward to seeing where you will be going next year!,Danielle D,2020-04-09T01:03:02Z,0
Hahahaha I would never do such a thing to you. Hearing people eat is my pet peave (Kristen). You should join us in Costa Rica this September. We&#39;ve put together an amazing trip.,Kristen & Siya,2020-04-08T21:45:38Z,1
🦎 amazing trip !!,Lindsey S,2020-04-08T21:30:04Z,0
Where was Kai? Did she go? Can&#39;t wait to travel with my toddler to the jungle!  Would love to join if you consider organizing family trips in the future!,Piscoandmartinis,2020-04-08T21:24:28Z,0
Wow beautiful ecuador  pls dear come to pakistan <br />Pakistan also have beautiful places to explore,Balochistan travels pakistan,2020-04-08T20:23:45Z,0
@Kristen &amp; Siya yes dear now i wachted your videos of our country thanks for visiting pakistan.. stay safe and have beautiful journeys in future,Balochistan travels pakistan,2020-04-08T20:58:09Z,0
Siya has been. Have you watched our videos from there?,Kristen & Siya,2020-04-08T20:34:18Z,0
Epic!!! I’m coming next time 🤘🏼,Emily Claire Daly,2020-04-08T20:14:19Z,0
Kristen &amp; Siya wow the itinerary (and Costa Rica in general) looks incredible! 😍,Emily Claire Daly,2020-04-08T20:43:31Z,0
"You should! You can sign up for our Costa Rica trip here: <a href=""https://hopscotchtheglobe.com/costa-rica-group-trip/"">https://hopscotchtheglobe.com/costa-rica-group-trip/</a>",Kristen & Siya,2020-04-08T20:42:17Z,1
Beautiful work!,A-Train Travels,2020-04-08T20:09:12Z,0
Thanks so much for watching.,Kristen & Siya,2020-04-08T20:33:51Z,0
"Wow, wow, wow! I swear your videos just keep getting better and better. We are so pumped for Costa Rica!",WorldWideWakleys,2020-04-08T20:04:07Z,1
COSTA RICAAAAA!! Pura vida bababayyyy,Kristen & Siya,2020-04-08T20:34:01Z,0
Come to India with Kai-kai ❣ cover the tropical part this time :) hopefully will get to meet the cutie❤ @kristen&amp;siya,Breezesphere,2020-04-08T20:03:28Z,2
@Kristen &amp; Siya ❤❤,Breezesphere,2020-04-08T20:38:04Z,0
I see a trip to India in our near future. Will always be one of the most special places for us.,Kristen & Siya,2020-04-08T20:33:20Z,2
I love what you guys do!,Natalie Rees,2020-04-08T20:02:38Z,4
&lt;3&lt;3 Would love to have you join us on one of our upcoming trips!,Kristen & Siya,2020-04-08T20:32:38Z,0
I loved watching all the instagram stories from this trip! So great to see more!! I&#39;m missing Ecuador so much right now ❤️,Lauren Aida,2020-04-08T19:46:57Z,2
@Kristen &amp; Siya Have you guys ever been up to Mindo? You would love it!,Lauren Aida,2020-04-08T21:42:26Z,0
I know me too. It&#39;s such a wonderful country. I&#39;ll def be going back soon.,Kristen & Siya,2020-04-08T20:32:11Z,2
Looks like blast. Thanks for sharing guys ✨🙏🏾,Shika Chica,2020-04-08T19:35:22Z,0
