comment,id,date,num_likes
Are you able to tell me the name of your wall paper from spoon flower?,Cynthia DragoneFox,2020-11-23T00:00:31Z,0
"Here you go: <a href=""https://www.spoonflower.com/en/fabric/8990447-almha-stripe-geo-ochre-by-holli_zollinger"">https://www.spoonflower.com/en/fabric/8990447-almha-stripe-geo-ochre-by-holli_zollinger</a>",Kristen & Siya,2020-11-23T00:48:02Z,0
👍🏻,Ahmad Hasyir,2020-11-20T01:48:26Z,0
👍,jessica Yong,2020-11-19T01:19:44Z,0
Cool good sharing 👍👍👍👍,Zella Channel,2020-11-18T08:43:15Z,0
👍🏻👍🏻👍🏻,Ahmad Hasyir,2020-11-16T16:35:39Z,1
👍👍👍,Jayaraj Nadarajan,2020-11-16T11:11:52Z,1
"i like this..so good.. <a href=""http://majulink.com/"">majulink.com</a> malaysia",MAJU LINK,2020-11-16T09:05:11Z,1
Hai  buddys super program ♥️♥️♥️♥️♥️,rapids media,2020-11-04T17:25:11Z,0
Why not use milk paint?,Maureen Pluthero,2020-07-14T21:37:33Z,0
Keep watching the next videos ;),Kristen & Siya,2020-07-15T14:55:49Z,0
Y’all made the most beautiful baby! She’s so perfect!,Saywaerd Holst,2020-06-23T20:57:20Z,0
"🌷Watch a city in Catalonia, Spain and enjoy nature, see the last video on my channel.  Thanks🌷",Omm ismail Rifia,2020-06-22T13:55:39Z,0
I love watching your videos... Literally make me visualise the life I want to have!,Linda Tentori,2020-06-21T22:31:16Z,0
This makes me so happy to hear. You can have any life you dream of :),Kristen & Siya,2020-06-22T02:43:20Z,1
&quot;Aaaand you got the hammer.&quot; 😂😂😂,Lauren Aida,2020-06-21T21:33:12Z,8
hahaha,Kristen & Siya,2020-06-22T02:39:21Z,1
"Where did you get your beautiful necklace? As always, love the vibe and content of your videos! &lt;3",Evelina Elf Donaldson,2020-06-21T19:42:43Z,0
I got it at Envision Festival in Costa Rica. It&#39;s actually a pinecone that&#39;s been cut in half. It&#39;s a special pinecone from Northern California. Thats how exactly how it looks. Pretty amazing right?,Kristen & Siya,2020-06-22T02:41:45Z,0
Love from Pakistan,Anas Aijaz,2020-06-21T19:29:54Z,0
"Kai is adorable, she is growing up so fast!!!",Llenando el Pasaporte,2020-06-21T17:05:04Z,3
She&#39;s so funny and smart. It&#39;s the absolute best being her parents. She teaches us so much.,Kristen & Siya,2020-06-22T02:40:50Z,0
That&#39;s actually a good way of exercising the kid that will help grow stronger,Javid Murvatov,2020-06-21T16:01:04Z,7
She loves climbing. She&#39;s already getting pretty good at the wall.,Kristen & Siya,2020-06-22T02:39:12Z,1
love from Pakistan  🌹🌹,Gry Cyprus,2020-06-21T15:57:45Z,0
"I love these videos so much! Also, the &quot;Dunkel&quot; in the paint colour name is the German word for dark, so maybe they just went a bit international with the names :)",Caro,2020-06-21T15:54:35Z,4
OOoooo I thought I heard that word before :) - Kristen,Kristen & Siya,2020-06-22T02:40:05Z,1
So cool to see Kai learning in real-time and to see her naturally reaching for where she wants a hold to be!,Jacob Carlson,2020-06-21T15:46:25Z,11
Righttttt! It blows me away every day watching is amazing human learn and grow. It&#39;s the absolute best!,Kristen & Siya,2020-06-22T02:39:46Z,2
I smell a future rock climber and ninja warrior in the making! The Airstream is looking really good! I can&#39;t wait to see the final results! Great video! Now I&#39;m actually going to look into making my own non toxic paint once I move into my own apartment in January.,Danielle Rose,2020-06-21T15:14:00Z,4
Thanks so much Daneille. I (Kristen) will be making paint for Kai&#39;s bed from flour and clay next. I&#39;m really looking forward to seeing how it turns out. Non-toxic homes for the win!,Kristen & Siya,2020-06-22T02:42:51Z,1
"Great idea, Danielle. Also true comment!",Amanda Wilcox,2020-06-21T17:31:51Z,0
Hard working family ❤️,Altaf Bhai,2020-06-21T14:18:56Z,1
@Kristen &amp; Siya  Allah bless you and your family!,Altaf Bhai,2020-06-21T14:22:07Z,1
We do our best!,Kristen & Siya,2020-06-21T14:20:16Z,1
such a great idea with the climbing dammn and the airstream looks great,M/S STUDIOS,2020-06-21T13:30:43Z,0
Thanks so much. Yes the rock climbing wall is so fun and looks great,Kristen & Siya,2020-06-21T14:20:39Z,2
I admire so much how you guys are do-it yourselfers. I have trouble putting in a freakin drill bit! I have a joke about painting. What did mona lisa say when they put her on trial? I was framed!,Lhouse810,2020-06-21T13:29:48Z,0
Hahahaha honestly we are just learning as we go. Thank goodness for YouTube videos and blogs. They have been great to learn from. And also just trial and error.,Kristen & Siya,2020-06-21T14:21:38Z,3
It&#39;s looking amazing! The paint color turned out great,Passport Overused,2020-06-21T13:16:09Z,1
Thank you! We love it. Its subtle but super earthy.,Kristen & Siya,2020-06-21T14:22:08Z,1
Looking so pretty and sweet. Love you. God bless you and your family. I am Adeel Riaz from Karachi,Adeel Raiz,2020-06-21T13:07:50Z,4
You as well!,Kristen & Siya,2020-06-21T14:22:18Z,3
