comment,id,date,num_likes
"So many feels in this video. We can&#39;t tell you just how much we love this community, and getting to travel with you is just the absolute BEST. If you want to join us in Costa Rica this September, there are still a couple spots available. Sign up here: <a href=""https://hopscotchtheglobe.com/costa-rica-group-trip/"">https://hopscotchtheglobe.com/costa-rica-group-trip/</a>",Kristen & Siya,2020-04-22T23:02:06Z,4
Safe u ecuador by virus frm pakistn,abdullah frzna,2020-06-10T03:05:30Z,0
Fck JEHOVAS WITNESSES,Captain Nemo,2020-04-27T19:34:20Z,0
Might have cried a few times. Love that everyone helped out a community and supported locals. Just amazing.,Danielle D,2020-04-27T04:28:17Z,0
"I just got so emotional. It&#39;s amazing to see there&#39;s so many way to travel the world helping locals the way you guys did, that&#39;s such an amazing job you&#39;ve been doing, you have all my respect",Nicole Ferri,2020-04-26T14:54:19Z,0
Beautiful seeing my country from another eye. So beautifully done! So raw and true.,Latina n Vegan,2020-04-24T01:45:45Z,1
"Such beautiful interactions with locals! Love that you relied largely on local workers and paying them  ❤️ There is a similar project near Misahualli that relies only on volunteers without the skills that are really needed and in a place where locals could really use the job. Also, I loved seeing that drone footage of pailon del diablo! I&#39;ve been there so many times but have never seen it from those angles 😍",Lauren Aida,2020-04-24T01:09:55Z,0
"We are being scammed with this COVID-19.. BS, please check out all the links shared in this message, form your own conclusion based on the information shared in these videos and also do your own research, if you find these videos to be helpful or informative, please share with family and friends and who ever else you think might be interested in this information.. these are the links... <a href=""https://youtu.be/J7s9D78cnZ8"">https://youtu.be/J7s9D78cnZ8</a><br /><a href=""https://youtu.be/TXargSbVp7E"">https://youtu.be/TXargSbVp7E</a><br /><a href=""https://youtu.be/CHwKY3ihZ0k"">https://youtu.be/CHwKY3ihZ0k</a>",THE STEM OF LYFE,2020-04-23T21:29:25Z,0
Nice editing,Richey Vlogs,2020-04-23T16:21:38Z,0
"Wow! Amazing video, such a BEAUTIFUL country!!",Maria Belen,2020-04-23T14:19:15Z,2
This is a definitely a dream trip of mine that I want to take once the situation going on right now is over.,Danielle Rose,2020-04-23T13:55:20Z,0
Ecuador is an amazing place we loved it,Our4feet Travelers,2020-04-23T10:04:42Z,1
This is just a dream trip 🏠 exploring country and also helping locals 🧡 amazing,Ieva Ivaško,2020-04-23T07:06:03Z,3
Beautiful place. I am Adeel Riaz from Karachi Pakistan. God bless you and your family,Adeel Raiz,2020-04-23T04:32:54Z,1
"You guys are just so incredible, you help so many people and touch so many lives. Your videos inspire me to be a better person. God bless you all",Lhouse810,2020-04-23T01:30:57Z,1
You guys are such an inspiration!  Hope you are safe and well!  Thank you for taking us all along on your adventures!!! ♥️,Nena Lavonne,2020-04-23T01:11:04Z,2
All the feels. What incredible moments we shared together. Many micro-moments...like Cuenca. Here&#39;s to many more! 😊,WorldWideWakleys,2020-04-23T00:16:22Z,2
This was such an amazing trip!!! Cried again watching it. Thank you HTG for changing so many lives and for inspiring us. So proud to call u all my family.,Faby,2020-04-23T00:14:46Z,2
Ecuador seems like its full of culture and nice people! Nice vid,The Domestic Gypsy,2020-04-22T23:54:59Z,5
So awesome! I can’t wait to visit Ecuador and Guatemala!,The Calvin Chronicles,2020-04-22T23:41:32Z,3
I’m appreciating your videos even more right now 🙌🏼 but how are you both feeling in regards to creating and posting travel related content right now? What do you think the future will look like for tourism and future plans?,Emily Claire Daly,2020-04-22T23:12:40Z,1
that dancing looked like alot fun! that home looks like something from a 1970 movies. that dog! ps love the work what you are did with the community,Passport Overused,2020-04-22T23:03:13Z,0
Hearts and loves amazing💞❣️✌️💯<br />From🇵🇰,Bilal Qayyum,2020-04-22T23:02:52Z,2
I love you guys.,Kimesa Grace,2020-04-22T23:01:43Z,1
We love you too!,Kristen & Siya,2020-04-22T23:42:13Z,1
nice contents,Critic,2020-04-22T22:56:40Z,1
Impeccable images. <br />Keep up the good work and stay safe.,Azores What Else,2020-04-22T22:55:47Z,1
