comment,id,date,num_likes
"Congratulations guys! How exciting 😃<br />We&#39;re right next door in Nicaragua, but are hoping to come to Costa Rica soon. Such a beautiful part of the world!",Bucket List Travellers,2021-04-17T16:04:40Z,0
It would feel amazing to be surrounded by trees and animals! 🌳,Earthy Savanna,2021-03-21T03:42:53Z,0
"Hello, Great video, I&#39;m glad to fall here. Greetings from Ecuador and my support for your channel, new friend here.",Carlos Moreira,2021-03-18T00:40:48Z,0
like 386,Carlos Moreira,2021-03-18T00:40:55Z,0
&lt;3,terry. berrry,2021-02-14T20:10:07Z,0
"Are you buying land with Raya? She just mentioned that she bought land in Costa Rica. I like to see how the travel bloggers are growing their families, channel evolves as well as people, so I&#39;m glad to part of your journey, congratulations guys 🥳😘",Gianina451,2021-02-14T04:41:22Z,0
"Ya&#39;ll are freaking awesome and I am just so excited about how you two approach travel and living and family and caring for the planet!!! Thank you for stepping up and setting an example that inspires other people, much love from Austin, TX!",Roam and Root,2020-12-30T16:00:42Z,0
Do you still own the home with your friends? Can you share more about that experience? Are you just renting out your room?,Michael Place,2020-12-26T14:46:41Z,0
"Hello, Kristen &amp; Siya. Great video!. Greetings and Blessings from Venezuela, Andean Subregion, South America.",Francisco De Sousa,2020-12-17T03:18:37Z,1
Anybody else came here from there I’ve storm video 6 years ago because it randomly came into there recommended?,vicki robin,2020-12-09T02:17:41Z,0
you make me sick,it'sMe TheHerpes,2020-12-07T11:17:34Z,0
good for you guys,Mahsa86,2020-11-30T07:25:31Z,0
OMG!  love it. Living the dream &lt;3,Paul DaSilva,2020-11-26T22:25:08Z,0
"I said hi, how quickly I should take care after 6 years and the baby is here",Niye Olmasın?,2020-11-24T08:22:34Z,0
That’s great. Also look into the Forest Steward Council as well. I work for them in Canada .,andrew tremblay,2020-11-21T19:42:38Z,0
What an incredible company ... and yay you bought land in the jungle .. congratulations.. what an incredible childhood Kai has !!!xx,Kayleigh the Vegan Dog walker,2020-11-21T10:23:03Z,0
I cannot wait for you guys to be down here!! Pura Vida!!,Allie Giamprini,2020-11-20T16:24:15Z,0
Pura vida! I used to lived in Costa Rica and then Nicaragua. Such beautiful countries. There’s so much forest,Kevin Rayo,2020-11-20T03:36:31Z,0
"So incredible guys! We&#39;re beyond happy for you, your family, and your new partnership! 🎉🎉🎉 There&#39;s so much to celebrate and we&#39;re looking forward to when we can do that with you! 🥂💕",WorldWideWakleys,2020-11-20T03:03:12Z,0
yeah. show the indigenous captialism!,Lys Hanofee,2020-11-20T02:29:32Z,0
Are you taking the dog !?,ashhashhley,2020-11-19T18:49:36Z,0
This is amazing.  You guys are always doing things that inspire me.  Can&#39;t wait to hear and see more about this in the future!  Incredible!,Jordan Pike,2020-11-19T08:12:40Z,0
"It&#39;s a beautiful place and congrats!!  BUT ... do ALL your legal stuff on the land, then do it again AND again!  I had family that bought two plots of land there several years ago with plans to build a home on each.  Before that could happen, the man passed away.  His wife had to get a lawyer involved due to CR trying to take back the land.  It was never settled before she passed away as well.  Just DO YOUR HOMEWORK on if you really  will ever OWN that land for real!!  Thanks for this content and I look forward to lots more!!  :)",MsShellMel,2020-11-19T07:07:05Z,0
your information is very helpful that is really amazing to me inviting to my home,Salvi Travel Tips,2020-11-19T04:13:06Z,0
