comment,id,date,num_likes
I’m new to your channel bro keep up the good work you motivate me,Dex Media,2021-04-22T03:23:36Z,0
I love you guys&#39; vlogs and don&#39;t understand why there isn&#39;t more views. IDK I think you guys should explicitly ask your views to subscribe and hit the bell notification..you rarely (if ever?) do that.. Just some feedback. Enjoying bingewatching the vlogs.,Candace S.,2021-01-05T05:38:06Z,0
😘😘,Thanh Phuo Cuong,2020-11-24T01:35:45Z,0
No way,Galaxy 4384,2020-11-10T07:04:53Z,0
Who are the fan of papa jake like this,VII9-26 SAMRIDDHI SAHA,2020-10-15T12:51:41Z,1
Plz meet with papa jake,VII9-26 SAMRIDDHI SAHA,2020-10-15T12:51:18Z,1
"Hey loser, watcha gonna do when the money runs out ; ) ✌",Jerk Chicken,2020-10-15T00:29:04Z,0
I was here bc of that iice storm vid,Nerocis,2020-10-08T17:12:54Z,2
SAME,robloxmanto YT,2020-10-09T00:05:35Z,0
Happy Birthday Kristen. I wish you a happiest of birthdays and hope that you will have the very best birthday that you can have today in these difficult times we live in.,Eric McHenry,2020-09-25T07:01:18Z,0
@Kristen &amp; Siya you are most welcome kristen. I am glad you got to see your friend that you hadn&#39;t seen in nearly 2 years.,Eric McHenry,2020-09-30T08:34:02Z,0
Thank you so much! I had a wonderful day. Got to see my best friend who I hadn&#39;t seen in nearly 2 yrs,Kristen & Siya,2020-09-30T03:15:15Z,0
Ho,Akbar Mulianda Rusdi Abidin Putra,2020-09-09T04:11:39Z,0
This awesome,Adventure De North Vlogs,2020-09-06T08:53:27Z,0
Kamau is in love with the Beyond sausage and can&#39;t wait to grill some this weekend for Labor Day. Hot Italian is the best one.,The City and Beyond,2020-09-01T17:29:31Z,2
You guys are so under-rated,Jonathan Benny,2020-08-30T10:32:54Z,0
"This video is both heavy and deep in terms of the rabbit hole, it will open your eyes to see that all the institutions that are put in place to protect us, are actually the very same institutions that are hurting us, exploiting us and taken advantage of us, everyone of these institutions (police department, military, fire department, hospitals, schools in all forms, child protection services etc..) are all connected to this satanic cult that get kids to kill babies and drink their blood.. sick in the head people... please proceed with caution and DON&#39;T TRUST NOBODY..the link is below<br /><br /><a href=""https://youtu.be/bwFNnBH6b4o"">https://youtu.be/bwFNnBH6b4o</a>",THE STEM OF LYFE,2020-08-24T07:59:15Z,0
Great video send you all my love wish you a nice sunday best greetings from Thailand stay safe,Real APBT Pitbull,2020-08-23T00:26:56Z,0
"I live in Parry Sound and we&#39;ve been wanting to visit Manitoulin Island for a while now, your videos make me want to go even more! Enjoy Killbear, it&#39;s a great park! 😊",Carla C,2020-08-14T16:09:11Z,1
"We loved the island! You can check out the blog post I wrote to help you plan your trip: <a href=""https://hopscotchtheglobe.com/ultimate-one-week-manitoulin-island-road-trip-guide/"">https://hopscotchtheglobe.com/ultimate-one-week-manitoulin-island-road-trip-guide/</a>",Kristen & Siya,2020-08-14T22:41:04Z,0
