comment,id,date,num_likes
Shouldn&#39;t use lavender on babies. Can disrupt the endocrine system.,Candace S.,2021-01-05T04:29:51Z,0
"Those  Berkleys are £320. From google, I&#39;ll stay with my bottled water thanq. Your poor wife had panda eyes  in shower.",Lynne Scaddan,2020-11-07T02:00:51Z,0
"Female Billionaire Switzerland , SYD , Bora-Bora <a href=""https://m.youtube.com/watch?v=HX9A6Wm1p0U"">https://m.youtube.com/watch?v=HX9A6Wm1p0U</a>",jmsaccess,2020-10-02T12:28:16Z,0
I&#39;m a new follower !just subbed also .love love your airstream ! I&#39;m in the market looking for prolly a used airstream.....i just love them ..plus their lighter to haul ...Safe travels to you all.. .your baby is adorable 💜,Tina Scott,2020-09-29T01:50:17Z,0
&quot;I think of weird things&quot; hits bowl and nods head me to buddy,Jordan,2020-09-18T14:19:30Z,0
We&#39;re going to have to check out Berkey. We&#39;ve been having problems with our filter and looking to buy a new one. They should definitely sponsor you haha. You may have just converted us. Haha.,The City and Beyond,2020-09-01T17:01:14Z,0
Omg Kai is getting SO big. Such a cutie!,The City and Beyond,2020-09-01T16:00:44Z,1
"dont do it !! you guys make such beautiful children!! make more babies hahah &lt;3 haha I mean you know obviously do what the heck you want but, just saying ;)",sylvia slay,2020-08-12T05:58:51Z,0
"Good for y&#39;all!!!<br />Happy campers!!<br /><br />Fix drawers: Strong [enough] Magnets! <br />Fix backing up: remote back up cam on rear of the &#39;stream, &amp; one on the back of the tow-er.<br /><br />Fix &quot;not getting all 90 minerals, VITAMINS &amp; ESSENTIAL FATTY ACIDS&quot; every mammal requires to stay healthy:<br /><a href=""http://youngevity.com/"">Youngevity.com</a> tell them I referred you.",Jeff C. Keane,2020-08-03T01:25:27Z,0
Do the minerals change the taste of the water?,Wanderlust_Aileen,2020-07-27T22:46:23Z,0
They make it taste delicious! Like the cleanest pure water and even creamy like,Kristen & Siya,2020-07-28T01:46:44Z,1
your body can only assimilate plant based minerals... not from a rock :( you&#39;re taxing your liver and kidney will ricks minerals :(,Ray Ra,2020-07-26T23:37:16Z,0
????,Kristen & Siya,2020-07-27T04:42:05Z,0
Beautiful place👏 i am new here or Subscribe our channel &amp; full watch video so Support me Please  <br />*😇 *,it's Waqas Technology Official,2020-07-26T06:46:45Z,0
"Congrats! Looks like a fabulous way to live. Do you have a link for the shower head? That looks cool. We just bought our first travel trailer, waiting on delivery.",Newton's Travels - Her Grand Life,2020-07-22T14:02:10Z,0
