comment,id,date,num_likes
"Wow! That&#39;s some impressive rental income there. <br />Years ago we wanted to rent out our place while we were travelling, but no real estate agents in our area offered short term rental like this. So glad Airbnb came along. We have rented out our place a few times and it definitely helps to fund our trips.",Bucket List Travellers,2021-04-17T15:59:26Z,0
Ah ha! Moment! 🌬🌬🌬,A B,2021-03-22T15:19:41Z,1
Yessss!!!!,Kristen & Siya,2021-03-22T20:19:28Z,0
Love this inspiration Kristen &amp; Siya 💖💖,A B,2021-03-22T15:18:10Z,1
Are you inspired to be an Airbnb host too?,Kristen & Siya,2021-03-22T20:19:41Z,0
"Such a cool series to watch! It gives me so much inspiration, thank you ❤",Renata Novotná,2021-03-17T01:46:21Z,1
"@Kristen &amp; Siya I totally have. My husband and I want to get a piece of land in Jamaica (I am Czech, he is Jamaican) and hope people find this part of the world attractive enough to come rent it! Even, or rather especially, when we are in Europe to have passive income 🙏🏻",Renata Novotná,2021-03-22T23:49:09Z,0
I&#39;m so glad! Have you been thinking about being an Airbnb host?,Kristen & Siya,2021-03-22T20:19:58Z,1
"This is super interesting content and I&#39;m excited to see the other spaces featured in this series! At some point could you go over the extra logistics of being hosts, as in do you have a management company that cleans and upkeeps the place (or do your co-owners do that when you are away)? How much time does it actually take out of your day to be managers (booking and replying to guests)? I have a family place that we&#39;ve looked into listing before, but those extra logistics make it tricky (plus we want to use the place for ourselves lol).",Randomgenre,2021-03-16T01:42:09Z,1
"Great questions! I think doing a whole other video going into more detail would be a great idea or a blog post. Either way, stay tuned! Also the other hosts will answer these questions in upcoming episodes.",Kristen & Siya,2021-03-16T05:32:35Z,0
Great💝💝💝🌹🌹🌹,Ali Alizadeh,2021-03-15T22:19:20Z,1
"Beautiful home! Great that you&#39;ll have multiseason interest for it. Best &amp; blessings from western Oregon, USA! 🤩✌",Amanda Wilcox,2021-03-15T16:44:48Z,1
@Kristen &amp; Siya I am!,Amanda Wilcox,2021-03-15T21:20:41Z,0
Thank you! Hope you&#39;re excited for the next couple of episodes.,Kristen & Siya,2021-03-15T20:57:52Z,1
how to you clean it for the next guest though,Emy Reads,2021-03-15T14:44:27Z,1
We have cleaners who do it for us,Kristen & Siya,2021-03-22T20:20:22Z,0
What happened to your finger? 😢,Betsy H,2021-03-15T14:01:33Z,1
Slammed it in the car door. It&#39;s doing much better now.,Kristen & Siya,2021-03-22T20:20:43Z,0
