comment,id,date,num_likes
Seems much bigger than a half acre?  Is it expensive?,Matthew Poole,2021-04-16T23:13:01Z,0
Disgusting that your clearing all that bush where nature depends on to survive!!! All of you are barbaric! Shame on you!!!! 🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,T C,2021-04-04T17:51:47Z,1
I would LOVE to build a home there,Natasha Letourneau,2021-03-14T13:44:49Z,0
I want to be here so bad,Gage Tillery,2021-03-12T09:22:27Z,0
"HEY, please can you tell me how did you buy this land ? I would be interested in buying a land just like that :) please answer",Leona Lisandro,2021-03-07T23:58:30Z,0
"Looks so amazing!!! How big is gonna be the village, like how many families, houses?",Free Up Life,2021-02-20T18:57:37Z,0
nice vlog sheljo vlogs is start following ur vlogs from today,Sheljo Vlogs,2021-02-13T07:59:31Z,0
OMG I love this! What a dream! A lot has changed since our podcast interview!<br /><br />Side note: What video editing program do you use. I&#39;m ready to upgrade.,Mom Of 18 - Jenn Taylor,2021-02-12T18:32:19Z,0
"Very cool, guys! We share Kristen&#39;s excitement for fresh organic fruit. 😆 We have a dream to do something similar some day. ¡Un saludo desde México! -Jim",Spanish and Go,2021-02-03T21:14:14Z,1
Incredible!!!!,GabbiiGoose,2021-02-03T02:24:22Z,0
I have been following you both for so long and the pure joy in both of your eyes. I am so happy you have your forever home.,rebecca curtis,2021-01-28T07:09:30Z,0
Looks like heaven,Emunah Ohr,2021-01-27T17:42:30Z,0
"Thank you so much for the video, we too, bought land at Alegria Village in the Elders Village. We will continue to watch with excitement and anticpation of what is to come!!!",Andrea Fisher,2021-01-27T14:52:54Z,0
Oh wow I am here for this !,S O P H I E J A Y N E,2021-01-27T12:33:56Z,0
A new subscriber from your friends who are also buying a plot near you.  I applaud you all on your new life.  It’s going to be fricking awesome 👏👏👏👏,Rianna Tripp,2021-01-27T11:47:10Z,0
"We&#39;ve never thought about visiting Costa Rica but you guys have definitely shown it&#39;s purest beauty. Have heard your vision of living in a community for so long, it&#39;s amazing to finally see it unfolding. 😃",The City and Beyond,2021-01-27T00:10:59Z,1
I want to buy a lot there! Would love having you guys as neighbors!,Zan-Mari Serfontein,2021-01-26T17:19:46Z,1
"I know that feeling of &quot;OMG, this is really happening...&quot;. It is a moment that takes your breath away. we are planning to move to the highlands of Panama as soon as logistically possible and I am so excited about the moment I look into the camera and say, &quot;Oh my God, this is really happening!&quot; I am so looking forward to following your adventure.",Warm Salty Breeze,2021-01-25T23:24:42Z,1
Check out permaculture practices! It&#39;s about developing an ecosystem by mimicing nature&#39;s natural systems. I&#39;m excited to watch you all create your food forests.💚,Celeste Marie,2021-01-25T16:18:59Z,0
"Could you please make a video of how you plan to live out your dreams in a different country? This looks really like a dream life, but what about the financial aspect of this cos it is what scares me to take the leap and move? I love to be able to like in a community like this one day, but I don&#39;t know how to go about medical insurance, retirement investment, etc..",wendy nguyen,2021-01-25T15:28:44Z,2
How will they make money? Good question. Not everyone can be a &quot;social influencer&quot;.,xxGuItArGiRLxx89,2021-01-25T15:51:56Z,1
FINALLY I CAN COMMENT! Sooo freaking excited to be on this journey with you both! Can’t believe we made it happen ✨✨❤️❤️,RayaWasHere,2021-01-25T15:04:07Z,28
@GabbiiGoose same! I’m wondering how I’d go about building a home there,Natasha Letourneau,2021-03-14T13:45:37Z,0
We want to join!,GabbiiGoose,2021-02-03T02:24:52Z,1
So cool that two of our favorite YouTube couples are doing this together! Can&#39;t wait to see the building process!,Travel with NJ Steve,2021-01-30T01:31:31Z,0
Beautiful! Please put us in the wait list of subscribers visiting 🤭😝,Llenando el Pasaporte,2021-01-25T04:44:11Z,0
"What an exciting new adventure to embark upon! I&#39;m so happy and excited for you guys! Are you gonna live there all year long once your house is built? Are you still going to travel in Luna a few months out of the year? Will atlas eventually join you there? Will you still own part of that house in Canada? Oh I would tell you a construction joke, but I&#39;m still working on it ;)",Lhouse810,2021-01-25T03:34:43Z,0
i am so excited for you guys! You have been talking about this for so long. It&#39;s amazing seeing it finally happen. I can&#39;t wait to see the progress of the build!,Kimberly Anne,2021-01-25T03:25:04Z,0
