comment,id,date,num_likes
I would love to know <br />If you already have friends there ?<br /><br />And what about shared practices <br />And lifestyle<br />How is the arrangement / the agreement there ?<br /><br />: ) <br /><br />Sweet you are all together<br />Lovely to see the child play in nature !!!,Bloom In resONAnce,2021-04-11T15:24:37Z,0
So happy your are in Costa Rica!!! Good wishes!!! Pura vida.,Gio Chacón,2021-03-22T17:09:00Z,1
Gracias. Pura vida!!!,Kristen & Siya,2021-03-22T20:22:00Z,0
I love Jackfruit and had it as a kid cause my family is  Jamaican. I always describe it as a pineapple without citrus.,The City and Beyond,2021-03-22T11:57:38Z,1
Yesss. It&#39;s like a mango and Peach to me. The best fruit ever!,Kristen & Siya,2021-03-22T20:22:22Z,1
Beaaautiful .  I want to life  there 🤗🌱🌻,Dharma onfilm,2021-03-16T09:10:00Z,0
Man I bet it’s so cheap over there,Natasha Letourneau,2021-03-14T12:52:28Z,0
New sub here &amp; I love your channel!!!<br />I’m wondering after you move there then what will you do for money?? Or will you not have jobs?<br />Will you not have to pay taxes??<br />I’m extremely interested in learning all about this way of life!<br />Thank you 💙,Natasha Letourneau,2021-03-14T12:41:05Z,1
Beautiful place ❤️,Hills Heart2Heart,2021-03-13T18:46:54Z,0
Gotta love “organic” “hippies” who just can’t HELP THEMSELVES from being all about the nice consumer stuff. <br /><br />The liberal types that grow up to be STRONG conservatively minded.,News Now Utah,2021-03-07T16:56:43Z,0
Fun to watch though!,News Now Utah,2021-03-07T16:56:54Z,0
This is the DREAM!!! Can&#39;t wait to see more updates from you guys. Pura Vida!,Mahsa Joyce,2021-02-28T18:37:48Z,0
"Hey, remember when those canadian Kids ate finnish candies?<br />THOSE KIDS TASTEBUDS ARE WEAJ",Georno Guivinni,2021-02-26T17:46:54Z,0
this is awesome,Subhan Mohammad,2021-02-23T12:32:44Z,0
"Hey im new here, i just wanted to know if you can still live from youtube or do you have another buisness? I find it hard to believe that you earn enough from this 3k views for a living or did i miss something? Thanks for your help :)",Sim Lin,2021-02-23T10:56:25Z,0
It’s incredible!! We have been loving Mexico as well. Can’t wait to make it down.,GabbiiGoose,2021-02-23T04:03:42Z,0
is this a vegan community in Costa Rica???? Super interested if it is! 🌱🌸🦋,Bee doubleu,2021-02-21T17:46:25Z,0
"Oh, this is awesome! I’d be interested to hear how to get involved",Ahava Life,2021-02-20T22:24:45Z,2
such a cool way of living! looking forward to learning about this through you guys! 💖,meg,2021-02-17T16:24:26Z,1
"That&#39;s so true about the food and eating what you grow or like you said grown near you. I had tomatoes growing on my balcony me and especially my granddaughter nurtured those tomatoes and ate them with love 👍🏾 💕. So happy for you guys, much love and little miss Kai she&#39;s adorable.",Asta,2021-02-16T23:32:40Z,1
"Looks so lovely!! I can’t wait to follow this journey over the years with you + Raya and Louis’ channel, too.   Is Kai bunking with you for the month? ;)",Kylie Lynne,2021-02-15T20:29:32Z,2
can i plzzzzzzzz join and adjust all of u? im a chiropractor,MARMAR QUEEN,2021-02-15T09:13:53Z,0
Take a shot every time someone says community during the intro sequence 🍻🥴,Jacob Carlson,2021-02-15T05:55:52Z,0
Healthy life style.,RIZWAN AHMAD,2021-02-15T05:32:09Z,1
"Spectacular video, it looks like paradise. My favorite food since I was a child is fruit. You guys are so lucky to have such an abundance of variety. I would be in heaven if I got to try fresh tropical excotic fruits.",Rose Jacobson,2021-02-15T01:00:18Z,2
Can I have the contact of your architect? Not for buildings but for the whole community project that you mentioned...,Pom Vincent,2021-02-15T00:24:16Z,0
why did i think of Albert&#39;s wife Kirsten when i saw the name,「69」,2021-02-14T22:37:24Z,0
"This looks amazing, but I just can&#39;t imagine leaving my city comforts for something like this... I love the thought of eco living and growing things, but maybe I&#39;m just not cut out for it :)",Three Star Vagabond,2021-02-14T21:45:53Z,0
@Kristen &amp; Siya Oh! Alright then! :),Three Star Vagabond,2021-02-16T00:06:32Z,0
That all exists here too :),Kristen & Siya,2021-02-15T23:49:19Z,1
"@Kristen &amp; Siya What about modern entertainment and cinema and concerts and things? Once this whole pandemic is over, won&#39;t you miss easy access to things like that?",Three Star Vagabond,2021-02-15T09:25:34Z,0
It all depends how u build ur home. U can  live in something very basic and rustic or more modern. The place we rented was extremely comfortable. We felt at home immediately.,Kristen & Siya,2021-02-15T04:22:26Z,1
I love this way of living! &lt;3,terry. berrry,2021-02-14T20:02:37Z,3
"@Kristen &amp; Siya  Believe me, we appreciate it, Kristen! I&#39;m holding the best for you, Siya &amp; Kai, friends and your growing neighborhood. Be well!",Amanda Wilcox,2021-02-21T19:17:59Z,0
It&#39;s so amazing isn&#39;t it? Yet it&#39;s really taking it back to basics. We&#39;re excited to share this journey with u all.,Kristen & Siya,2021-02-14T20:12:11Z,1
Beautiful guys!!! That jackfruit be lookin&#39; gooo&#39;!,Navneet Shinh,2021-02-14T19:01:08Z,2
So damn good!,Kristen & Siya,2021-02-14T20:58:21Z,2
"If it’s not too intrusive, I’d love to see a video about the cost of buying your land, building your house, and the general cost of living in your community in Costa Rica. I’m enjoying your journey and send love and blessings to y’all!",Aunt Rowdy,2021-02-14T18:12:24Z,14
@Vincenzo Eli trying it out now. Looks to be working :),Roland Joseph,2021-04-10T06:33:57Z,0
i dont know if anyone cares but I just hacked my gfs Instagram account by using Instapwn. Just google for it xD,Vincenzo Eli,2021-04-10T06:18:06Z,0
I agree that would be a great video 🕊️🌿💜God bless you all and safe travels,Serene Soaking Sounds,2021-03-05T00:35:23Z,0
Absolutely! We are all about sharing our experiences here. We are still in the process of getting all the paperwork signed and title transferred over so once we have more details we&#39;ll create a video on this.,Kristen & Siya,2021-02-14T20:58:09Z,9
I would love to see a video like that as well.,Xaimara Ojeda,2021-02-14T19:54:54Z,0
Excited for your new adventure!,thewifeypoo,2021-02-14T17:36:15Z,2
That’s a good system something similar in Guatemala I’ve seen thanks for the upload,Leon Perez,2021-02-14T15:36:36Z,0
Yierba Buena,Leon Perez,2021-02-15T00:50:29Z,0
Oh ya? Do you remember where or what it&#39;s called?,Kristen & Siya,2021-02-14T15:54:46Z,1
🤤🤤🤤 So excited to try fresh jackfruit!,WorldWideWakleys,2021-02-14T15:28:30Z,1
Oh wow that is amazing !! Living the dream 💗 Food can&#39;t get much more fresher than that ! What great childhood Miss little Kai is going to have 💗 I can&#39;t wait to see how your home will end up looking like. What incredible place 💗 Thanks.,Paivi Project,2021-02-14T15:17:55Z,1
"@Kristen &amp; Siya Oooh that sounds amazing ! I&#39;d so rather be there right now, it 5 F (-15 C) outside. Been freezing ma buns making ice lanterns &amp; balls &amp; few shot glasses heh hee. I bet you guys will not miss the cold much :)",Paivi Project,2021-02-14T17:55:12Z,1
It&#39;s really a dream to be living in a food forest. Where there is unlimited food all year you can just pick off the tree. We&#39;ve begun our home design and ita getting really exciting. Looking forward to sharing more with you.,Kristen & Siya,2021-02-14T15:27:54Z,2
"Always nice to see you guys, greetings from trinidad an tobago",solly g,2021-02-14T15:16:30Z,0
:) nice to see u here too,Kristen & Siya,2021-02-14T15:26:42Z,0
First comment,Zaheer Kzz,2021-02-14T15:06:47Z,1
