comment,id,date,num_likes
English subtitles have been added to this video!,Kristen & Siya,2019-06-22T17:01:43Z,174
"The sugarcane juice usually come with black salt and ginger. The egg taste is from the black salt, try it without, it tastes like a whole different drink. I like it both ways but I like black salt and pink salt over white salt anyways. But it definitely tastes better with ginger, lemon, mint (and garam masala powder if you want a little spice). I hope this helps",Big Oil Production,2019-12-03T23:34:27Z,0
u did a great job pal awsum vlogs,Ali Murtaza,2019-07-20T16:48:09Z,0
Kristen &amp; Siya love 😍😚😙😗,Muhammad zain,2019-07-12T11:04:00Z,0
@Gazni Jan I was about to comment the same. Ask them not to add black salt when you order sugarcane juice.,anonimity 03,2019-06-28T19:53:24Z,0
Thanks respected foreigner. But it&#39;s an humble request(for girls) please wear our traditional and full body cover dresses.we love you and respect you man.we want to support your YouTube channel and inshaAllah we will.but please avoid such dresses in which body parts of female are exposed. You and your team always trillion time welcome in our country. But it&#39;s an humble request. I want to see your videos on pakistan but I can&#39;t due to such dresses. Hope you understand. Sorry for the inconvenience.,Popl Pakistan,2019-06-25T10:59:09Z,0
May ALLAH always bless you with his blessings and fulfill all of your wishes INSHA&#39;ALLAH AMEEN. 😎,Basir Shahab Markhor,2021-03-12T21:00:31Z,0
So basically Canada has put Pakistan into terrorist country...no problem everyone&#39;s time will come.... lessons for Pakistani...,wajid wajid,2021-02-28T20:32:38Z,0
"<a href=""https://www.instagram.com/experiencekaira?r=nametag"">https://www.instagram.com/experiencekaira?r=nametag</a>",Hamza Abbasi,2021-02-03T17:47:02Z,0
we are blessed to have this country.,maria noor,2021-01-29T15:52:49Z,0
MASHALLAHA 🇵🇰💖💞,Sunny Mkwa,2021-01-15T09:13:35Z,0
It&#39;s a nice but tho😁😁😁👍,Anas Khan,2020-12-21T05:04:29Z,1
Nice bro,Husnain Butt,2020-12-13T03:04:48Z,0
thx for proving we arent terrorist and im saying thank you because i am a pakistani so yeah again thx so much hope your channel keeps growing keep up the good work btw bye,usama rj,2020-11-09T18:42:54Z,0
"i think the sulphur taste might be of ginger which they mix, he might have mixed ginger juice it too much",mughees ahmed,2020-10-26T07:56:03Z,0
That black salt smells like farts,Gaza Youth,2020-10-23T17:43:09Z,0
Beautiness,Zeeshan bhaai,2020-10-11T16:48:08Z,0
When you&#39;re visiting back to Pakistan... Come back to the buitiness,Zeeshan bhaai,2020-10-11T16:47:38Z,0
"Love Pakistan - I proud to be Pakistani - Pakistan is the 2nd best country out of 196 counties in the world - for more details please watch this video...........<a href=""https://www.youtube.com/watch?v=IdD-fTLs4z4"">https://www.youtube.com/watch?v=IdD-fTLs4z4</a>",watch my world 1606,2020-10-03T09:49:35Z,0
"Hey  guys are planning to come to Pakistan then book us,  we are providing the best travel service across the country, we have ten years of experience in Tours operating, Trekking, Ancient places trips, Honeymoon trips, Special interest tours, Safaris, Seasonal tour, Mountain Biking, Cultural Tours Please visit our website: @t",Hassan Shavaiz,2020-09-27T15:19:52Z,0
Thanks love from Pakistan,Sheikh shoaib,2020-09-27T09:27:06Z,0
Welcome Johnny sins in Pakistan :),Malik Bazaid,2020-09-25T17:34:26Z,0
All good apart from that sugar cane juice..shouldn&#39;t taste eggy bro😂,bandar bhai,2020-09-23T11:59:05Z,0
"I m indian,, love 🇵🇰pakistan from 🇮🇳India,,",Aayushi jain,2020-09-04T07:32:41Z,0
Even i dont like sugarcane juice😑,gazzy g,2020-09-04T04:59:40Z,0
Thanks for coming pakistan,Sarib Akhter,2020-08-29T00:19:50Z,0
Love from pakistan,khuram goraya,2020-08-21T03:42:02Z,0
"<a href=""https://www.youtube.com/watch?v=3EI38bq-RM0&amp;t=06m00s"">06:00</a> I wonder why u guys didnt take the Kaghan route?<br />It is shorter in distance and a lot quicker. <br />Moreover you bet to pass through Naran, the most visited tourist destination in Pakistan. And u could see in Naran ..Legendary Lake Saiful Malook at 10,700ft above sea level... I bet u havent seen a lake any hogher than this<br /><br />Then u pass by serene Lake Lulusar... then you elevate to a height of 13,691 feet at Babusar Pass (or &quot;Top&quot;), its twice as high as the highest pass in Canada.<br /><br />It would have saved you hours <br />It takes almost the same time to get to Besham or Naran<br />But then, from naran to Chilas is 3 hrs.... and besham to chilas is 6 hours 40 min<br />so u probably save 3 hours of driving ... but the best thing is Naran route is way way way more scenic<br />Not to mention , it doesnt have that problem of &quot;Landslides&quot; that you have (and did) encounter on KKH",naveed418,2020-08-10T12:55:46Z,0
Pakistan country is the greatest country because I am Pakistani most welcome again travele my country,MD Jahid,2020-08-01T20:39:20Z,0
"hey siya, you was in my home town at <a href=""https://www.youtube.com/watch?v=3EI38bq-RM0&amp;t=12m15s"">12:15</a>",Muhammad Munir Younas,2020-07-26T19:51:40Z,0
Pakistan beautfiul  cantriy,zabiullah Ibrahimmi,2020-07-05T10:21:19Z,0
I like that movi,zabiullah Ibrahimmi,2020-07-05T10:19:24Z,0
"OMG !! What an amazing video. Guyz you really need to check out. You will definitely in love with the view.😍<br />This below mentioned channel contains the best of the view collection of the several cities covered.<br />Representation is of scenic views, people, nature, beliefs, etc.. I can guarantee, a lot more to learn &amp; desire to explore is there.<br />So click the below link &amp; let the Journey Begins !!<br />Link - <a href=""https://www.youtube.com/channel/UC6NgVKsg4jHmqG5GpoS-KhA/videos?view_as=subscriber"">https://www.youtube.com/channel/UC6NgVKsg4jHmqG5GpoS-KhA/videos?view_as=subscriber</a>",Sandeep Shourabh,2020-06-22T05:38:34Z,1
"<a href=""https://www.youtube.com/watch?v=3EI38bq-RM0&amp;t=3m37s"">3:37</a> Why r u so amazed,<br />Weed is like grass in Pakistan 😅😅",Ali,2020-06-01T14:42:13Z,0
Please subscribe my channel 🙏🙏🙏 I subscribe u 💯💯💯 I from Pakistan and 💯💯💯 watching time give uuu,Mirza official,2020-05-18T17:39:58Z,1
Ok sugarcane juice was not the right one. It’s heavenly actually. The vendor <br />didn’t make it right,Naila Naz,2020-05-17T06:10:14Z,0
Tell me the worst Joke <br />: Sugarcane juice tastes like eggs&quot;&quot;,Facts Unknown,2020-05-12T11:22:40Z,0
Our beautiful pakistan.<br /> thanks dear you came to our loving country,Balochistan travels pakistan,2020-04-08T20:55:06Z,0
"Good video off topic im an American and I read a lot hearing how innocent student marshal khan was savagely beaten to death because of blasphemy and women murdered because of Adultery the vigilanty groups get together and anyone women especially they feel are saying blasphemy against phofet they murder heads have been chopped of I read to, I no there&#39;s good people in Pakistan but there seems to be a lot Anger towards Christians and other religions in the country? Please feel free to comment",Privateman Keith,2020-03-08T18:57:32Z,0
"Nope. Not specifically to Christian. Yea Blasphemy cases are real but it is too much hyped. Since Pakistan independence. There are less than 1000 such cases among the population of 220 Million people (5th most poplous country). Judging by this figure to whole population is like judging USA with school shooting.<br />You can watch Jazib Samuel, popular Christian vlogger of Pakistan",What's in my mind,2020-05-20T12:48:13Z,0
"Your all traveling videos ows i started my channel for pakistan foods so guys please subscribe me and share it to others thanks link is <a href=""https://youtu.be/IlLzrBh5WQ4"">https://youtu.be/IlLzrBh5WQ4</a>",SA Qureshi,2020-02-20T11:59:57Z,0
"I live in italy more than my country, Pakistan is my homeland and i love profume of my land ❤️",Umar Shakeel Vlogs,2020-02-07T23:02:37Z,0
"WELCOME TO PAKISTAN,",Iftikhar Abdullah Haider,2020-01-06T09:23:38Z,0
"GOOD AND NICE,",Iftikhar Abdullah Haider,2020-01-06T09:17:31Z,0
"Really appreciate you visiting Pakistan , love from the UK!",Sadia Khawaja,2020-01-03T00:06:51Z,0
💖🤟🤩❤🌟🌟🌟🌟🌟🌟💖❤💖🤟🤟love 😍l,pakistan pakistan Pak,2019-12-16T00:51:37Z,0
laxi is beautiful,Saima Muhammad Arshad,2019-11-04T10:26:13Z,0
"Pakistani dishes are now in you reach.<br />Delivery available all across the globe.<br />For furthur queries:<br /><a href=""https://m.facebook.com/thecanners/"">https://m.facebook.com/thecanners/</a>",Ahmad Abbas,2019-10-19T09:51:20Z,0
Pakistan is very safe country .always welcome,Shamsher Khan,2019-10-13T07:15:09Z,0
