comment,id,date,num_likes
"Hi guys just found your channel watched 1 vlog and subscribed, really packed full of great info and awesome footage, learning loads already 👍👍👍",Matt Matt,2019-03-06T16:22:42Z,0
love this,Jeni Schmedding,2019-02-13T00:30:24Z,0
You guys are so amazing and inspiring! Thank you for these videos!,Emily Margaret,2019-01-23T00:27:43Z,0
"Kristin, Siya, &amp; Kai",Linabella,2019-01-15T14:15:41Z,0
What’s the name of this song?,Tyler Tashji,2019-01-14T19:06:42Z,0
Great job guys!,DOUG and NIKI,2019-01-12T04:11:32Z,0
Not much you can do with only 15 condoms,Crabjuice,2019-01-08T19:31:55Z,0
You guys should go to Invermere BC. thats where I used to live and it really nice there. it&#39;s by a few hot springs and has 2 beaches. theres a bakery and my friends mom owns a shop there too.,Closet Demon,2019-01-08T00:28:34Z,0
"I really like your incredible videos! It is actually inspirational. We were in recent weeks in Tulum, and it absolutely was staggering, I only just made a quick drone video of my travel at that place!",Nick Alan,2019-01-06T23:50:46Z,0
When You Coming To India.,puneet khanna,2019-01-05T11:29:16Z,0
"Dang, such high quality always!!!!",Laura Rose,2019-01-05T06:04:40Z,0
Lovely year you had 😊 Wishing all the best to the youngest member of your family and to stay strong in the parenting journey ❤️,Rainbow Girl,2019-01-04T19:30:11Z,0
What an amazing year for y’all! It’ll only get better with baby ☺️,qtravelers,2019-01-04T13:18:50Z,0
Loved this! Thank you for your original video caption and not something poser like “my YouTube rewind”,Christian Becerra,2019-01-04T05:58:21Z,0
So amazing with the best ending 💜,Kat Craig,2019-01-03T21:55:35Z,0
Best video editing of your channel!,On my tree,2019-01-03T18:08:25Z,0
"So so very inspiring...Kristen n Siya you guys have won over the word called Life ! What a gorgeous, spellbinding and inspiring journey of places and life. Keep flying high and love to your lil teddybear...he is immensely gorgeous...mwaahhh😘🤗💏💗",Lifestyle Vlogs Ishani Kamra,2019-01-03T17:56:02Z,0
Your baby girl is adorable!,McKenzie Armstrong,2019-01-03T17:53:26Z,0
Love it - great look back! Best wishes for 2019 :),Chris Prouse,2019-01-03T13:35:50Z,0
"this gave me goosebumps, so epic ❤ What was that part where Siya asked if the seat was taken? 😱",Sabrina Gust,2019-01-03T12:01:45Z,0
I wish about this...,Simonas Dailidė,2019-01-03T11:15:17Z,0
I freakin love you guys! Can&#39;t wait to see all the crazy new adventures you get into in 2019!,Lhouse810,2019-01-03T05:08:00Z,0
... so rad,choir anthony,2019-01-03T04:42:21Z,0
Love this! What an incredible journey this past year has been for you guys! I can&#39;t wait to make a montage video of my own! Very inspiring!,Alanna Zingano,2019-01-03T04:21:01Z,0
What a beautiful year you all have had!!,Lavendar Ladybug Adventures,2019-01-03T03:22:23Z,0
Love your little family💗 I wish my year was this extravagant but I can always live it through your videos!! Wish you guys a happy happy 2019 hehe!,armywife1-4,2019-01-03T03:14:19Z,0
I am Japanese. I love your videos.<br />Thank you.🇯🇵,かこきくねさいや,2019-01-03T03:05:35Z,1
Wow what a YEAR!!,Explore With Sophie,2019-01-02T23:36:14Z,0
Nice!! Kristen pulled me right in to watch and to pay attention with that zoom in -motion =D Awesome 2019 for you guys!,Jason Evans,2019-01-02T23:29:21Z,2
Doing one of these videos was one of the best ideas I’ve done because I love looking back at it,Abby Lin,2019-01-02T23:01:04Z,0
Looks like an awesome year!,Jacob Carlson,2019-01-02T22:40:27Z,0
What an amazing journey!!!! Happy New Year!,Sherelle Wallace,2019-01-02T21:59:42Z,0
Such an exciting video! You inspire us so much. Now we want to make a video like this! An awesome recap of the year! 🤗,WorldWideWakleys,2019-01-02T20:57:18Z,0
Happy new year to you all! 2018 was definitely an adventure for you both xx,Travel Bug Bee,2019-01-02T20:18:44Z,0
Incredible video!,Elizabeth Rose,2019-01-02T19:29:06Z,1
Good Vlog! 😊😊,Yörük Kızı Geziyor,2019-01-02T19:21:48Z,0
Going to Japan in 2 days. First trip out of country !!,Skye Chey,2019-01-02T18:54:00Z,0
Great editing! Happy 2019,lise legge lise viaggia,2019-01-02T18:53:11Z,2
I love how you guys travel! It doesn’t feel like you’re only doing it for the pictures and shots.,Rebeca J,2019-01-02T18:53:01Z,0
Thank u for this comment. We were travellers before we were vloggers so travel is our first passion :),Kristen & Siya,2019-01-02T20:20:59Z,0
♥️♥️♥️,SofiaStephanie,2019-01-02T18:39:07Z,0
editing in this was EPIC! Looks like you guys had a crazy year.,TheTravelingClatt,2019-01-02T18:24:29Z,9
"Apparently, 15 condoms were not enough, if you don&#39;t want more kids you should bring more :P  LOL guys you made me laugh. Love you",Travel With Mansoureh,2019-01-02T18:22:44Z,0
Great video!,Natasha Jayne,2019-01-02T18:20:45Z,1
Cheers to many good ones to come! <br />Lots of love from switzerland :D,poooodfly,2019-01-02T18:19:20Z,0
@Kristen &amp; Siya <br />2018 was definitely a year to remember! I can definitely join you on that one: making a tiny little human definitely makes the year complete :) thanks for the reply :D,poooodfly,2019-01-02T18:33:39Z,0
Happy 2019! We hope your year is the best one yet :),Kristen & Siya,2019-01-02T18:21:01Z,0
"Wow guys, what an adventurous year it has been!! Glad you got to visit my beautiful country, South Africa &amp; looking forward to what you have in store for 2019.<br />Greetings from South Africa",Alicia Una Ryan,2019-01-02T18:18:34Z,0
We definitely want to explore more of South Africa! Happy 2019!,Kristen & Siya,2019-01-02T18:21:24Z,0
3th subscriber yessss,Tygo Gobel,2019-01-02T18:06:53Z,1
15 condooms hahahaha but cool vid,Tygo Gobel,2019-01-02T18:05:41Z,3
First!,Antonio Gordo,2019-01-02T18:03:02Z,1
