comment,id,date,num_likes
Give this video a thumbs up if you wanna go to Malta and EAT!,Kristen & Siya,2019-03-03T16:07:07Z,159
"@Pedro Tobias yea, I have been watching on flixzone for since november myself =)",Damari Trevor,2021-04-28T12:04:43Z,0
Pro trick: you can watch series on Flixzone. Been using them for watching loads of movies these days.,Pedro Tobias,2021-04-28T11:54:06Z,0
"Stunning place <a href=""https://youtu.be/iYlEvnaGZe8"">https://youtu.be/iYlEvnaGZe8</a> <a href=""https://youtu.be/nIfcsOZgs5k"">https://youtu.be/nIfcsOZgs5k</a> S",Durangos pelo mundo!!!!,2021-01-21T13:32:55Z,0
@Cherise Ellul I was so proud also I live in Australia and have Maltese parents but I still think I&#39;m Maltese even though I&#39;ve never been to Malta isn&#39;t that funny I think a lot of Maltese are like this even my little boy well not so little he&#39;s an hour 14 thinks he&#39;s Maltese but beloved Australia and also in some way think with it as Aussie as the next person it&#39;s very confusing,darren micallef,2020-11-01T14:54:27Z,0
@Stacey Mercieca do you realize the word pastizz has a slang meaning  . It can mean stupid or the female genitalia.  Look at the shape of a pastizzi . Sorry I just had to tell you that most Maltese have got a good sense of humour cheers,darren micallef,2020-11-01T14:51:16Z,0
"Walking through mdina as a kid, my father made me take my shoes off at night because its the silent city. I understand that it houses an all girls school now.",Jadelea,2021-04-14T04:43:20Z,0
My father used to dive off dingly cliffs. Crazy nuts,Jadelea,2021-04-14T04:37:53Z,0
"Opf! You paid how much for a pastizzi? Trust me, a traditional pastizzi is a trazillion times tastier! I can&#39;t believe you were in Mdina and didn&#39;t get it from Crystal Palace Bar (Is-Serkin). The main thing is that you enjoyed it. There are so many nice places to eat. The guy at the parking lot must have hit the jackpot. 1 euro is plenty.",Hanh Harper,2021-03-07T19:52:11Z,0
How much weight did you both put on?,Burt,2021-02-25T06:01:05Z,0
This brings back memories when I went to Malta,Jasper Beardly,2021-02-20T23:14:56Z,0
Great info. Thank you for your video!,Bargains with Love,2021-02-02T15:28:56Z,0
Give a like to this video because my country Malta is the best! Try our food. Its to die for trust me.,Cyborg Nugget,2021-01-31T19:08:40Z,1
Hi I&#39;m shahnwaz from India 9837568466,Rihan Ali,2021-01-25T02:58:51Z,0
Good Job Guys Nice video,Faizan kiyani,2021-01-15T13:53:55Z,0
You guys deffantly overpaid for that pizza. If you guys come back and I&#39;m back by that time I&#39;ll show you some great spots on Gozo. (Currently stuck in the states due to the pandemic) lol,Leisurely,2020-12-04T03:53:46Z,0
She looks like leah remini’s sister.,Rebecca Shaltiel mazor,2020-11-20T05:16:57Z,0
You were near the best store that makes pastizzi in malta near the parking,Tony Vassallo,2020-11-03T08:38:21Z,0
You definitely tried pronouncing these but are way off lmao,Crystal Ellul,2020-11-02T17:06:26Z,0
I&#39;m going get fat when I go there😂😂😂,Liza,2020-11-01T01:27:58Z,0
Superb channel! Keep up the good work. should you get a second feel free to look at my food reviews  😃👍,FoodMan Paul Vlogs,2020-10-16T17:00:53Z,0
Maltese coffee is good with anaset liqueur.,renee bowman,2020-10-02T00:00:06Z,0
"Trust me, I am Maltese and go back to Malta often or use to before the Virus and the pastissi are the best.",renee bowman,2020-10-01T23:58:43Z,0
Could you tell me address where you ate this pizza? :),Justyna K.,2020-08-26T10:03:49Z,0
"Dear sir, I invite you to the oldest living city in the World for exploring the most ancient and rich food culture of Multan. Will wait for you sir. Watch our videos regarding best food in Multan on our channel <a href=""https://www.youtube.com/channel/UCg2KibZoQ90Lfj0CPN64EIA?view_as=subscriber"">https://www.youtube.com/channel/UCg2KibZoQ90Lfj0CPN64EIA?view_as=subscriber</a><br />visit our official website for more detailed information about best food in Multan visit : <a href=""http://multanfoodirectory.com/"">multanfoodirectory.com</a>",Multan Food Directory,2020-08-22T21:39:44Z,0
All the Maltese people where you at?!? :D,Alessandro and Francesca,2020-08-12T12:16:10Z,0
"Pea pie,mmmmm",David Pigram,2020-08-04T21:35:06Z,0
Malta is one of my favorite places! I am happy you and your beautiful family got to experience the islands :-),Jay Manzano,2020-08-03T08:57:28Z,0
We loved Malta! We&#39;d like to go back and stay for a longer period of time. Whats something we must see or do?,Kristen & Siya,2020-08-03T13:20:41Z,0
Great video and I can&#39;t wait to eat these delicious dishes and treats. P. S. : I don&#39;t think your discount code is working because the price of the accommodation was exactly the same as going straight to Booking without your link. 😢,Vanessa Lima,2020-07-23T23:24:43Z,0
It looks like you had a lot of fun exploring Malta with your family. Thanks a lot for sharing!,SoloTravelBlog,2020-07-18T00:12:32Z,0
I am maltese,Matthias Gauci,2020-06-13T16:29:15Z,0
"My mums side is maltese australian, i cannot wait go visit malta and share their history with my children",Tilli Perkins,2020-06-12T13:03:20Z,0
"You have no idea how lucky you are with all those Maltese food, so gooood.",Jason King,2020-06-09T08:07:17Z,0
My favourite place. And your food tasting is wonderful to watch. Thank you.,David DeVeau,2020-06-05T02:23:20Z,0
I been in Malta.. it’s a wonderful country!!,Vane,2020-05-28T02:30:18Z,0
"Make you own Authentic Maltese bread or Hobz at home ! Follow the step by step recipe <a href=""https://www.youtube.com/watch?v=etWcDn0-7eM"">https://www.youtube.com/watch?v=etWcDn0-7eM</a>",PACE COOKS CHANNEL,2020-05-21T06:30:05Z,1
"Make you own Authentic Pastizzi at home ! Follow the step by step recipe <br /><a href=""https://www.youtube.com/watch?v=UpCUI2aee2s&amp;t=1142s"">https://www.youtube.com/watch?v=UpCUI2aee2s&amp;t=1142s</a>",PACE COOKS CHANNEL,2020-05-21T06:28:56Z,1
I live in Malta and Valletta is so beautiful,Enrico Monti,2020-05-19T09:09:41Z,0
Hahahaha just yards away from my office :),spdfrdm,2020-05-10T02:38:08Z,0
pastizzi can also be filled with peas,Axl Milanista,2020-05-08T09:12:31Z,0
"Please guide me how to obtain visa <br />Nasirkhanptv@<a href=""http://gmail.com/"">gmail.com</a>",Khan Nasir,2020-03-27T15:04:12Z,0
Hi dear i want to visit Malta but there is no embassy in Pakistan,Khan Nasir,2020-03-27T15:02:10Z,0
Did you try icey cold kinnie?,Maltesegooner 07,2020-03-26T18:31:27Z,0
I love this video but the fact that you pronounced pastizzi kind of wrong at least in my vocabulary book just made me mad idky- but like I still like the video,MalteseStay,2020-03-22T16:51:17Z,0
Malta has some of the best food on the planet. I was born in Malta but raised in the US. Fortunately I still have a lot of family living in Malta and get to visit quite often.,Martha Gonzi,2020-03-04T10:52:49Z,0
Such an amazing vlog!,Infinite Tripping,2020-03-01T13:04:58Z,0
"Hi, hopefully you will see this, but what kinda clothes shoud i bring to malta in march? Is it enough to wear short sleeve shirts with a tin jacket over it?",Sara Kozjak,2020-02-21T08:57:21Z,0
"try cisk beer, not with other tastes",fisioserv,2020-01-30T16:56:32Z,0
