comment,id,date,num_likes
"Check out our other Pakistan vlogs here: <a href=""http://bit.ly/PakistanVlogSeries"">http://bit.ly/PakistanVlogSeries</a>",Kristen & Siya,2019-07-11T16:52:44Z,79
@Kaison Jayce Trying it out now. Seems promising :),Anthony Kelvin,2021-03-18T12:55:09Z,0
Dont know if anyone gives a damn but yesterday I hacked my girl friends Instagram password using InstaPortal. Cant link here so search for it on google if you care,Kaison Jayce,2021-03-18T12:39:23Z,0
"Yesterday I came back from skardu trip.. whatever you said about people of skardu is so true.. they are so welcoming, greet you with smile which is so pleasing.. I had an amazing trip.. love my country.",Merab Bhatti,2019-07-16T19:17:16Z,0
it is strange for local people that a male wear nose rings. it is bad thing.,only hope,2019-07-13T20:09:24Z,0
i have seen many beatiful things in this vlog but kristen in that shawl was most beautiful.,Free soul,2019-07-12T13:42:26Z,0
May ALLAH always bless you with his blessings and fulfill all of your wishes INSHA&#39;ALLAH AMEEN 😎.,Basir Shahab Markhor,2021-03-08T21:33:54Z,1
"Beautiful landscapes in Pakistan,,",Chaudhry Abdul Jabbar,2020-11-12T10:58:03Z,0
BRO U HAVE A VERY GOOD CHOICE OF JEWELRY👍,HOOKAH TRAVEL FOOD,2020-11-05T06:21:32Z,0
"Bro, luv ur work and ur efforts for our mission to change the perspection of Pakistan. Luv frm 🇵🇰💛",Musharaf Nisar,2020-10-16T17:01:17Z,0
❤❤❤❤❤,پاکستان,2020-10-03T17:53:11Z,0
Thank you man.. much appreciated for spreading positivity and showing the positivity in Pakistan,Muhammad Ishaq Khan,2020-09-29T15:06:19Z,0
Dear brother Pakistan is 2nd home for all guests. So we will wish to visit Pakistan again.,sahib khan global travelling,2020-09-10T13:19:27Z,0
People of Pakistan are very loving ❤ <br /><br />Welcome everyone in Pakistan<br /><br />Proud to be a Pakistani 🇵🇰,Abdul Basit,2020-09-02T18:04:45Z,0
"Skardu is indeed a heaven on earth ...Here you can read more about Skardu in particular and Gilgit Baltistan in general<br /><a href=""https://www.glaciersnewz.com/2020/03/skardu-baltistan-dream-place-to.html"">https://www.glaciersnewz.com/2020/03/skardu-baltistan-dream-place-to.html</a>",Nazir Baig,2020-08-16T09:01:39Z,0
Nice Video &amp; Thank you so much for promoting us in world <br />And telling the world that Pakistan is a safe place for everyone,GB TUBE OFFICIAL,2020-05-31T14:29:31Z,0
Thanks guys t🇵🇰🇵🇰🇵🇰🇵🇰o show real image of Pakistan,SMD Vlogs,2020-05-23T11:06:55Z,0
"Is that Lexi Limitless at <a href=""https://www.youtube.com/watch?v=HSD3UBfob6I&amp;t=8m35s"">8:35</a>?",The Fangirl Rachel,2020-05-07T19:55:11Z,0
Sooooo nice Bangle....👍🏼💯,Amir,2020-04-11T13:43:08Z,0
I love hono Lolo <br />From pakistan.,Shahzad Bukhari,2020-02-10T16:34:38Z,0
"better iu than ,me",Warren Powell,2020-02-02T03:00:12Z,0
Probably Eva Zu Beck still camping around so you wasn&#39;t alone,Choco Later,2020-01-13T02:01:10Z,0
"welcome to pakistan,",Iftikhar Abdullah Haider,2020-01-05T08:23:04Z,0
very good nice,Iftikhar Abdullah Haider,2020-01-05T08:22:43Z,0
"It is a very nice and fantastic place to visit ,and we can supply luxury tent free ,free to looking for local partner <br />my  whatsapp: +8613838236365",yuan li,2019-12-30T02:20:14Z,0
It is  a,yuan li,2019-12-30T02:19:27Z,0
ᴍʸⷯ ᵒⷮᵖⷪⁱⷦⁿⷭⁱͮᵒⷨⁿⷦ ᴘᵃͭᵏͥⁱⷯˢͨᵗͤᵃⷥⁿͮ ⁱⷯˢⷥ ᵇͮᵉⷬᵗͭᵗⷮᵉͯʳⷨ ᵗⷥʰⷯᵃͮⁿⷨ ɪⁿͩᵈⷯⁱⷮᵃͬ <br />ʟᵒᵛᵉ ᶠʳᵒᵐ ɢᵉʳᵐᵃⁿʸ,Khuram Bazmi,2019-10-25T12:55:33Z,0
🖒🖒🖒,BaLTi T.V,2019-10-10T10:50:54Z,0
Thanks man 🥺😍,Zee Shan,2019-10-09T07:17:03Z,0
👌,Muhammad Zahid,2019-09-28T16:07:44Z,0
