comment,id,date,num_likes
May ALLAH always bless you with his blessings and fulfill all of your wishes INSHA&#39;ALLAH AMEEN. 😎,Basir Shahab Markhor,2021-03-12T21:02:54Z,0
You said it right! Pakistan is blend of different cultures and that thing makes it unique🇵🇰,Iqra Shah,2021-03-03T18:50:33Z,0
مردم Hunza تاجیک پارسی زبان هستند,سعید محمد تاجیک خراسانی,2021-02-11T12:36:58Z,0
Funny modeling nice,Sunny Mkwa,2021-01-18T10:23:26Z,0
they don&#39;t drink wine,Aimal Khan,2020-12-29T23:41:15Z,0
"Nice 🙏🙏🙏👇👇👇<br /><a href=""http://www.youtube.com/results?search_query=%23farmanvideography"">#Farmanvideography</a>",GB Tube PK,2020-12-03T21:33:32Z,0
"My name is Areeb and I can arrange tours for you. If anyone is looking to visit Pakistan, contact me on my<br />number: 03312577131<br />or email: areeb.ahmed44@<a href=""http://yahoo.com/"">yahoo.com</a>",Areeb Ahmed Shariff,2020-11-23T08:43:21Z,0
Pakistan have most beautifull places in the world Pakistan Zindabad Pak army pahindabad,Nawab Zada Lucky,2020-11-03T16:12:26Z,0
bageyadr khan,Aamir Nawab,2020-10-28T14:46:43Z,0
"start mn itni khaufnaaq pic dekhai is muchh wale bnde ki is ko delh ker to dar se koi bnda wahan nhi aye ga,bhai positivity dekhao janwer numa darinde na dekhao agr tourism chahte ho to",Aamir Nawab,2020-10-28T14:45:37Z,0
Little bit of indian 😂,j jose,2020-10-26T01:05:49Z,0
48 dislikes could be from dungeon crabs,Ayaz Ahmed,2020-10-21T13:09:55Z,0
Mah-sha-Allah..&lt;3,Saad Mohammad Jakaria,2020-10-21T07:44:19Z,0
Why are u disrespecting our Cup&#39;s. Who the hell are u..?.. doing this ?.,Zuhaib Khan,2020-10-17T11:52:22Z,0
that hat fight was actually good,Ali abbas,2020-10-12T14:28:20Z,0
That was one beautiful description of our homeland... You must visit astore too,Arslan Haider,2020-10-04T00:08:05Z,0
fantastic,Karim Iqbal,2020-10-02T17:56:08Z,0
Me and my friends went to Hunza last month for the very first time. Such a beautiful place and amazing people. I surely left a piece of me in Hunza. Miss that place badly.,Inam ur Rehman,2020-09-30T20:59:22Z,0
"<a href=""https://www.youtube.com/watch?v=IS71sYGRr_Y&amp;t=4m35s"">4:35</a> to <a href=""https://www.youtube.com/watch?v=IS71sYGRr_Y&amp;t=5m10s"">5:10</a> made my day.",Kaiser Khan,2020-09-25T15:15:40Z,0
what are you doing with our head,khan shahab,2020-09-21T12:41:20Z,0
