comment,id,date,num_likes
Great great video guys.. hey were did you get those black bead necklace you were wearing in this video?? I have too know thanks,Freedom,2019-07-19T01:53:36Z,0
The ring looks like some sort of insect...I&#39;m so confused😅,Cecilia Baldi,2019-06-30T12:35:34Z,0
It’s definitely not a purity ring!! 🤣,S M,2019-06-18T06:02:42Z,0
Cutest proposal story ever.,Naturally Mermaid,2019-05-27T14:48:09Z,1
"This one time, we were traveling with some awesome peeps in the jungles of Guatemala and came across a cave. 😉 A Mayan family was selling some handmade jewelry pieces made out of coconut shells that matched the symbols from the Mayan calendar. They helped us determine which symbol represented each of us based on our exact birthday and we each bought a necklace. We also bought some Pounamu during our time in New Zealand. Brittany wears hers all the time! It was fun watching you guys share your jewelry and your stories! 💕",WorldWideWakleys,2019-05-25T09:58:20Z,0
"Hello! Your pieces are awesome, glad you treasure them and related to your experiences. I would like to mention that the cocaine necklace it&#39;s not called cocaine, it&#39;s a coca leaf. Cocaine its the drug (made with a whole lot of chemicals, being really not much of the plant on it). The leaf by itself, in its natural state, has been use for ages mostly as an energy tea/drink/gum (like coffee). Also, that red and black seed from the amazon you mention its called Huayruro, used on jewelry as a token of protection and good luck. Hope you guys get to collect so many more cool pieces!",Infructuosa Felicidad,2019-05-13T02:08:45Z,1
« Organic looking » is also what I’m mostly attracted to:)) and I love that Aztec calendar ring! I’ve also been really attracted to it:),holisticmaya,2019-05-09T14:51:44Z,1
"I love collecting jewelry when I travel! I have a pair of amber studs from Poland and a sparkly silver ring from an antique shop in Stockholm. I also had an amber ring from Poland but the amber fell out of it :( <a href=""http://www.thatgirlaway.com/"">www.thatgirlaway.com</a>",Allison B,2019-05-06T22:38:46Z,0
Hello.. Im from Pakistan just found you here.,thismustafa 1,2019-05-05T18:14:48Z,0
"❤️ fun video, I love wearing things with specific memories also :-)",Nena Lavonne,2019-05-05T11:46:31Z,0
Looks like oral sex to me.,Emily Mosley,2019-05-04T15:52:39Z,0
Vagina maybe? Also I need more info on this secret place with the medallion lol so sweet and lovely treasures. 😘💕,Megan Taylor,2019-05-04T04:16:01Z,1
"No idea if it would be something for you, but did you know you can get jewelry made with your own (solidified) breast milk?",npigwnl,2019-05-02T19:21:08Z,1
Good morning guys🌞 hope you are doing well💛!!,armywife1-4,2019-05-02T14:25:41Z,1
"At first I thought this was going to be you announcing your own jewelry collection (which would be cool) but this was so much better! Loved your memories incorporated with each piece. It&#39;s inspiring me to look more closely at jewelry while traveling. I&#39;m off to Morocco, Egypt, Jordan and India later this year so I will definitely be paying more attention, because I love this!",Courtney K,2019-05-02T12:31:36Z,0
