comment,id,date,num_likes
Which of the 24 travel beauty hacks is your favourite?,Kristen & Siya,2019-01-13T16:09:31Z,2
"My favourite beauty hack is bring your own silk pillow case, I’ve never done that but I’m totally going to do it next time I travel. I always make sure to bring a few zip lock bags.<br /><br />Please do more travel beauty videos! ❤️",Lana Sa,2019-01-23T10:29:06Z,0
Kristen &amp; Siya i love removing my makeup with coconut oil! And I love your tip about straws and jewelry,hollihuckleberry,2019-01-14T07:27:03Z,0
"<a href=""https://www.instagram.com/director_germain/"">https://www.instagram.com/director_germain/</a>",TOP GOSPEL TV,2020-05-09T00:41:48Z,0
"Ironic how in the beginning she talks about waste and the environment with the travel size plastic bottles. But then goes on to encourage single use plastic with sandwich bags, plastic wrap covering the bottles to prevent leaks...and tin foil to wrap the makeup brush🤔",Monica B,2019-08-14T03:10:27Z,0
"24. Curl your eyelashes with your fingets<br />23. Get a refillable perfume bottle<br />22. Get some coconut oil with you (body moisturizer, make up remover, hair mask)<br />21. Get a hat (or 2)<br />20. Bring lots of hair elastics<br />19. Use lipstick as blush<br />18. Get free samples from Sephora<br />17. Ditch the travel size products, they are bad quality. Just get your normal products, but put them in smaller containers<br />16. Dry shampoo, cause ain&#39;t nobody got time<br />15. Face masks for the plane<br />14. Use cotton pads in your compacts to avoid breaks<br />13. Use plastic wrap over bottles<br />12. Pack a slick pillow case<br />11. Peppermint tea<br />10. Use plastic straws to organize your jewelry<br />9. Ziploc bags<br />8. Wrap your makeup brushes in tinfoil<br />7. Put eyeshadow on Q-tips<br />6. Coffee grinds to exfoliate<br />5. Tea tree oil (😍)<br />4. Lavander oil<br />3. Paper bag as a blotter<br />2. Pill container for jewelry organizer<br />1. Binder clip over razor",Κίκο,2019-04-06T16:13:17Z,0
"<a href=""https://www.youtube.com/watch?v=O_-FcZ5HR4E&amp;t=2m45s"">2:45</a> that blush tho i don&#39;t even get that pink when my crush is around",Maripoza,2019-03-24T12:08:40Z,0
Hmm not necessarily agree about the eyelash curler tip cuz my eyelashes are very straight so the finger thing doesn’t work for everyone heheh,Sama _a,2019-03-19T12:24:19Z,1
What brand of dry shampoo do you use?,Yarina Bidnyk,2019-03-05T02:54:35Z,0
i just found your channel &amp; i love it!!! ive travelled to many countries with my mom since i was born and i find your channel so interesting and informative,jinsoul,2019-02-28T03:58:13Z,1
"Love this, so helpful! Luckily, I wear zero makeup 99% of the time, so I save so much space and hassle.",Cassie Miller-Iozzia,2019-02-27T02:07:13Z,2
"Oh I love Lush’s dry shampoo - and I’m a hairstylist! I’ve tried many. It’s better for you, the environment and you can put it in a mini bottle to bring with you. Lasts MUCH longer than aerosol - I used to buy aerosol ones every 3 months. My lush one lasted 2 years. And where it’s powder and I can control it, the staying power of the dry shampoo lasts!",Luba Alanna,2019-02-18T15:41:47Z,1
"Also! I agree, pack the peppermint tea ! I also bring lemongrass. Soothes me",Luba Alanna,2019-02-18T15:42:43Z,0
how do you carry coconut oil on your travels? it tends to leak in mine due to the solid to liquid nature of the product...,Mylene Barry,2019-01-23T01:18:21Z,0
"Love these hacks Kristen! I totally agree with using refillable travel containers to fill up with your skincare or cosmetics. Can i also suggest makeup brush guards instead of tinfoils. You can find a pack of 20 on ebay and they&#39;re quite cheap. Just imagine socks, but for makeup brushes. xx",Jonina,2019-01-17T13:00:15Z,1
Oooo love this! Thank u for the tip,Kristen & Siya,2019-01-17T17:15:39Z,0
