comment,id,date,num_likes
I watch this video one year ago and it changed everything,Aleks Rocha,2021-04-06T01:52:33Z,0
I’m newbie to reduce plastic .. and  your channel is very inspiring .. thanks <br />Love from Indonesia,Mutiara Dompas,2020-12-04T16:08:52Z,0
"I&#39;m commenting on this a year too late -- I&#39;ve been packing a backpack in part of wanting to solo travel once restrictions are lifted in the country I want to go backpacking in (Norway). Although my backpack isn&#39;t completely zero waste (I&#39;m still bringing a few things like baby wipes just in case I can&#39;t take a shower for whatever reason), I&#39;m still proud that it&#39;s closer to low/zero waste!",Anna Nelson,2020-11-02T23:55:34Z,0
Awesome video! I think you’d appreciate our videos too! Please let me know what you think and please have a blessed day! 😁💫,ForeverFarnsworth,2020-10-14T10:32:10Z,0
"I HIGLY recommend period pants! I have tried reusable pads but personally felt them being too loose and it didn&#39;t feel uncomfortable. With moon cup I tried too, as thats brilliant idea but it felt painful for me. I may retry some point, but I absolutely love period pants! I have set from Thinx and they are fantastic. I actually tried some bought from UK (I live in Scotland) but they were nowhere as comfy and snuggly as Thinx, so even the extra custom tax I need to pay and their cost being high I think they totally worth it. I have usually one day of super heavy flow and most times they are alright (the hiphuggers or boyfriend shorts) sometimes I would need to change during a day to another pair. But also I have had best and most relaxing period sleep with Thinx, never happened with pads or anything else. There is no leaks and they do not feel groos or wet at all. Absorbtion is great. They also don&#39;t smell, well period blood overall doesn&#39;t smell anyways. I have had my pairs now for few years and cannot imagine living without them. I have set which last me my whole period, so I also traveled with them in Nepal which was great. Then washed them in bathroom and left to dry. Also I would lastly add that most bleached tampons and pads have chemicals which often make period crumps worse. As your vagina will absorb it (skin is the larges organ afterall). So it helps with many things. But anyways if you like mooncup or reusable pads thats cool too, its totally personal.",Arleta BW,2020-08-15T14:36:24Z,0
Wow! Never heard of blendjet but looks well cool. Already on my list &#39;to buy&#39; :),Gracja Malinowska,2020-08-14T21:21:11Z,0
Can yoy have that blender on carryon?,malazkm 2010,2020-06-07T13:33:56Z,0
"<a href=""https://www.youtube.com/watch?v=S3a6_MLhaZM&amp;t=1m53s"">1:53</a>",Hisoka x Illumi,2020-05-05T15:56:17Z,0
"I&#39;ve never seen a travel blender like that - I assume you can only do smoothies in it? I just wanted to share that I just recently learned that the bamboo utensils and straws etc are treated with formaldehyde - and they apparently rot fast - so glad I didn&#39;t buy a bamboo spork now (I so wanted one for the longest time). Thanks so much for sharing all these tips! I think I&#39;ve pretty much made all those swaps you shared. Your enthusiasm is great and I hope everyone starts to realise that it&#39;s not a big deal to just use cloths for all the cleaning and wiping up chores that live brings and washing a couple extra things isn&#39;t a big deal. At the end of the day, it&#39;s just about making healthier choices because every healthier so we make for us all by extension always be healthier for the planet too. Cheers. :)",Mony's cell,2020-02-26T10:27:39Z,0
Are metal straws and metal forks and spoons allowed in carry ons? I’d hate for someone to pull them out and inspect them.,Aimi Lam,2020-02-18T21:19:16Z,0
I can make it myself. Just got instructions from Avasva website and I&#39;m ready for do it :D,Laticia Cull,2020-02-02T22:33:12Z,0
Thrift shopping ! It makes a big impact on my wallet and the planet. All my clothes are thrifted besides some accessories,Cacy Lyon,2020-01-13T10:27:51Z,4
so the water to wash reusable stuff doesnt offset the use of multiple plastics? i&#39;ve always wondered about that,zaizeleiful,2020-01-11T17:54:23Z,0
"I took. Mason jar, and at they made me throw it away because it was made of glass (a weapon for them) 🤦🏻‍♀️🤷‍♀️",La vida De Oyuki,2020-01-03T20:25:45Z,1
I&#39;m no longer using a plastic straw.,Jash Family,2019-12-24T08:47:11Z,0
"You can carry a mason jar with ingredients on your carry on? Really? If so, that&#39;s a game changer.",Laura L,2019-12-18T05:42:28Z,0
"I work with scientists and explorers who spend a lot of time WAY off the grid. We use the Steripen - and it really works! <a href=""https://www.backcountry.com/steripen-steripen-adventurer-opti"">https://www.backcountry.com/steripen-steripen-adventurer-opti</a>",Deb Castellana,2019-11-12T22:57:11Z,0
"If you fill up a glass jar with food for the plane, can they confiscate it like they do liquids? Did you ever have a problem? New to your channel. So informative. Your so funny! 🥰",Lily Of The Valley,2019-11-10T16:24:24Z,0
"We are a senior Canadian couple, travelling direct from home on economy to the west coast of Canada soon.  It&#39;s about a 5 hour flight.  We want to stay healthy on our flight, and economize.  Can we actually bring snacks aboard a domestic flight?  What can you recommend?   I thought I might pack some tea bags, oatmeal, granola bars that kind of thing. Any other recommendations?  Been following your youtube channel for a while, and if I could offer YOU some chocolates as a thank you, I would!  You seem to have the know-how on this info, so hoping you can help?  No pressure!  LOL!",Pam Murphy,2019-10-18T21:49:09Z,0
I don&#39;t really like straws at all i just drink from the cup. Lol. But am glad there are options for people. Also thanks for the tips.,Rhyme R.,2019-10-05T22:30:37Z,0
I saw clips of the turtle video and Immediately started crying and i got sooooooo  sad that people are doing this to our planet the beautiful animals that did not do anything to harm our earth and people !!<br />PLEASE DO YOUR PART AND SAVE THE EARTH,Julia Lopez,2019-10-03T03:04:25Z,1
Beautiful video! I love all your tips and your passion for reducing waste ❤ Thank you so much for shearinggg!! 😍,Katey Johnson,2019-10-02T20:06:25Z,0
"I am so enthralled to be talking to you right now. As I am sure you know the world is in great peril and I was wondering if you wanted to be part of the solution.  <br />The enzyme comes from a bacteria, Ideonella sakaiensis 201-F6, which was discovered in 2016 by Japanese researchers, who subsequently found that it could completely break down a thin layer of low-quality plastic within six weeks. Structural biologist John McGeehan and his team have now taken that enzyme and genetically engineered it so that it can begin the process in a matter of days. That kind of discovery is cause for excitement: It takes centuries for polyester, scientifically known as polyethylene terephthalate or PET, to degrade naturally.<br />Waxworms- The secret was in the worms’ ability to break down beeswax, which contains some of the same chemical bonds found in polyethylene. Since then, researchers have been working to harness the enzymes found in their digestive system in hopes that it can degrade the millions of tons of plastic in our landfills and oceans. Exactly how remains hazy, though one idea that’s been floated is to spray the piles of trash in the ocean with the bacteria or the enzyme, and let them do their work.",brianna mcmahon,2019-09-14T20:12:43Z,0
how many oz are that mason jar hun ???,SANDY_DIGITALS,2019-09-01T22:53:09Z,0
It is very sad that everybody is talking about the waste reduction. Just because we can see it. What we don&#39;t see is the air poisoned with CO2.,mc Jake,2019-08-17T16:52:44Z,0
"the day bag that’s in your video doesn’t match up with the day bag link you put in the description. could you updated it please? i really like the black bag you showed us. or what brand is it, and i could look it up and find one. i just REALLY like the one you like! ❤️",Mariana,2019-08-05T01:43:42Z,0
I love those reusable rubber/silicone (idk what material)“ziplock” inspired bags that I’ve seen popping up everywhere. They are so cute and cool and they are great for travel! You can order them on amazon!,Taylor Elaine,2019-06-30T00:53:49Z,3
"Amazing video! I need to look into the lush body products, I have the shampoo bar and conditioner. 😊 My first switch was definitely a reusable grocery bag!",Rockin' Vegan,2019-06-28T13:02:20Z,0
"I enjoy your channel,Kristen, since I will be a first time solo carry on only traveler at the sweet age of 63. You have some great info to share ❤️🙏You asked what changes i have made towards zero waste. Your video touched on bar shampoo and conditioner. I have long hair and I have been using local handmade soap for my shampoo and have found I need very little, if any, conditioner. No sulfates and all natural. I love how my hair feels and I don&#39;t have to wash it as often...win win.",Lauren Baccus,2019-06-17T00:38:43Z,0
"I gave my BFs mom some of those beeswax food wraps for Christmas last year. Should get some for mom.<br />I&#39;ve been wanting to get some on the go cutlery/straws and a bamboo toothbrush. I was just looking up places to buy them that&#39;s nearby.<br />I like using the lush shampoo bars. I tried a different kind first, but my hair works better with how lush makes them.<br />I heard there was something to replace parchment paper for baking trays: like a reusable type. <br />The diva cup works great for me~<br />Ah, I use reusable bags to shop for groceries.",Alykia,2019-06-15T15:59:20Z,0
Looking for the same spork as you bc it has a case. But the link goes to a different type. Do you have the link to the exact one you have?,LADYmoses,2019-06-09T18:42:53Z,0
I just checked the link and it goes to the same one I have. What&#39;s it showing you?,Kristen & Siya,2019-06-09T19:28:33Z,1
Ditch straws.  Normal healthy<br />people do not need them.  Just<br />simply drink directly from the <br />glass or cup.  Even smoothies.<br />But we can also eat whole fruit.<br />We have teeth to chew.,1 11,2019-06-06T20:30:56Z,0
@1 11 yes :( over consumption and unsustainable methods of consumption are one cause of the environmental issues we have,Emma,2019-06-06T21:34:15Z,0
@Emma Absolutely.  Plus many<br />other products.,1 11,2019-06-06T21:19:30Z,1
"It&#39;s not just the straws, the takeaway cups we get are also to blame",Emma,2019-06-06T20:53:32Z,0
"This is wonderful, Kristen! I love how honest you are. Also how you make reducing waste into a fun game :D",Nina Forsyth,2019-05-28T02:38:28Z,2
"Great video. I think it&#39;s awesome that you made a video about this. I am very interessted in Zero Wast and already did a some changes that both reduce waste and also saved me a lot of money already. The best one is actuelly to start drinking tap water. I always take a glass bottle filled with tap water to work and even at home I nearly only drink tap water. It&#39;s way less expensive, more convinient and better for the health of both the enviorment and me.<br />Besides that I am also using soap and shampoo bars since quite a while now and I am really happy with them. Also when it comes to traveling these are much lighter which is a great thing as well.<br />There is more but I don&#39;t want to write down everything! Thanks for making such a video because it&#39;s so important!",Angi Snowflake,2019-05-18T19:59:50Z,1
