comment,id,date,num_likes
"Here are our baby travel essentials: <a href=""http://bit.ly/BabyTravelEssentials"">http://bit.ly/BabyTravelEssentials</a>",Kristen & Siya,2019-02-22T22:05:15Z,78
I&#39;m also planning for a trip with my 4 month baby. Is it safe to travel with such a small baby? What precautions I have to take and does there any ear pressure for the baby in the flight?<br />Please help me,saumya keshari,2020-01-04T15:03:37Z,1
@Kaitlyn suggestion doesn&#39;t mean that you have to use it. You use it at your own risk and only you are responsible for that,Sophie Alcott,2019-06-21T21:27:33Z,0
So you’re going to suggest a dangerous item and when someone uses it and their child is harmed or killed they can put a lawsuit on you. THE CARSEAT COVER WASNT MADE FOR SEATS ITS DANGEROUS AND CAN EJECT YOUR CHILD FROM THE SEAT.,Kaitlyn,2019-06-19T16:04:52Z,0
Nic Nico they did say they have never flown with a baby before.,Amy Ahlquist,2019-03-09T23:27:47Z,0
Why the 🐕 pads instead of the baby pads.<br /><br />Why did you not bring a cool in order to put the milk in with ice packs.<br /><br />Does the case for the car seat and stroller comes with it when buying it or is it from the airport.,Nic Nico,2019-03-04T19:45:13Z,1
That is one calm baby!,Julia Guimarães,2021-04-26T14:09:33Z,0
"Nomads pregnant with our first...and very unsure of how this whole travelling with a baby will be! This was helpful, saving it for future reference :)",lindsay J,2021-04-24T18:26:01Z,0
Thank you for such a great vlog!! This is exactly what I was looking for to help me understand what I would be getting myself into with my daughter. You&#39;re a beautiful family. Bless you all.,Sums H,2021-04-22T08:30:57Z,0
"That’s a neat baby carrier that hooks on the wall in the airplane, never seen such a thing. Great vlog! Thx&amp;see ya😁",Reb Ruc,2021-04-11T04:54:29Z,0
Thank you very much for this video,manoj kelum,2021-03-28T01:30:08Z,0
"I cant decide between the bassinet on the plane or a.carseat for my 3 month baby...traveling internationally with 5 kids, 5 and under....what do u think? My 1 year old will be a lap infant with my husband ...idk what to do",Ariel O,2021-03-25T23:54:06Z,0
I’m watching your video because I’m planning a trip to visit my parent in Italy. I’m from Toronto too.<br />Your baby is so chill! Hopefully mine will be like that too. I’m traveling by myself.. it’s going to be a challange 😥,Maria Vittoria Ng,2021-03-22T22:02:38Z,1
You got this mama!!! How old is your baby? Try traveling around the time your baby sleeps the most. Ask for one of these bassinets too. That will help u also get some sleep.,Kristen & Siya,2021-03-25T18:26:09Z,0
"I have a question, how baby formula milk is allowed specially it&#39;s 12 hour flight.",shivam priya,2021-03-16T18:35:56Z,0
Just what I needed,Liliane TV,2021-03-16T14:12:33Z,0
"I always wonder why every baby are so adorable!, and till this day I am still trying to figure it out!.... but I know why cause they get from there mama!",Dafne Torres,2021-03-07T02:09:07Z,1
Hi can you please tell me if we can carry a diaper bag for free? Just like we carry a handbag?,Kokab Shah,2021-03-04T02:04:20Z,0
We don’t even have a baby yet and here I am 😅,Rel Rellz,2021-03-01T03:16:16Z,0
Does anyone know what airlines offer that bassinet thing?,Andrew T,2021-02-15T22:06:22Z,0
"This video really helps me a lot.  I&#39;ve been checking for a few days about what am I allowed to take on the airplane.  But everyone says different things. I think we are going to fly with our baby at about 4 months old too,  (though it&#39;s still too early for me to say that because she will be born in July.) But I got all the information I wanted,  thanks so much!",Yang Xiaoyu,2021-02-09T11:02:24Z,0
"So we plan on traveling with our 3 month old and it’s a 9 hour flight.. super nervous. <br />What documentation’s did you have to have for her?<br />We only have her social security card, not her birth certificate yet.",kelsey barnes,2021-02-01T20:24:03Z,0
Kristen &amp; Siya<br />MY  WIFE JUST HAD A NEWBORN BABY GIRL <br />KATE WOULD NOT STAY IN HER CRIB  AT ALL EVERY TIME I PUT HER IN SHE CRIES AND KATE IS BREASTFEED,Jun Xue,2021-01-10T03:22:27Z,0
Where did you get the bed for the baby in the plane?,Thanwarin Carroll,2021-01-06T18:51:41Z,0
Baby harassment,japanese girl ・,2021-01-02T11:36:19Z,0
So hi new favourite channel!!!,Karie Weetjewel,2021-01-01T14:47:19Z,0
did u arrive at Heathrow airport?,lottie,2020-12-22T20:40:56Z,0
Why the areoplanes dont have a room for  babies and mother or parents with children between 1 month to 4 years. So no get disturbed anx look at u as a bad parent look. I want this to be made. If u can have showers then u have make this too. Greed is enough hope covid taught everyone to be compassionate.,Kenden Bhutia,2020-12-20T07:15:02Z,0
"Well, you guys proved everyone wrong! I feel like all the “brave” comments are unnecessary",travelbug,2020-12-14T21:03:13Z,0
Wow what a good baby Kai!!!,travelbug,2020-12-14T04:47:55Z,0
"<a href=""https://youtu.be/U0hhoQ6y09U"">https://youtu.be/U0hhoQ6y09U</a>",Tulika Shukla,2020-11-08T09:18:34Z,0
"Traveling with a baby is a breeze compared to a toddler! It was so bad, we had to give her Tylenol and I got some of these lavender drops to calm her. We traveled again, and left her with grandparents and went with our 5 month old and that was so easy especially with the Doona! Highly recommend !",Aisha Zee,2020-11-08T01:42:35Z,0
every man talks like that [why]?,nisha,2020-11-03T08:03:28Z,0
"Who are brave is not the mama but the other passagers... I bet that is not great for the other passagers. In the video is everything very smooth, and went well...I doubt that was like that",Cláudio Rodrigues,2020-10-26T18:09:11Z,1
Where did u buy her sherpa hoodie?,Jena Alyssa,2020-10-15T19:01:16Z,0
I am so scared to travel wid baby I read somewhere that baby get breathing complications in mid air 😭😭,sakshi Joshi,2020-10-15T13:04:56Z,0
Hi iam watching your video i just wanna Ask about formula milk as iam planning a long journey and i want to keep warm water but not sure the Security would allow or not ????,Aisha Jan,2020-10-12T20:02:20Z,0
"So cute baby, nice video, like it.",SUNRISE STAR88 Vlogs,2020-10-11T14:36:36Z,0
Does anyone know if delta has bassinet and if I can ask for one once I’m checking in?,Susaana Valencia,2020-10-08T17:54:45Z,0
omg your baby is perfect! lucky momma and dad! . new subscriber here i love your content. :),Diana's Day,2020-10-06T19:18:16Z,0
Thuis was the info video I was looking for... thank you so much,Anthony en Janaire Verwey,2020-09-26T20:49:18Z,0
Thank you so much for information. I’m gonna fly tomorrow with my 11 month baby. Just two of us. Little nervous 😬,Ceylon Love,2020-09-22T15:49:29Z,0
Looks like the little lady is on her way to becoming a citizen of the world. 🤗👏🏼,Cat Mac,2020-09-19T18:59:27Z,1
BISSHH YOU HAVE A BABY?!!?! <br /><br />I used to watch your channel years ago &amp; then idk what happened. I made a new yt &amp; lost touch i guess. Then i search today traveling w a baby &amp; YOU HAVE A WHOLE CHILD. holy sh*t. Congrats dude!!! 😍💖,HereWeGoMel,2020-09-07T05:33:42Z,0
"Here you can find very comfortable strollers: <a href=""https://youtu.be/NrkI6wtK-9w"">https://youtu.be/NrkI6wtK-9w</a>",Sergiy Kondratenko,2020-09-04T09:15:32Z,0
😍😍😍😍😍😘😘😘😘🥰🥰🥰,Animal World,2020-08-31T02:53:37Z,0
Lol I just clicked the video and when I looked around I already knew it was Toronto😂,Ivana Suguitan,2020-08-30T06:36:12Z,0
What is that green thing on the car seat?,leowyattth4,2020-08-22T15:59:40Z,0
