comment,id,date,num_likes
Wow you are one hot mama! You look great! 🥰<br />Been following your adventures for years! You have such a unique and fun way of delivering information. Very personable and positive! 🤪<br />I’m from Toronto myself and work to travel ✈️🌍 Love getting travel inspiration from your travel videos! Thank you ❤️,#KassyPlusOne,2020-04-03T21:27:22Z,0
Why is this in my YouTube feed,omfgbunder2008,2020-01-19T11:41:20Z,0
"Spent one month there some years<br />ago, surely an interesting place.<br />Have you been to Swirzerland?",11 1,2020-01-16T04:36:44Z,0
"Hello this is nusa penida bali tour, please visit this link for more information <br /><a href=""https://www.airbnb.co.id/experiences/713533?location=Nusa+Penida%2C+Klungkung+Regency%2C+Bali%2C+Indonesia&amp;adults=1&amp;children=0&amp;infants=0&amp;source=p2"">https://www.airbnb.co.id/experiences/713533?location=Nusa+Penida%2C+Klungkung+Regency%2C+Bali%2C+Indonesia&amp;adults=1&amp;children=0&amp;infants=0&amp;source=p2</a>",J kadek Arsa,2020-01-07T15:37:31Z,0
Amazing road trip my friends.,Greek Orthodox Vlogger,2020-01-05T13:15:20Z,0
this is so cool,善泥同学,2020-01-03T19:06:30Z,0
this is so cool,善泥同学,2020-01-03T19:06:14Z,0
this is so cool,善泥同学,2020-01-03T19:06:06Z,0
"How did I miss this stunning video?  ♥️  Happy New Year, beautiful souls!",Nena Lavonne,2020-01-01T00:56:45Z,1
"Hiya, just to say your videos literally make me travel! So glad to see you back here! Keep it up, cheers guys",Nicole Ferri,2019-12-26T02:29:41Z,0
Beautiful scenery 😍,Christina Reynolds,2019-12-16T19:58:50Z,0
I hope I can afford to take my babies to Iceland one day.,lolsaXx,2019-12-16T19:21:31Z,0
Awesome vid! Thanks for sharing x,Layne K,2019-12-13T08:25:13Z,0
💙💙,Negar Shakeri,2019-12-13T01:29:50Z,0
Great Video! And your cold-weather fashion is on point (as always!),Essa Bowser,2019-12-11T14:06:30Z,2
