comment,id,date,num_likes
I love to go to usa,venkat ramana,2020-07-24T04:36:12Z,1
"Why a hair straightner ? if ur lucky to have wavey/curly hair, let ur hair be on vacation too",TiaraAnne Funflower,2020-02-01T20:22:33Z,0
"Are we talking about just 10 items in your bag, like  not including a handbag, I only have a small handbag that I travel with for things like travel docs, passport, phone/charger, meds, small wallet, little things e.g.pen etc... it&#39;s like playing tetris but I fit heaps in a bag about half the size of an a4 piece of paper, does that stuff count or just what I would take in backpack like yours??",Nikki Morrison,2020-01-16T06:38:41Z,0
This is what I’d bring <br /><br />(First to beat the system I would wear my hair in a messy bun with 2 hair ties and Bobby pins. That way if I wanted I could change my hair style<br />And wear my fake berkin stocks)<br /><br />1)hairbrush<br />2) toothbrush <br />3)witch hazel (toner &amp; deodorant)<br />4) face wash<br />5)phone <br />6)charger <br />7) iPad <br />8)shorts<br />9) cute shirt<br />10) swim suit,TheUnstableTiger,2019-06-30T04:24:51Z,1
"Shit, if I did that I&#39;d have three spots taken by must have medicine. Two of them being life-saving. I could do it though. I&#39;d probably wear the same pants the whole time--only switching out the top. Wear a light jacket on the plane.",Alykia,2019-06-15T17:44:54Z,1
"For only 3 days, I could manage with less than 10 clothing items, but counting toiletries/ makeup/ electronics doesn&#39;t make any sense to me...",annescreativities,2019-06-04T15:39:09Z,0
"Well, you should have asked for a fork to use as a brush",Rachel Halina,2019-05-31T14:04:08Z,0
This video was so fun! I’d bring:<br />1. Underwear<br />2. Skirt<br />3. Shirt<br />4. Stockings<br />5. Scarf<br />6. Phone<br />7. Charger<br />8. Brush<br />9. Wallet<br />10. Toothbrush,Marissa Roberts,2019-05-12T08:40:07Z,1
"My 10 items would be:<br /><br />1:Passport<br />2:Wallet/purse (with just cards/ID in it)<br />3:Phone<br />4:Charger<br />5:Spare Underwear<br />6:Spare socks <br />7:Comfortable hoodie/jumper<br />8:Hairbrush<br />9:Hard boiled sweets (I can&#39;t fly without some, probably be some Werthers lol)<br />10:Change (coins)<br /><br />I can always get anything else I might need when I get there, and hotels generally have soaps etc there. my straighteners and other electrical stuff go in my suitcase, but well packed and in the middle of my clothes for extra protection. I don&#39;t wear make-up so no need for that lol",BBKitsuneExperiment,2019-04-04T16:53:54Z,1
First of all love you so much. Where did you put your phone and wallet?xoxo,beatrix wood,2019-03-13T04:26:28Z,1
"Yes, this would be so fun! And easier than the &quot;no luggage&quot; trip I did last time.",Mobile Minimalist,2019-03-12T23:40:39Z,1
Did your electronics not count? You must have had at least a phone to film this ending on the bed? And a charger for the phone?,Laurel McBrine Art,2019-02-18T11:18:07Z,0
I didn&#39;t count my phone or camera since I needed those for work and had to travel with them.,Kristen & Siya,2019-02-19T02:02:41Z,0
