comment,id,date,num_likes
May ALLAH always bless you with his blessings and fulfill all of your wishes INSHA&#39;ALLAH AMEEN. 😎,Basir Shahab Markhor,2021-03-12T21:01:37Z,0
beautiful vlogs just love it,khoji Anupam,2021-03-06T07:53:15Z,0
If you&#39;re gonna trust media you will miss exploring this unique beauty😄,maria noor,2021-01-29T16:14:52Z,0
I bet they don’t know why it’s called Fairy Meadows.,Aimal Khan,2020-12-29T04:35:26Z,0
Proud to be pakistan,Hamza Shoukat,2020-12-19T17:43:10Z,0
Beautiful kashmir ♥️,G karim,2020-12-09T02:08:07Z,0
Love u siyaaaa,Johny Astori,2020-11-28T11:47:18Z,0
Hi thanks for sharing this vid it was awesome beautiful views I live in u.k England parents from Pakistan Azad Kashamir Mirpur city no doubt Pakistan has everything  in nature it’s blessed,Kabir Hussain,2020-11-16T23:48:27Z,0
Never been to the Sonoran desert? Looks exactly like that.,badger519,2020-11-15T21:37:00Z,1
"I wish India Pakistan and China were in peace. This entire area of himalaya, karakoram, nanga parvat, tibet valley would have been a much better place than switzerland and economy could have been boosted. Due to the politics, agenda and propaganda and arms business there is suffering. People from mountain across any countries are peace loving good people. Love for them....wish this enmity will end one day... probably soon",A,2020-11-15T20:32:57Z,0
"I am from San Francisco California, I was born and raise in Pakistan its haven for the tourists beautiful  breath taking scene ,I am so happy that you guys explore the seanic mountains, I been to these places three times when i used to live in Pakistan .Its  a Beautiful country  ,Please enjoy the trip and put some nice vidoes on You Tube so the people would know how beautiful and advanture .",Nasim Zaidi,2020-11-15T08:51:47Z,0
Proud to be a pakistani <br />Btw love from pakistan,yasir nazir,2020-11-11T08:05:33Z,0
The suspense start from 6. 40.... Wow.. What a clip yaar,Sharaf Siyad,2020-11-10T08:00:29Z,0
"This place is just trailer pakistan is more beautiful and suprising too, pakistan is for everyone it&#39;s an God,s place for human .....",Mk Era,2020-11-09T11:57:19Z,0
"<a href=""https://www.youtube.com/channel/UCrDzYQ5I1T5KPlKfCAwVCHw?sub_confirmation=1"">https://www.youtube.com/channel/UCrDzYQ5I1T5KPlKfCAwVCHw?sub_confirmation=1</a>",Abdul Wahid,2020-11-09T06:55:43Z,0
"Part of heaven,waawoo Pakistan",habib tassadduq,2020-11-08T17:52:33Z,0
Everyone... come to Jammu &amp; Kashmir/Ladakh you will run out of words....,Suhail Manzoor,2020-11-04T16:58:04Z,0
thanks for showing the world how incredibly amazing pakistan is ......,78 Adeel Ahmed,2020-11-03T09:21:59Z,0
