comment,id,date,num_likes
WOW I &#39;m from Pakistan but I am Hammad Khatri fan,Abdul Rehman,2020-01-09T10:17:33Z,0
These videos make me smile on my worst day :)) Love y&#39;all so much,Sara Marie Wheeler,2019-08-16T05:46:56Z,0
Much love from Pakistan 🇵🇰🇵🇰❤️❤️❤️,Mr Ok,2019-08-02T17:12:20Z,0
How cute baby..,WideSpot Test Preparation,2019-08-01T09:21:13Z,0
Love from Pakistan🇵🇰🇵🇰😍💯,Waris Ali,2019-07-31T10:32:35Z,1
Laughed a lot at the kite festival.  Gave us some cool ideas though.😀,MysteryTrip,2019-07-29T22:07:49Z,0
It&#39;s called a Chuck wagon.,Vintage Moss,2019-07-29T03:39:50Z,0
"Good to see you guys back on the road. Kai is getting so big!  What happened to your Airstream? <br />More videos like this, please.",Crabjuice,2019-07-27T19:30:03Z,0
"<a href=""https://www.youtube.com/watch?v=leA1-Bh2vDs&amp;t=10m15s"">10:15</a> « When we were just settlers here » is an incorrect sentence. All lands in Canada were occupied by Indigenous peoples. And then came the settlers. Not to be rude, just a reminder.",Marilou Maisonneuve,2019-07-26T16:06:38Z,0
Beautiful family God bless you and your family always InshAllah ❤️ from 🇵🇰😍😍😍,Usman Ali,2019-07-26T03:23:58Z,1
After your Pakistan vlogs this was also so much fun  =),Mohsin Abbaas,2019-07-25T17:43:23Z,0
That kid is gonna have a lot of fun growing.,Waqas Ahmed,2019-07-25T17:34:05Z,0
"What happened to Atlas? Also do you still have Luna? I’m so happy to see you  guys travelling with your baby girl, congratulations 😊",Rowie Knox,2019-07-25T15:39:20Z,0
Atlas is still on many adventures! We are making some changes with the Airstream and then hitting the road again real soon :),Kristen & Siya,2019-07-25T20:54:04Z,1
Absolutely Awesome family fun in a part of Canada I&#39;ve yet to explore... Only made it so far to BC and Alberta. I need to venture east !,Matthew Tasker,2019-07-25T15:29:36Z,1
"Canada is vast , cold and beautiful.",Ali A. Dhillon,2019-07-25T15:28:36Z,0
Love from Pakistan. beautiful land.,S Siddiqui,2019-07-25T11:18:26Z,2
"Forest magic show at <a href=""https://www.youtube.com/watch?v=leA1-Bh2vDs&amp;t=16m22s"">16:22</a> is amazing ❤️ 👪",Trips With Kids,2019-07-25T10:21:06Z,0
Haha Siya picking his nose! I honestly thought he’d do it 😂😂😂😂,Mimi Dudli,2019-07-25T10:03:36Z,0
Love from Auckland based Pakistani 🇵🇰,Zaka Chohan,2019-07-25T08:36:15Z,0
"Covered wagons. Loved this film, especially playing in the rain!",Helen v Walker,2019-07-25T08:25:33Z,0
have fun,Random TV,2019-07-25T08:15:59Z,0
Visit kerala too...,Devan S,2019-07-25T06:53:01Z,0
"Don&#39;t you guys think your names need to be shifted?<br />I mean, Kristen for you and Siya for her?!",ᖇᗩ乙0229,2019-07-25T06:12:17Z,0
👍🇵🇰,nabeel khan,2019-07-25T04:41:54Z,1
Pakistan Zindabad,Zeeshan Shams,2019-07-25T04:41:00Z,1
You guys are so cute. I see the baby talk is taking over &lt;3,Sammie Sea,2019-07-25T04:07:15Z,2
Oh man...between the baby and the dog.. that&#39;s my new voice,Kristen & Siya,2019-07-25T20:53:14Z,1
"Okay, so...<br />(1) I&#39;m all about Road Trips and when I saw one of my favorite YT travel channels had a new Road Trip video, I literally hit &#39;pause&#39; at the beginning of this video long enough so I could make a fresh pot of coffee to enjoy it with. And, as usual, it was fun!<br />(2) I want to permanently move to &quot;Ghosttown Blues&quot; and live in that big truck! The reading I could get done there! :o <br />(3) The fogged-in lookout point was hilarious, Lol.<br />(4) Great video, you have an awesome channel! Safe travels!",WildCard Journeys,2019-07-25T01:45:18Z,1
Be safe enjoy😄💝,RajputReports,2019-07-25T01:27:17Z,0
a little boring,Monlx Group,2019-07-25T01:13:40Z,0
"I literally live like 4 hours from Maple Creek and had no idea Ghostown Blues existed. Might have to plan a weekend in a covered wagon! Also, not gonna lie, I laughed out loud when Siya said there was nothing around for half an hour. Half an hour is nothin’. 😋",Stacey aka pinkysworn,2019-07-25T00:21:12Z,0
love from PAKISTAN 😘😘😘,Fizza Batool,2019-07-24T23:15:20Z,1
Amazing road trip to canada well done  😊😊❤️❤️,Shaheer Shujaat,2019-07-24T23:11:14Z,0
"love Canada.  gv love also to ur baby 😍 from our side <a href=""http://www.youtube.com/results?search_query=%23Pakistan"">#Pakistan</a>",Maverick Khan,2019-07-24T22:50:42Z,2
Regina sask zindabad,Zaman Qamar,2019-07-24T22:41:43Z,0
Waoo syia im from paksitan and living in regina waooo,Zaman Qamar,2019-07-24T22:34:24Z,0
Luv u watch ur videos u both look awesome ...!!! Luv from Pakistan,Shiraz Bangash,2019-07-24T22:15:58Z,0
AHHH Kai is so cute and in that little hoodie with the ears I&#39;m in love!,Kate Haberl,2019-07-24T21:57:23Z,0
We think shes pretty darn cute too!!!,Kristen & Siya,2019-07-24T23:22:06Z,0
Love from karachi 😍😍,MUJAHID MOHIUDDIN,2019-07-24T21:40:44Z,2
Kai is such a little cutie pie! I think she loves traveling as much as you guys do now. Where was atlas? Where&#39;s the airstream? What do you call a cow with no legs? Ground beef! :),Lhouse810,2019-07-24T21:36:22Z,1
"<a href=""https://www.youtube.com/watch?v=leA1-Bh2vDs&amp;t=15m49s"">15:49</a> 😂😂😂😂😂😂",sandhu saab,2019-07-24T21:14:29Z,0
Awesome tent &amp; tiny house loved it😍,sandhu saab,2019-07-24T21:09:32Z,0
"<a href=""https://www.youtube.com/watch?v=leA1-Bh2vDs&amp;t=10m20s"">10:20</a> that voice is Insects or bug its calling in pakistan in punjabi beenda😜😁😜",sandhu saab,2019-07-24T21:08:25Z,1
Hi brother greetings from Pakistan. Mashallah nice family,Tahir Ahmad,2019-07-24T20:46:13Z,0
Come to  peshawar,Ikram Khanz,2019-07-24T20:05:22Z,0
Awww bless the baby,Umair Usman,2019-07-24T20:01:36Z,0
"Very nice, enjoyed every moment in the video",Tebs Ramekosi,2019-07-24T20:01:25Z,0
"Great trip guys, the baby seems to adapt well.",Manny Perez,2019-07-24T19:56:18Z,0
They are called caravans!,Manny Perez,2019-07-24T19:52:48Z,0
Love this! Been following you guys for years and enjoy so much your videos as a trio :-) I loved all the rustic accommodations in this video. It looked like a fantastic trip! Thanks for sharing :-),Nena Lavonne,2019-07-24T19:51:32Z,2
Thanks for being part of the tribe for so long. The accommodations in this video were seriously some of my favs ever,Kristen & Siya,2019-07-25T20:52:38Z,1
We love you,Ikram Khanz,2019-07-24T19:51:23Z,0
When you com to pakistan ??????,Ikram Khanz,2019-07-24T19:51:15Z,0
Hi how are you love you from Pakistan 😘 Pakistan.🇨🇦❤?Canada,Hasnain •,2019-07-24T19:49:34Z,4
Are you missing something ?<br />May be Pakistan?<br />Love from Pakistan,Shahid Ali,2019-07-24T19:46:05Z,2
Hi bro,Shahid Ali,2019-07-24T19:45:32Z,0
"Awesome dude and sister love from karachi ,I&#39;ll be there very soon",khalil rehman,2019-07-24T19:36:23Z,4
🤟😘♥️love,pakistan pakistan Pak,2019-07-24T19:35:25Z,0
"Love dorm ontario, canada;)",Sorbet licious,2019-07-24T19:31:18Z,1
Hi from Manitoba yer friendly neighborhood neighbors lol,pepsidude2007,2019-07-24T19:15:30Z,0
Yay can&#39;t wait!!,pepsidude2007,2019-07-24T19:36:42Z,0
We still need to explore Manitoba!,Kristen & Siya,2019-07-24T19:25:26Z,1
"Hi from Pakistan too...iv been following/travelling with u on YouTube since yr trip to northern Pakistan... Fairy meadow....etc. Really great to see my own country like heaven on earth. Now its time to see Canada as well!!! ALHAMDULILLAH.<br /> Good to see yr family too. MASHAA&#39;ALLAH cute daughter n adorable wife&#39;s company. Be safe. <br />Enjoy n hv ever lasting fun.....!!!<br />ALLAH bless u all, Ameen. <br />Love &amp; Prayers from Pakistan.",Xahar Rehman,2019-07-24T19:13:59Z,0
Who liked the forest magic show Siya and Kai performed?,Kristen & Siya,2019-07-24T19:09:40Z,31
"Siya, <br />Are you a Arab?  If yes, then from what Arab country are you originally from?  I am asking this question, because your last name sounds Arab.",TA Videos,2019-07-29T00:46:15Z,0
Good job,Tehmeena Khan Jadoon,2019-07-25T10:35:32Z,0
loved it,Irtaza Khan,2019-07-25T08:54:53Z,0
From pak🇵🇰❤nice vid,sandhu saab,2019-07-24T21:05:17Z,0
Waiting😍,sandhu saab,2019-07-24T21:02:20Z,0
Have a safe journey<br />Keep entertaining<br />Love from pakistan,sana khan,2019-07-24T19:09:23Z,1
Love from Pakistan,Bilal Tahir,2019-07-24T19:04:49Z,1
Nice video watching from San Francisco have a safe trip,Aaqib Khan,2019-07-24T19:03:25Z,2
