comment,id,date,num_likes
Which of our Pakistan Videos was your favourite?,Kristen & Siya,2019-07-17T17:01:37Z,720
Pakistan,Adil Adil noor,2021-04-25T21:31:09Z,0
@Lorenzo Knox trying it out now. Seems great so far :),Hendrix Sutton,2021-03-18T12:56:54Z,0
I dont know if anyone cares but yesterday I hacked my gfs Instagram account by using Instapwn. Just google for it xD,Lorenzo Knox,2021-03-18T12:41:09Z,0
This one.,GET cloSETo nature,2020-09-22T10:54:20Z,0
All😊👌,Shiekh Nadia,2020-09-08T13:36:47Z,0
Love from Pakistan army hhdu,Nauman Nasir,2021-04-28T20:32:19Z,0
I LOVE PAKISTAN 🇵🇰!,Evildiablo88,2021-03-28T09:45:49Z,0
lovely*inserts the heart emoji*,Abdul wahab naik,2021-03-18T10:55:02Z,0
May ALLAH always bless you with his blessings and fulfill all of your wishes INSHA&#39;ALLAH AMEEN 😎,Basir Shahab Markhor,2021-03-08T21:15:45Z,1
"Woah!! The soccer scene....i guess this is the coolest thing I&#39;ve ever seen, those guys are very talented😍",Iqra Shah,2021-03-03T18:37:52Z,0
You are the best vlogger editor and funny as well love your video <br />Thanks ♥️ for coming,Usman Shah,2021-02-24T08:40:24Z,0
thank you,Khan Khan,2021-01-26T22:37:33Z,0
He didn&#39;t like the bread in the Plane lol,Samran Hussain,2020-11-25T18:35:04Z,0
I love to fly with PIA.,Sumaira Asghar,2020-11-13T10:20:13Z,0
That soccer field 😲😲😲😲,Muhammad Yasir,2020-10-18T19:44:20Z,0
"Interesting Videos of International YouTuber &amp; Tourists who visited Pakistan:   <br /><br />World&#39;s Most Adventure Tourist places..... Interesting Videos of International YouTubers &amp; Tourists:  <br /><a href=""http://www.no1tourism.com/"">www.No1Tourism.com</a><br />( forwarding to fb page  <a href=""https://www.facebook.com/No1Tourism"">https://www.facebook.com/No1Tourism</a> )<br /><br />Managed by<br /><a href=""http://www.fb.com/groups/PakistanTouristGuideGroup"">www.fb.com/groups/PakistanTouristGuideGroup</a><br /><br />Please support this FB Page, this is non-commercial and only for<br />promote a positive and brighter side of Pakistan which is very much it deserved.<br /><br />I would request you, please like, share in your Facebook and WhatsApp contacts. <br />Your support is very important for the truth.",STAR Ayaan,2020-10-17T15:44:45Z,0
"<a href=""http://www.youtube.com/results?search_query=%23pakistantourism"">#Pakistantourism</a>",MAHMOOD AHMAD PAKISTANI,2020-10-07T17:02:50Z,0
We love u to bro...,khurram shehzad,2020-09-23T14:33:51Z,0
when you speak about some stuff and it becomes a meme.<br /><br />Me: MEME ALERT MEME ALERT HOLY GET THE BIBLE AND CROSS,Shelem Lee Sang,2020-09-18T20:23:15Z,0
this title seems ironic now lmao<br />Like da comment if you love Pakistan and will sacrifice your life for Pakistan,Zen,2020-09-16T04:08:04Z,0
"You have to visit Galgit Baldistan 3 time. Summer, Autumn &amp; winter. <br />I love summer &amp; Autumn.<br />Autumn is unbelievable.... trust me<br />And alot more places to see in Galgit",Fayyaz Changazi,2020-09-15T07:03:36Z,0
So nice,Star Worldd,2020-09-14T18:19:00Z,0
Your baby is adorable. Prayers and best wishes.,wildtrex,2020-09-12T07:42:42Z,0
From hunza karimabadWatching from hunza,Pakistan zindabad,2020-09-09T15:44:37Z,0
Thanks Man..! Thank you very very much.. ❣️❣️,Ahsan Sheikh,2020-09-08T17:42:59Z,0
Thanks 😊😘,Punjabian HorseRiderz,2020-09-01T15:55:24Z,0
Hlo hi sir i am from valley swat pakistan come again to pakistan,Izhar Ahmad,2020-08-20T12:57:58Z,0
Thank for visiting our Pakistan,Nasir Ali jMk,2020-08-10T19:26:09Z,0
"Desert soccer ⚽️ <a href=""https://www.youtube.com/watch?v=tT4O_Q2JA7I&amp;t=4m58s"">4:58</a> that was amazing 👏",Ehsan Ahmed,2020-08-10T08:08:18Z,0
🇵🇰👍♥️💖💚,Rana Kamran,2020-08-07T06:35:53Z,1
Warmlly welcome next time  Pakistan with your family specially ur cute baby,Rauf Lone,2020-07-19T20:58:39Z,0
Pakistan Zindabad,Usama Bin Kabir,2020-07-05T15:54:49Z,0
Pakistanis Love You all🇵🇰🇵🇰🇵🇰🇨🇳🇨🇳🇨🇳🍻🍻🍇🍒🥞🍾,林月半仔,2020-06-22T18:51:15Z,0
Wow! Welcome to Pakistan,Styley Mehsood,2020-06-04T03:43:34Z,0
"Pakistan is as evil as Israel, that was the country of afghans and indians.",Bina Bina,2020-05-21T20:06:01Z,1
