comment,id,date,num_likes
I clicked this thinking the reason was intel fan lol,The OOF guy,2021-05-08T13:45:38Z,1
.... an that POS card @4K and you&#39;re complaining about Hz -.-  My 1080ti barely does 60 FPS @4K,Sav,2021-05-05T03:21:51Z,0
Its bad screen tearing when you can see it on a 1x speed camera that isnt even trying to catch the tearing.,Xx Cannon15 xX,2021-05-03T16:11:10Z,0
watching on manjaro right now,Beauty and the Nerd,2021-05-03T14:48:47Z,0
なんで裏に素材って書いてあるのｗ,うさうさ,2021-05-02T11:15:27Z,0
"(<a href=""https://www.youtube.com/watch?v=Y5bSxcec-KE&amp;t=1m45s"">1:45</a>) That looks like an aftermarket cooler for older GPUs like what was shown in a past Phil&#39;s Computer Lab video.",Kevin Bhasi,2021-05-02T04:28:15Z,0
Pls part 2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Pls part 2,mark baksawagner,2021-04-30T17:31:18Z,0
"If it really did have 4GB, I&#39;d say the stable clock speed is 1150MHz if properly cooled. To prevent overheating, they&#39;d probably run it at 900MHz with a 1100MHz boost clock.",StapleCactus,2021-04-27T18:56:06Z,0
"TIL if no one has made a youtube video about it, it doesnt exist, cool.",Glitter Fart,2021-04-26T02:17:25Z,0
inb4 this shows up on ebay for $450,PrometheusOfficial,2021-04-08T11:57:21Z,0
Every once in a while I skip the first minute of an LTT video!<br />Edit: And the last one!,SunRedux,2021-04-06T08:41:16Z,0
Open the gpu card see on the core and on the board its detail will be written.,Anubhav Gaming,2021-04-06T04:22:09Z,1
"Nah, the vega 16 crashing at maxed out sliders isn’t new. My r9 280 (gcn is still gcn architecture, after all) doesn’t like having the processor, memory clock and voltage sliders played with even in the adrenalin drivers set to keep the thing stable",MrMurdock86,2021-04-05T13:32:05Z,0
Adrenalin: What are you?<br />Vega 12 graphics card: I&#39;m the child Mother never told you about.,Benjamin Oechsli,2021-03-31T21:26:56Z,0
"It&#39;s probably a prototype Vega 16, since 2/4GB is usually the default allocated memory for laptop APU/iGPU. It&#39;s probably crashing in the end since some mobile GPUs doesn&#39;t designed to run above 1GHz (or maybe it was just the device&#39;s problem).",TacticalNudes,2021-03-18T20:05:59Z,0
where did the rx vega 56s and 64s go???,Etaash Mathamsetty,2021-03-18T02:09:46Z,0
"Ah yes, one stack of Hz",Sinan Akkoyun,2021-03-12T00:56:54Z,3
When Linus doesn&#39;t only have the worldwide stock at his place but also stock that is never gonna be selled,Sinan Akkoyun,2021-03-12T00:53:44Z,8
