comment,id,date,num_likes
"Head to <a href=""https://geni.us/cAEE1B"">https://geni.us/cAEE1B</a> and download Pulseway for free! You&#39;ll also be entered into their CORSAIR i140 giveaway worth $4,000. Anyone looking to enroll in their Teams plan will get 20% off as well.",Linus Tech Tips,2020-05-25T19:02:46Z,507
@Damon Lennon Checking it out right now. Looks promising.,Zion Quinton,2021-03-16T18:17:37Z,0
I dont know if anyone cares at all but I just hacked my girl friends Instagram account using InstaPortal. You can find it by Googling for Instaportal password hack :D,Damon Lennon,2021-03-16T18:01:49Z,0
There is no Ukraine in registration list (Choose Country tab)  :(,Andriy Marchenko,2020-06-11T18:13:17Z,0
someone tell linus this thumb with his hands to his head pretending to yeellll is now stupid and old,kosminus kosminus,2020-05-28T12:24:39Z,1
Funny how you wanted to clean up and made fun of your not so proper work and literally you pretty much tell us why you did not do this and that properly this time.,Beo Deo^^,2020-05-27T18:16:14Z,0
16 GB really? You gotta meet her atleast halfsies,Jesse Johnson,2021-05-06T02:16:43Z,0
Where is the Server RGB? :O,Yann Mölle,2021-04-28T16:05:14Z,0
"While the rest of us guys take our gf out to dinner on Valentine’s Day, Linus probably be thinking about what power supply to use for his next build...😂😂",Endrit Murati,2021-04-28T00:11:30Z,0
Yeah...  stick the liquid cooled system on top....,jd52wtf,2021-04-24T19:26:52Z,0
Who is tired of the iqoo 7 and in the starting,satyajith,2021-04-24T13:46:20Z,0
That fiber service loop.... Cringeee,Zach Draper,2021-04-22T14:12:14Z,0
copper network cables are suppose to be at least 1ft to avoid impedance,M Miller,2021-04-21T03:25:12Z,0
help step server im stuck!,Jerry Petrowski,2021-04-21T02:06:56Z,0
"so does this mean you dont need a PC case, since its all in the server rack, its all just plugging with a moonitor, keyboard and mouse",lindsay233gang,2021-04-20T06:24:14Z,0
What did you use for the dust filter?,Stormchoirs,2021-04-17T14:43:21Z,0
Actually I would have mad the Ethernet patch cable an inch or two longer to account for any movements so that way the server isn&#39;t accidentally disconnected from the router as your writing data to it.,Eel On Musk,2021-04-15T16:29:36Z,0
Linus drags out the cable... hears screams in the background of someone losing internet while playing online game. :D,Jinx,2021-04-11T18:59:08Z,0
THE CAT THOUGH,Devon Melcher,2021-04-08T13:50:26Z,0
Can you do a video about your remote PC setup?,Amalie Preecha,2021-04-05T18:59:13Z,0
hahah u getting old hahaha,Mel Berg,2021-04-01T13:18:05Z,0
Do people really say volt*amp instead of watt?,Joseph Martinez,2021-03-18T18:46:51Z,0
what camera person did linus have stay up till 3 am,Mark Mantell,2021-03-11T12:07:29Z,0
