comment,id,date,num_likes
2020: 360hz monitor <br /><br />2099: 2160hz  monitor,Alton Mack,2021-05-09T00:26:21Z,0
I don&#39;t deserve not deserving this monitor.,Tasty Jaguar,2021-05-08T09:56:04Z,0
This is my monitor. It&#39;s good,Andre Is Good,2021-05-08T04:57:36Z,0
Me who is pre amazon affiliate : damn i be there one day <br /><br />Me post amazon affiliated: hay i did it<br /><br />Also me : 6.9k comments heheheheh 69,Sir wemrhys,2021-05-07T22:15:27Z,0
"See, the reason I would want a 360hz monitor over a 144hz panel isn&#39;t for increased smoothness because the number is higher, it&#39;s actually because 360 is the next super composite number up after 60. The super composites go:  2, 6, 12, 60, 360. Super composite numbers are great because they have the property of being evenly divisible by a huge amount of numbers. And with monitors, that&#39;s really great to have! Let me explain.<br /><br />Why is it great? Because it means that if you are rendering at a refresh rate lower than 360hz, it&#39;s very likely to spit out frames at a rate that lines up very close to in sync with the normal refresh rate of the monitor. Say I&#39;m displaying 60hz on a 360hz monitor, because 360 is a super composite number, 60 divides evenly into 360, that perfectly lines up with every sixth frame. Likewise, at 30hz that lines up perfectly with every twelfth frame. At 24hz you <i>still</i> line up perfectly, that&#39;s every 15th frame. 20hz also lines up perfectly, you&#39;re doing every 18th frame.<br /><br />The true advantage of a 360hz monitor is not that it can throw out more frames, it&#39;s that it can display a huge number of lower refresh rates with perfectly consistent frame timings. Because the framerate is evenly divisible into 360, each frame can be displayed with exactly the same time between them, instead of going 8ms, then 24ms, then 4ms or something, you get 16ms between frames every single time. <br /><br />Now, not every framerate is going to divide perfectly into 360, but by nature of being a supercomposite number, more framerates divide evenly into 360 than any other number nearby. And even for framerates that don&#39;t divide perfectly, odds are that they&#39;re close to another number that does divide perfectly, so they&#39;re well approximated if not perfect.<br /><br />Edit, all the framerates that can be perfectly displayed on a 360hz monitor (all of the factors of 360):<br /><br />1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 15, 18, 20, 24, 30, 36, 40, 45, 60, 72, 90, 120, 180<br /><br />So it will display even trash framerates much more smoothly than other monitors like 144hz or 240hz, a 360hz monitor makes low framerates look much smoother.<br /><br />EDIT AGAIN I MADE A MISTAKE:<br />the next supercomposite number up from 60 is actually 120 not 360! 120 is also a supercomposite number, so actually you&#39;ll get a lot of the same benefits with a 120hz monitor that you get with a 360hz monitor. If you have the option, 120hz is probably a much more economical choice. 120 has all these factors (eg it can display these framerates perfectly), the list is very similar to 360hz:<br />1, 2, 3, 4, 5, 6, 8, 10, 12, 15, 20, 24, 30, 40, 60, 120",Scotland Dobson,2021-05-07T20:21:01Z,0
"My 1080 TI runs Overwatch at 400fps on low at 1080p, so if you don’t care about graphics most competitive games 360+ FPS is attainable. More so if you have a 30 series card.",Elmer Gloo,2021-05-07T19:01:46Z,0
<b>laughs in rhythm gamer</b>,Mowoka,2021-05-06T19:26:23Z,0
I bought a computer screen without knowing it is 70hz while my graphics card is the amd 5700x,CryptixFPS,2021-05-06T00:28:18Z,0
"it&#39;s really big different when playing crossfire, csgo... You will feel 360hz",Luong Ngo,2021-05-05T20:00:23Z,0
dude be looking like larry the lobster,AversePlayz,2021-05-05T02:42:56Z,0
I am going to enjoy the intro to shipment now.,Joni Lundberg,2021-05-04T17:46:09Z,0
Compare 144hz to 360hz because 144hz is probably what a lot of pc people use,Whistle,2021-05-02T07:09:58Z,0
way u saying chicken dinner as an example of esport it is lame tho..,Skinny ASSC,2021-04-30T09:04:00Z,0
"What you think you can&#39;t perceive doesn&#39;t necessarily means it doesn&#39;t exist.<br /><br />Your reaction time would be improved nonetheless if there is a decrease in input lag/latency. It stands to reason that your reaction time starts the moment you see something until you finally react to it, then the less delay there is, the better the reaction time. Even in milliseconds which could be a difference between a trade  kill, living with one health left (or more if you land more headshots during these ms and kill them faster), etc. <br /><br />Especially in competitive scenarios where you&#39;ve warmed up, full of adrenaline pumping when you&#39;ve just shot down several people at once or engaged in that kind of gun fight within the timespan of a few minutes, and subconsciously relies a lot more on your reflexes, muscle memory and game sense. It&#39;d probably be more &#39;noticeable&#39;.<br /><br />We should all strive for 0.0ms. Only then can there be no further improvements to be made.",Long Huang,2021-04-29T19:05:56Z,0
Finally i can run roblox at 360hz,Scar865,2021-04-29T16:17:27Z,1
Also I’m going to try to get an RTX 3060 it sucks there’s so many scalpers they resell them for 1000s of dollars 😖,kiwirocket64,2021-04-29T14:59:58Z,0
The only thing I want from my monitor is speed and good color accuracy is there a monitor under 200$ with those specs,kiwirocket64,2021-04-29T14:58:37Z,0
short answer. you dont need it.,Faris,2021-04-28T21:03:58Z,0
"For anyone considering purchase, it is not about the latency, it is about the smoothness of the image. From my experience with 240 and other’s with 360, the extra frames will be very smooth compared to 240, but the current technology is very blurry compared to a nice benq, so give it a moment before going to 360.",Thomas Van Dorpe,2021-04-28T13:39:49Z,0
As 360 Hz from Zowie would be nice.,Z3t487,2021-05-02T09:43:10Z,0
some guy 2 years later: laughs in 4k hz,GeorgeHasBeenFound,2021-04-28T09:29:26Z,0
asus? more like aSUS,Marius vlad,2021-04-27T13:40:19Z,0
@Ovito I think this is going to go on for ages,Marius vlad,2021-05-07T14:36:15Z,0
"@Marius vlad <a href=""https://youtu.be/9Deg7VrpHbM"">https://youtu.be/9Deg7VrpHbM</a>",Ovito,2021-05-07T14:32:30Z,0
@Ovito Na Br O,Marius vlad,2021-05-07T14:04:36Z,0
@Marius vlad deslique,Ovito,2021-05-07T12:40:10Z,0
bruh momento numero dos,Marius vlad,2021-05-07T12:38:43Z,0
"but lower fps would still be good for the 360hz don&#39;t forget that guys, also a lot of pro players can tell the difference, at least that&#39;s what they tell me through their streams and videos",Courier 6,2021-04-24T21:19:26Z,0
