comment,id,date,num_likes
Nah my $400 bose headphones is still good enough,Godsao -,2021-05-08T05:14:47Z,0
I had sennheiser momentum 2. They stopped charging after 4 months of use.  And they are really expensive.,Zagica,2021-05-07T21:07:36Z,0
returned airpod pros did not sit in my ear so well lacked features and pretty annoying when using android. get jabra...,Justin Harker,2021-05-05T07:06:58Z,0
"I got my pods at iplaypods,co and they are INSANE. I love them so much because of their quality. Sound and mic are awesome, noise cancellation is real. My recommendation.",Robert Charles,2021-05-03T14:46:35Z,91
@Mep Because the PC farm they work at is skimping on scripts.,Space Man,2021-05-04T18:32:13Z,1
@Mep they are great,Robert Charles,2021-05-04T16:51:44Z,0
Why do all the comments about this place say the same thing? Seems fishy.,Mep,2021-05-04T06:45:59Z,2
I got their pods to and they are insane.,S P,2021-05-03T14:48:18Z,0
Did he say wank... That means something very different here in the UK,SCAZAGAMING8,2021-05-02T19:58:26Z,0
Just a thought to add i baught the galaxy buds live as i dont like rubber or anything in my ear and the sound is good for that as a fact that some people dont like jaming things into their ear,andrew sherwin,2021-04-29T10:58:18Z,0
THE BEANS!!,EssBücher,2021-04-29T01:34:33Z,0
"Hey Linus, what about Jabra Elite series, like 85T?  Like, the 65 was very good, the 75 is great and so is their Sound+ App (didn&#39;t you know about this App and how you can do an &quot;Ear Test&quot; custom to yours?).  So, what about Jabra?",NHL CFL,2021-04-27T23:37:01Z,0
Just picked up a pair of LG free tone fn6.<br />And its great...love them so much 👍,NIKHIL RAJKUMAR,2021-04-27T13:06:40Z,0
"Thanks for this review (and the mic samples). Even though I&#39;m an iPhone user, I chose the Google PixelBuds because if I switch phones in the future to a Pixel, I&#39;ll be all set with the integrated goodies. I&#39;m switching from my Sony WH-1000MX2 headset. <br /><br />PS: you totally missed an opportunity with &quot;it fits in my special pocket&quot;",Nina Suluh,2021-04-26T15:52:09Z,0
"Thicker, longer and girthier than airpods. The cases only get bigger from here, so strap on. That was magical thank you",Dominik Tremblay,2021-04-25T20:23:34Z,0
The beaaaanssss,Somethingsaucy,2021-04-24T19:04:43Z,0
was hoping the razer ones would be on here,Alex G,2021-04-20T06:52:55Z,0
17 $ xiaomi airdots s are best,TheBadGamer,2021-04-19T21:46:25Z,0
Ngl I really hate in ears my ears just hate all of them even the smallest size just feels like I&#39;m violating my ears so I&#39;ve been looking at the beans,Skylar Snow,2021-04-19T20:04:29Z,0
I literally can&#39;t stand Linus&#39;s smug ass but he had me chuckling in this one.,Andrew Coggins,2021-04-19T19:24:29Z,0
