comment,id,date,num_likes
"I prefer wires for my keyboard and headphones, boards because I don&#39;t move them around and headphones because I prefer my audio signals to go through copper rather than the air, but that&#39;s just me",TheNintendoDude,2021-05-08T21:12:36Z,1
"Did anyone hear the fart??? <a href=""https://www.youtube.com/watch?v=zWjmcWg1j2U&amp;t=11m21s"">11:21</a>",LuisMMaster,2021-05-08T05:12:33Z,0
Great way to break your wrist (or a monitor). Just use a friggin jigsaw.,Jonathan ZJ,2021-05-06T19:36:00Z,0
Dankpods:huh duh 600 by o&#39;l mate senny<br />Linus:hd600,Dallwinplay,2021-05-06T10:45:37Z,0
i figured it out the meaning of life is to manifestwht makes you happy,isaiah brakefield,2021-05-05T03:26:15Z,0
"Stop using spaid bits, use Forsners!!!",Jonathan Ulrich,2021-05-04T19:32:24Z,0
The white mouse is bothering me...,Syndro Dome,2021-05-03T05:41:03Z,0
When he says fast clean on the keyboard DISHWASHER<br />me:cough cough it takes a week to dry cough cough,No,2021-04-29T19:28:00Z,0
"Please, never give Linus a drill again.",TuiCatNZ,2021-04-28T08:34:48Z,0
&#39;fool&#39; :oh i going to do cables in a neat way ending fails and cracks display,matt tuozzolo,2021-04-28T00:59:37Z,0
this video hurts me so many ways....still gonna like,Andrei Miron,2021-04-27T15:07:53Z,0
what happend to linus tech tips..,JAYDEN ONG JIE LIANG Moe,2021-04-27T13:36:44Z,0
TechSource would be crying watching this!,Jaeden Blake,2021-04-26T14:18:15Z,0
Y WOULD U CHOOSE MX BROWNS THEIR PERFORMANCE IS TERRIBLE,MaverickFire,2021-04-25T18:45:49Z,0
also browns arent tactile,MaverickFire,2021-04-25T18:46:13Z,0
tech source,danielj3333 :V,2021-04-25T16:12:54Z,0
More of this please,Toby Trittschler,2021-04-25T04:43:13Z,0
Welcome to osha violations 101,luca williams,2021-04-25T01:52:45Z,0
"&quot;im ready to give up my number pad, because i honestly never do work at home anymore&quot; poor simple 2020 dec 14 linus only if u knew what covid had in store for you...",DontEat MyOreo,2021-04-25T00:41:03Z,0
to peta bits,Ingaivur YT,2021-04-24T23:02:03Z,0
"For a wireless video, I see more wires than I have in a long time.",Alluvian,2021-04-23T23:01:36Z,0
"<a href=""https://www.youtube.com/watch?v=zWjmcWg1j2U&amp;t=7m16s"">7:16</a> &quot;There&#39;s blown cellulose everywhere&quot; sounds a lot like Technoblade",Nalin Goel,2021-04-22T16:51:55Z,0
Buy a laptop,Mighty Dark TS,2021-04-22T13:38:30Z,1
"Thank you Linus, You made me cable manage my desk, But Now it&#39;s a lot more comfortable to be sat at.",Ethan White-Miller,2021-04-21T20:49:55Z,0
in the future wireless cable managment in pcs,Audrey Jit,2021-04-21T11:20:33Z,0
40 hours of battery life on a keyboard? I have had keyboards where the batteries would last an entire year or at least several months.,Jarrod,2021-04-20T23:08:57Z,0
TechSource is CRINGING rn,Anomaly Detection Algorithm,2021-04-20T13:36:07Z,0
Forstner bit is a lot better.,Dirk van Tuijl,2021-04-19T07:16:13Z,0
I wonder when we will see wireless monitors? lol. does it exist already?,Roseborn 69,2021-04-19T06:53:44Z,0
Please can anyone share the model of the lighting he has over his desk? 2 stands with small white square,Mahmoud El Tabarane,2021-04-19T00:49:42Z,0
