comment,id,date,num_likes
Now also XPG XENIA 15 HAHA,Moto Robo,2021-03-28T02:20:12Z,0
"<a href=""https://www.youtube.com/watch?v=DoSBtwywius&amp;t=5m40s"">5:40</a>   ... It was that cool, he had to put on a jacket XD",Gagan Sohal,2021-03-23T09:13:02Z,0
aight im buying this,Mr.Classic Gamer,2021-03-17T02:03:00Z,0
Love how he basically just slams it down right  on the table there. Must be nice 👍🏼,Tommy Venard,2020-10-21T15:19:31Z,0
Does the Thunderbolt 3 port have power delivery?,David Allen,2020-10-10T05:15:14Z,0
"The newer version recently and yeah, the fans are RAGING, are all gaming laptops like this?",True Grid,2020-09-20T03:16:36Z,0
"Something about this review. So upbeat, professional and awesome details. Nothing bad. Thanks, Linus!",Whiskey tango,2020-09-11T10:32:20Z,1
"Guys rather buy a XMG FUSION. It’s exactly the same (comes out of the same factory), you have great support and your easily 500$ cheaper than the maingear element!",Jonas Hediger,2020-08-29T12:35:07Z,0
What the diff between MainGear and eluctronics,DNL DNL,2020-07-01T00:31:10Z,0
The brand name and seller I guess? It&#39;s pretty much the same computer.,J Esgarth,2020-08-23T14:18:52Z,0
"I need to see a review of the element 2-el3 but I can&#39;t find one anywhere. I&#39;ve been sitting on the max 17 with a 2070 super. But with all the bonus options I have configured it totals to 2,189 dollars. Grizzly cooling, no dead pixel warranty and the 2933mhz memory option. And that&#39;s with the 512 gb and the 16 gb ram option. But the element I stumbled across is 1tb storage. 32gb ram and also the 2070 super but for only 1,900. 3 things are keeping me from jumping on the maingear right away. I&#39;ve never heard of them. I don&#39;t know how the thermals are. And I can&#39;t find a review for this configuration.",NYC_Goody,2020-06-28T01:07:20Z,0
any word on when this is coming to the uk?,Bullex,2020-06-22T14:35:36Z,0
are the hotkeys lite up or just the number and letters? One thing I hate about my razer is the volume key lights up F7 b but not the speaker icon etc.,Dr Jay,2020-06-19T04:03:17Z,0
We want a review!! ik its 6 months later but a lot of people are still considering this.,Alexander Kazarin Helboe,2020-05-28T17:04:28Z,1
would anyone recommend this over an Omen x 2s,Fernando Cintron-Lopez,2020-05-22T00:13:28Z,0
मी पन इन्टेल चा लँपटॉप घेतला आहे...,Mr.pravin.G more Mr.pravin.G more,2020-05-21T01:05:54Z,0
