comment,id,date,num_likes
This guy secretly works at apple,Vishwesh N H,2021-04-30T12:49:33Z,0
"For this transition to work, Microsoft needs to add a better virtualization solution that includes x64 apps. That&#39;s what is missing.<br /><br />You know, like Apple did with the M1 chip. <br /><br />I usually hate Apple, but I&#39;m pretty sure they nailed this one. Their x86 and x64 virtualization is not perfect, but it&#39;s way better than what Microsoft did here.<br /><br />On the other hand, a lot might hinge on what Adobe does next. Adobe Creative Cloud on ARM for Windows, Mac OS, and iPadOS would be a game-changer.",Daniel Dougan,2021-04-24T15:36:48Z,0
"Microsoft has introduced ARM based systems and everyone was “It’s ok..it can properly runs x86 based applications”, Apple moved to ARM based M1 machines and everyone is “Wow...it’s processing much faster than Intel chips, and sooner you will also get ARM based applications from the tech giants.”<br />Always divided and always biased",RGP,2021-04-11T06:12:37Z,0
"just watching this video in 2021 but I have a question to ask @linus, is Apple paying you extra for promotion same with other reviewers? Isn&#39;t the new M1 chips from Apple built on the same ARM architecture as the Microsoft SQ1 processor? I can&#39;t believe this has been release since 2019 and every bit of this review is just negative and filled with skeptism whereas the new M1 from macbook were well received even before you reviewers got a chance to even see it let alone use it yet reviews were great.<br />You guys need to be more neutral with reviews. You are not supposed to influence but inform",Dave Tobby,2021-03-27T23:25:20Z,0
@Dave Tobby you seem new to this channel to think that lol linus is termed as one of the biggest apple haters by the fanboys just watxh his iPhone or older macbook videos,Aditya Bhattacharya,2021-04-05T17:17:21Z,0
@Aditya Bhattacharya I&#39;m not disputing that but the bias against non apple products is so huge you&#39;ll be forced to believe the videos are sponsored,Dave Tobby,2021-04-05T17:13:17Z,0
Because m1 actually had support for apps and extremely good emulation through rosseta,Aditya Bhattacharya,2021-04-05T16:11:45Z,0
"Wish these laptops had lower price cuz its basically like a mobile tablet-sized that runs window apps, not very well :/ which hopefully will do much better. (pertty cool tho) cuz this could be used as a main device cuz it can be used for WORK/PRODUCTIVITY/COLLEGE WORK + (communications + entertainment + social media + portability ) whatever a mobile phone can do. These could probably then save alot of money for college students like us.. like just go get a &#39;nokia&#39; (black and white) :) and 1 arm laptop on a backpack  .... both for the cost of a mobile phone of roughly 700usd (enrty price for premium phones 2021) . Instead of getting a phone + laptop 😪 ... but reality 1k usd which is 70k+tax INR ( 1.4k usd) 😃 + phone 😃 = young, lost, broke college kid",seki ram,2021-03-15T18:49:59Z,0
"I would pay good money for a surface pro in this form factor with one of the new high performance and low power mobile AMD cpus. Like I would pay really good money for that, it would be sweet.",Paul Miller,2021-03-12T06:38:59Z,0
This machine costs an ARM and a leg,sami houmaira,2021-03-06T09:08:35Z,0
"I think I&#39;ve seen this one before, let me watch the video to see if I&#39;m right",Vincent Hernandez,2021-03-03T20:15:35Z,0
Windows RT all over again.,Greenarcher707,2021-02-24T15:40:37Z,0
"if you can cash out more than 1000 for a surface x, then having bluetooth headphones should be able to replace wired headphones.",Anonymous TEMP ACCOUNT,2021-02-18T19:29:27Z,0
Who&#39;s here after the apple m1 release?,Ahmad Afrakhteh,2021-02-08T22:47:52Z,2
you had me at &quot;there is no headphone jack&quot;. who wouldnt love such a great feature,Marek Danowski,2021-02-05T12:17:04Z,0
"I feel like making a tablet that big sort of negates the entire point of making a tablet. Bro that’s an entire laptop, give me a computer that can stand up on its own without the little hinge.",Sherbet42,2021-02-05T01:30:45Z,0
This Laptop sucks <br /><br />-This post was made by Surface pro 7 gang,Ishaan Sharma,2021-01-30T03:21:24Z,1
His voice like Linus),shoxruh mamadaminov,2021-01-25T08:29:52Z,1
watching in 2021 where arm processers actually rule the market with macbook pro m1,PlayGG,2021-01-21T09:10:09Z,1
"Mircrosoft started revolutiom with arm, apple made m1 and steal a revoliotion title from ms since of hype",RacistPixel,2021-01-15T16:17:56Z,0
"Unlike MS, Apple provided good software support. As such, they became popular :p",npgoalkeeper _,2021-01-26T07:22:34Z,0
my surface pro 7 hated this video,mullberry,2021-01-07T06:06:02Z,0
"Just bought an open Box one for more than half the price of the original price. It&#39;s mostly going to be used for reading and media consumption. I think SPX SQ1 is more than enough for that purpose. If I need more power, I have my workstation/gaming rig for that.",ClixT,2021-01-04T22:01:14Z,0
Looks like Apple stole Microsoft&#39;s idea here.  Create a sleek expensive ARM laptop that you can&#39;t really game on.,YankeeSpirit,2021-01-02T01:35:37Z,0
Thing is apple did it well. And if you wanted to game wouldn’t you get a gaming laptop? Idk what gaming laptop starts at 999 but I’m sure there’s something out there,Aboubacar Jalloh,2021-02-06T14:27:37Z,0
You can buy a gaming PC and a x86 laptop for that price.,YankeeSpirit,2021-01-02T01:31:18Z,0
Tbh I don&#39;t think the surface audience is interested in heavy gaming,npgoalkeeper _,2021-01-26T07:22:59Z,0
"well... I wished I could have predicted future at that time ...<br />It was uploaded on Dec 10 2019... without even knowing that welcoming 2020 was a pain in the butt... I wish I could have told them that Surface was just the beginning, the real push would come from apple, and there M1, which was nonexistent at that time.<br /><br />To everyone reading this comment, I wish them congrats as I and you survived 2020 together, not everyone was fortunate, but ya, congrats! (This comment was posted on 1 January 2021, In India, By  one of us who survived 2020 in one piece!",Cdt. Adwait Bhardwaj,2021-01-01T05:51:40Z,0
Laughs in M1,H Y,2020-12-28T23:55:34Z,0
"1 year retrospect:<br />When Microsoft does it, it is &quot;meh&quot;<br />When Apple does it, it is &quot;woooooaaaah&quot;<br /><br />Microsoft did a smart move to make ARM tablets, it was a rocky start considering all the disadvantages, but now they are at least at a more equal footing to M1 chips than they would have been, it is only a matter of time until software and hardware become compatible",A.H.S.,2020-12-28T12:27:51Z,6
They’ve compared this laptop to the M1 air and......it wasn’t a good time for Microsoft lol,Aboubacar Jalloh,2021-02-06T14:28:33Z,1
&quot;Always connected... just not to my headphones&quot; good one lol.,212helpdesk,2020-12-27T20:27:04Z,1
I love how those arm versions of adobe CC were coming soon a over year ago and then days after I receive my M1 MacBook they are here😂.,Kyle's Videos,2020-12-25T14:59:36Z,1
So m1 is not the first?,Elvin James Escobar,2020-12-23T08:17:15Z,1
m1 was not the first apple silicon so yes,wow nobody cares,2020-12-28T11:56:58Z,2
Surface Pro X:<br /><br /><br /><br /><br /><br /><br /><br /><br /><br />Apple Silicon MacBook: Exists,Cyril Li,2020-12-22T20:31:09Z,3
It has come the future of ARM - After Apple M1,Govind G,2020-12-21T16:35:46Z,1
microsoft : arm is the future <br />Apple : arm is now.,Tarek Easa,2020-12-21T10:50:17Z,1
Then came the M1.,Ashish Kaul,2020-12-20T06:13:10Z,2
