comment,id,date,num_likes
what framerate was this filmed in?,Marvin Es,2021-04-25T11:25:08Z,0
For to leave my insta . Iride.ev,Macn Cheese,2021-04-23T21:04:39Z,0
Join the socalsupersquad add me on insta or dm I’ll send you a link to our telegram. Huge ride in sd this weekend,Macn Cheese,2021-04-23T21:01:31Z,0
Did you amplify the sound in editing software? And colour coordinator was done or it&#39;s the Raw footage?,20 Mayank Shah,2021-04-21T13:11:00Z,0
wow I had no idea Bombay India was this nice,Mike Hunt,2021-04-19T06:22:51Z,0
Didn’t realise you were going to the Los Santos Peir,Frobbler,2021-04-13T00:10:41Z,0
The only problem is the audio that doesn&#39;t convince me that much...,Freelandstan,2021-04-05T14:29:09Z,0
"I want a GoPro for my solo acoustic guitar act, would the Hero 8 be better??? HELP!",woofielove1970,2021-03-28T03:21:06Z,0
"Great video man!!! So close to 2M subscribers. Congratulations man, well deserved!",iMazTV,2021-03-11T15:19:52Z,0
How do you improve audio on gopro ?,Blake Kircher,2021-03-03T21:51:47Z,0
"This kind of video is what I really needed to see if this camera works for me. Thanks a lot, mate ;)",HollyJordi,2021-03-03T12:09:16Z,0
Pretty cool but I think people will still go with g7x lol,HaydenArter,2021-02-27T03:12:46Z,0
I bought the gopro 9 based on this video doesn’t seem as good without the super 73,Stoner mma 420,2021-02-25T19:59:56Z,1
Hi which software did you use to edit the gopro video?,Rafia Chaudhry,2021-02-22T01:50:52Z,0
which city is this?,KrATos Wish,2021-02-11T15:00:27Z,0
"they are using since 3 or 4 versions the same sensor, so the Low light topic cannot have changed.  with better low light bevjaiour this owuld be a must buy",JaXu,2021-02-07T21:25:34Z,0
"<a href=""https://www.youtube.com/watch?v=FLcVdqHOXpk&amp;t=2m25s"">2:25</a> GTA 6 Looks So Realistic",Badass BobY,2021-01-30T19:17:55Z,5
"As much as I love the GoPro you definitely need the Media Mod and and external mic to fix the audio issues! If you&#39;re looking to vlog with it as your main camera the MAX Lens Mod is also a heaps useful tool, the stabilisation is insanely good! 🤙",Stoked For Travel,2021-01-26T23:51:33Z,0
Just found your YouTube channel is amazing and also this review,Angel Galvan,2021-01-14T21:43:48Z,2
I cant decide between the max and the hero 9 for travel and general adventuring... which would you choose? any other camera suggestions?,Katherine Robertson,2021-01-11T04:29:10Z,0
"Hi Whats the Name of this Gravel Pit Remix Version at <a href=""https://www.youtube.com/watch?v=FLcVdqHOXpk&amp;t=1m20s"">1:20</a>?",Duendos,2021-01-09T18:52:16Z,0
Go Pro 9 vs Max. Which one would you choose?,Andrew Barker,2021-01-05T06:46:47Z,0
Do i need a better/external mic for vlogging during the rain or near a loud road? Can u guys help me?,Sarius,2020-12-15T18:35:47Z,0
No mask. Nothing like being apart of the problem. Go pro represented well.,Jonathan,2020-12-14T18:01:54Z,0
Jesus Christ you sound like a miserable person. Watching a video only to cry about someone not wearing a mask. Lock yourself in your basement if you’re so terrified and keep to yourself,MJ j,2021-02-27T01:01:34Z,0
Should I cancel my Sony zv 1 and buy this ?,Common RaJ,2020-12-14T11:00:59Z,6
@hidden camera same,Jai,2021-01-13T19:07:20Z,0
I’ve the same problem.. idk what to buy,hidden camera,2020-12-29T21:46:02Z,0
New sub! Look forward to watching more of your content!,JeffMelson,2020-11-25T19:39:43Z,1
I almost canceled watching it when I saw that guy at the beginning of the video 😂,mirnuran asgarli,2020-11-21T11:59:44Z,4
lol what&#39;s wrong with him?,Jasmina Custodio,2020-12-04T18:06:38Z,0
lmao,Travel And Shred,2020-11-24T02:47:34Z,0
Got the 7 but might have to invest this looks like a massive upgrade 😍,On Tour With Dridgers,2020-11-20T22:23:53Z,0
That place look so cool where is it btw?,Vincent Valentine,2020-11-19T10:51:41Z,0
Thank you !,Vincent Valentine,2021-01-12T04:05:36Z,0
It&#39;s venice california,allensnaps,2021-01-11T20:31:59Z,1
"<a href=""https://youtu.be/Tu5qtI_Nw10"">https://youtu.be/Tu5qtI_Nw10</a>",sagen soren,2020-11-06T17:38:59Z,0
Amazing shots ... Can you compare insta 360 one x 2 with it.. Which one is good for vlogging..?,Desi Travlogger,2020-11-04T09:47:07Z,0
Sold. I reckon the GoPro 9 will be perfect for my channel.,NasTime Adventures,2020-11-03T00:00:40Z,0
i like the bike,Uncle Tom,2020-10-14T09:17:16Z,0
What settings did you use on the gopro video...??,Los Angeles 5K,2020-10-10T00:12:51Z,0
